Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Observaciones
Rhodanthidium;NA;sticticum;Artana;NA;Castellón;España;03-05-1944;NA;NA;NA;NA;C.Marin;C Ornosa;NA;NA;NA;C.Marin;NA
Rhodanthidium;NA;sticticum;Dehesa Albufera;NA;Valencia;España;15-04-1928;NA;NA;NA;NA;Quilis;C Ornosa;NA;NA;1;C.Marin;NA
Rhodanthidium;NA;sticticum;San Miguel de Cabo de Gata;NA;Almería;España;26-03-2008;NA;NA;673;NA;NA;NA;J. Ortiz;2008;1;UCME;NA
Rhodanthidium;NA;sticticum;San Miguel de Cabo de Gata;NA;Almería;España;26-03-2008;NA;NA;NA;NA;NA;J. Ortiz;J. Ortiz;2008;1;UCME;NA
Rhodanthidium;NA;sticticum;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rhodanthidium;NA;sticticum;San Miguel de Cabo de Gata;NA;Almería;España;26-03-2008;NA;NA;NA;NA;NA;J. Ortiz;J. Ortiz;2008;1;UCME;NA
Rhodanthidium;NA;septemdentatum;Tibi;NA;Alicante;España;6-06-2008;NA;NA;NA;NA;NA;J. Ortiz;C. Ornosa;2008;1;UCME;NA
Rhodanthidium ;NA;sticticum;Arroyomolinos de León;NA;Huelva;España;24-04-2009;NA;NA;600;29SQC2612;NA;J. Ortiz;C. Ornosa;2009;1;Almería ;NA
Rhodanthidium ;NA;sticticum;Fuente del Medio, Celemín;Cardenete;Cuenca;España;16-05-2009;NA;NA;940;30SXK0804;NA;J. Ortiz;C. Ornosa;2009;1;Almería ;NA
Rhodanthidium ;NA;sticticum;Arroyomolinos de León;NA;Huelva;España;24-04-2009;NA;NA;600;29SQC2612;NA;J. Ortiz;C. Ornosa;2009;NA;Almería;NA
Rhodanthidium ;NA;sticticum;Pozo Cañada;NA;Albacete;España;NA;NA;NA;815;30SXH1094;NA;J. Ortiz;C. Ornosa;2009;NA;Almería;NA
Rhodanthidium ;NA;sticticum;Fuente del Medio, Celemín;Cardenete;Cuenca;España;16-05-2009;NA;NA;940;30SXK0804;NA;J. Ortiz;C. Ornosa;2009;1;Almería;NA
Rhodanthidium ;NA;sticticum;Arroyomolinos de León;NA;Huelva;España;24-04-2009;NA;NA;600;29SQC2612;NA;J. Ortiz;C. Ornosa;2009;1;Almería;NA
Rhodanthidium;NA;septemdentatun;Jarafuel;NA;Valencia;España;17-05-2009;NA;NA;800;30SXJ5232;NA;J. Ortiz;C. Ornosa;2009;1;Almería;NA
Rhodanthidium;NA;septemdentatum;Peña Cañada;NA;Albacete;España;15-05-2009;NA;NA;815;30SKH1094;NA;J. Ortiz;C. Ornosa;NA;1;Almería;NA
Rhodanthidium;NA;septemdentatum;Casa de Postas;Buñol;Valencia;España;17-06-2011;NA;NA;600;30SXJ8369;NA;J. Ortiz;C. Ornosa;2011;NA;Almería;NA
Rhodanthidium;NA;septemdentatum;Peñas de Dios;Higueruelas;Valencia;España;18-06-2011;NA;NA;1060;30SXK8008;NA;J. Ortiz;C. Ornosa;2011;1;Almería;NA
Rhodanthidium;NA;septemdentatum;Peñas de Dios;Higueruelas;Valencia;España;18-06-2011;NA;NA;1060;30SXK8008;NA;J. Ortiz;C. Ornosa;2011;NA;Almería;NA
Rhodanthidium;NA;septemdentatum;Puente Alta, río Turia;Calles;Valencia;España;18-06-2011;NA;NA;350;30SXK7195;NA;J. Ortiz;C. Ornosa;2011;1;Almería;NA
Rhodanthidium;NA;septemdentatum;Puente Alta, río Turia;Calles;Valencia;España;18-06-2011;NA;NA;350;30SXK7195;NA;J. Ortiz;C. Ornosa;2011;1;Almería;NA
Rhodanthidium;NA;septemdentatum;La Tartalona;Tuéjar;Valencia;España;18-06-2011;NA;NA;730;30SXK6205;NA;J. Ortiz;C. Ornosa;2011;1;Almería;NA
Rhodanthidium;NA;septemdentatum;Presa Contreras, Hoces del Cabriel;Villargordo del Cabriel;Valencia;España;19-06-2011;NA;NA;680;30SXJ2877;NA;J. Ortiz;C. Ornosa;2011;NA;Almería;NA
Rhodanthidium;NA;sticticum;Lagunas de Ruidera ( 3);Lagunas de Ruidera;Albacetel;España;8-06-2009;NA;NA;800;30SWJ1121;NA;C. Ornosa;NA;NA;NA;NA;NA
Rhodanthidium;NA;sticticum;Lagunas de Ruidera ( 3);Lagunas de Ruidera;Albacetel;España;8-06-2009;NA;NA;800;30SWJ1121;NA;C. Ornosa;NA;NA;1;NA;NA
Rhodanthidium;NA;septemdentatum;Ruta de la Laguna Blanca (4);Lagunas de Ruidera;Albacetel;España;9-06-2009;NA;NA;825;30SWJ1560;NA;C. Ornosa;NA;NA;1;NA;NA
Rhodanthidium;NA;septemdentatum;Ruta de la Laguna Blanca (4);Lagunas de Ruidera;Albacetel;España;9-06-2009;NA;NA;825;30SWJ1560;NA;C. Ornosa;NA;NA;NA;NA;NA
Trianthidium;NA;caturigense;Viana de Cega;NA;Valladolid;España;26-07-1993;NA;NA;NA;NA;NA;J. A. González;F. Torres;NA;1;Salamanca/3;NA
Rhodanthidium;NA;infuscatum;Foz de Lumbier;NA;Navarra;NA;8-07-2008;NA;NA;445;30TXN3822;NA;J. Ortiz;C. Ornosa;NA;1;Almería;NA
Rhodanthidium;NA;septemdentatum ;Linarejos  (3);P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;NA;C. Ornosa;C. Ornosa;2010;1;Almería;NA
Rhodanthidium;NA;sticticum;Linarejos  (3);P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;NA;C. Ornosa;C. Ornosa;2010;1;Almería;NA
Rhodanthidium;NA;sticticum;Linarejos  (3);P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;NA;C. Ornosa;C. Ornosa;2010;NA;Almería;NA
Rhodanthidium;NA;septemdentatum ;Linarejos  (3);P Nat Cazorla, Segura y las Viñas;Jaén;España;17-06-2010;NA;NA;1110 m;NA;NA;C. Ornosa;C. Ornosa;2010;NA;Almería;NA
Rhodanthidium;NA;caturigense;Monte Padilla. Sierra de Baza. ;Baza;Granada;NA;27-06-1994;NA;NA;2020;30SWG1924;NA;J. Ortiz;C. Ornosa;2010;1;Almería;NA
Rhodanthidium;NA;caturigense;Strio. Virgen de la Cabeza;Sierra Morena;Jaén;NA;2-05-1994;NA;NA;500;30SVH1027;NA;J. Ortiz;C. Ornosa;2010;1;Almería;NA
Rhodanthidium;NA;caturigense;Peñarrubia. Sierra Cambrón (o Ponce);NA;Murcia;NA;8-05-1994;NA;NA;1000;30SXG1694;NA;J. Ortiz;C. Ornosa;2010;1;Almería;NA
Rhodanthidium;NA;siculum;Devesa del Saler;Estany Pujol;Valencia;NA;6-05-2004;NA;NA;NA;NA;NA;Domínguez, Serranoy Montagud;J. OrtizC. Ornosa;2009/2010;1;Almería;NA
Rhodanthidium;NA;infuscatum;Devesa del Saler;NA;Valencia;NA;30-06-2004;NA;NA;NA;NA;NA;Domínguez, Serranoy Montagud;C. Ornosa;NA;1;Almería;NA
Rhodanthidium;NA;siculum;Polígono I. Olmo;NA;Almería?;NA;8-04-2002;NA;NA;NA;NA;NA;J.C.;C. Ornosa;2010;NA;Almería;NA
Rhodanthidium;NA;septemdentatun;Benasque;NA;Huesca;España;15-07-2011;NA;NA;NA;NA;NA;C. Ornosa;C. Ornosa;NA;NA;NA;NA
Rhodanthidium ;NA;sticticum;La Pleta  Garraf;Barcelona;NA;España;20-05-2009;NA;NA;NA;NA;NA;J. Bosch;C. Ornosa;2012;1;UCM;NA
Rhodanthidium ;NA;sticticum;La Pleta  Garraf;Barcelona;NA;España;20-05-2009;NA;NA;NA;NA;NA;J. Bosch;C. Ornosa;2012;NA;UCM;NA
Rhodanthidium ;NA;sticticum;La Pleta  Garraf;Barcelona;NA;España;20-05-2009;NA;NA;NA;NA;NA;J. Bosch;C. Ornosa;2012;NA;UCM;NA
