Genus;Subgenus;Species;Locality;Municipe;Province;Country;Date;Collector;Determined.by;Year.ident;Male;Female;Worker;Proced/caja
Anthophora;NA;crassipes;Sierra de Cazorla;NA;Jaén;España;24-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;NA;0;1;UCME
Anthophora;NA;agama;Sierra de Cazorla;NA;Jaén;España;24-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;NA;0;1;UCME
Anthophora;NA;agama;Sierra de Cazorla;NA;Jaén;España;24-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;NA;0;1;UCME
Anthophora;NA;agama;Sierra de Cazorla;NA;Jaén;España;24-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;1;0;0;UCME
Anthophora;NA;atroalba;Cabra;NA;Córdoba;España;25-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;NA;0;1;UCME
Anthophora;NA;plagiata;Cabra;NA;Córdoba;España;25-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;NA;0;1;UCME
Anthophora;NA;plagiata;Cabra;NA;Córdoba;España;25-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;NA;0;1;UCME
Anthophora;NA;plagiata;Cabra;NA;Córdoba;España;25-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;NA;0;1;UCME
Rhodanthidium;NA;sticticum;Torcal de Antequera;NA;Málaga;España;26-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;1;0;0;UCME
Anthidium;NA;manicatum;Cabra;NA;Córdoba;España;25-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;NA;0;1;UCME
Osmia;NA;andrenoides;Zahara de la Sierra;NA;Cádiz;España;18-05-2012;JL Blanco;JL Blanco/C. Ornosa;2012;NA;0;1;UCME
