"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Apis",NA,"Apis mellifera",NA,"Portugal","Fundão","Póvoa de Atalaia","40.058748"," -7.410015","<100m",2018,5,15,43235,43235,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Prunus avium","21 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Lassioglossum",NA,"Lasioglossum punctatissimum",NA,"Portugal","Leiria","Alcobaça","39.551653"," -8.959166","<100m",2018,4,23,43213,43213,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Pyrus communis var. Rocha","22 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Alcobaça","39.551662"," -8.960243","<100m",2018,4,23,43213,43213,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","24 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Eucera",NA,"Eucera clypeata",NA,"Portugal","Leiria","Alcobaça","39.551024"," -8.959230","<100m",2018,4,23,43213,43213,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Pyrus communis var. Rocha","25 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Eucera",NA,"Eucera clypeata",NA,"Portugal","Leiria","Alcobaça","39.551662"," -8.960243","<100m",2018,4,24,43214,43214,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Pyrus communis var. Rocha","26 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Halictus",NA,"Halictus rubicundus",NA,"Portugal","Leiria","Alcobaça","39.551289"," -8.958984","<100m",2018,4,21,43211,43211,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Pyrus communis var. Rocha","31 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.550693"," -8.959638","<100m",2018,4,21,43211,43211,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","32 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.551653"," -8.959166","<100m",2018,4,20,43210,43210,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","33 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.506143"," -9.025213","<100m",2018,5,8,43228,43228,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","38 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Lassioglossum",NA,"Lassioglossum calceatum",NA,"Portugal","Leiria","Alcobaça","39.593308"," -8.967163","<100m",2019,4,28,43583,43583,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","73 GOPolimax (CEF – UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
