"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determiner","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Rhodanthidium","sticticum",NA,"Spain","Málaga","El Chorro, Bobastro",36.90859,-4.7866,"GPS",2015,"April",27,"M. Fernández-Mazuecos","M. Fernández-Mazuecos",NA,NA,NA,NA,NA,"Linaria becerrae",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Málaga","Pizarra, Hacho de Pizarra",36.76383,-4.6934,"GPS",2015,"April",28,"M. Fernández-Mazuecos","M. Fernández-Mazuecos",NA,NA,NA,NA,NA,"Linaria becerrae",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Málaga","El Chorro, Bobastro",36.90859,-4.7866,"GPS",2015,"April",29,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria becerrae","3MF15","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Málaga","Pizarra, Hacho de Pizarra",36.76383,-4.6934,"GPS",2015,"April",30,"M. Fernández-Mazuecos","M. Fernández-Mazuecos",NA,NA,NA,NA,NA,"Linaria becerrae",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Málaga","Yunquera",36.741177,-4.919212,"GPS",2015,"June",5,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","16MF15","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","punctatissimum ",NA,"Spain","Málaga","Yunquera",36.741177,-4.919212,"GPS",2015,"June",5,"M. Fernández-Mazuecos","C. Ornosa",NA,NA,NA,1,NA,"Linaria clementei","17MF15","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Andrena","flavipes",NA,"Spain","Málaga","Yunquera",36.741177,-4.919212,"GPS",2015,"June",5,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","18MF15","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Pseudapis","bispinosa","albocincta ","Spain","Málaga","Yunquera",36.741177,-4.919212,"GPS",2015,"June",5,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","19MF15","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Lasioglossum","punctatissimum ",NA,"Spain","Málaga","Carratraca",36.85617,-4.82063,"GPS",2015,"June",6,"M. Fernández-Mazuecos","C. Ornosa",NA,NA,NA,1,NA,"Linaria clementei","21MF15","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Amegilla","quadrifasciata",NA,"Spain","Málaga","Carratraca",36.85617,-4.82063,"GPS",2015,"June",6,"M. Fernández-Mazuecos","C. Ornosa",1,NA,NA,NA,NA,"Linaria clementei","22MF15","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","terrestris","lusitanicus","Spain","Málaga","Carratraca",36.85617,-4.82063,"GPS",2015,"June",6,"M. Fernández-Mazuecos","C. Ornosa",NA,NA,1,NA,NA,"Linaria clementei","23MF15","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Cádiz","Benaocaz",NA,NA,NA,2011,"June",13,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,3,"https://doi.org/10.1111/plb.12588","Antirrhinum australe",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","ruderatus",NA,"Spain","Cádiz","Benaocaz",NA,NA,NA,2011,"June",13,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,1,"https://doi.org/10.1111/plb.12588","Antirrhinum australe",NA,"Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Cádiz","Benaocaz",NA,NA,NA,2011,"June",14,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,14,"https://doi.org/10.1111/plb.12588","Antirrhinum australe","41IML11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
"Bombus","ruderatus",NA,"Spain","Cádiz","Benaocaz",NA,NA,NA,2011,"June",14,"I.M. Liberal & J.L. Blanco","C. Ornosa",NA,NA,NA,3,"https://doi.org/10.1111/plb.12588","Antirrhinum australe","44IML11","Jose Luis Blanco-Pastor, Isabel María Liberal, Mario Fernández-Mazuecos, Concepción Ornosa Gallego, Pablo Vargas",NA,NA
