Genus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;Coordinate.precision;Year;Month;Day;Start.date;End.date;Collector;Determined.by;Female;Male;Worker;Not.specified;Reference.doi;Flowers.visited;Local_ID;Authors.to.give.credit;Any.other.additional.data;Notes.and.queries
Osmia;cornuta;NA;Spain;Balears, Illes;Marratxí;39.62104;2.747968;<15m;2020;2;20;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;1;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Andrena;flavipes;NA;Spain;Balears, Illes;Inca;39.7267849;2.9039147;<10m;2020;2;23;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;1;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Osmia;cornuta;NA;Spain;Balears, Illes;Marratxí;39.62104;2.747968;<15m;2020;2;24;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Marratxí;39.623824;2.743475;<10m;2020;2;25;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;Asphodelus aestivus;NA;Joan Díaz-Calafat;NA;NA
Osmia;cornuta;NA;Spain;Balears, Illes;Marratxí;39.623938;2.743311;<10m;2020;2;29;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Marratxí;39.623613;2.738921;<20m;2020;2;29;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;sticticum;NA;Spain;Balears, Illes;Marratxí;39.621221;2.748171;<10m;2020;2;29;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;1;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;subterranea;procera;Spain;Balears, Illes;Palma;39.4245324;3.2589073;<15m;2020;3;1;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;Asphodelus aestivus;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.4198693;3.2746022;<15m;2020;3;1;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;1;0;0;NA;Echium sp.;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Marratxí;39.621042;2.747957;<10m;2020;2;29;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;5;0;0;0;NA;NA;NA;Joan Díaz-Calafat;Nest aggregation;NA
Andrena;nigroolivacea;NA;Spain;Balears, Illes;Palma;39.6404758;2.6461206;<10m;2020;3;5;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Palma;39.64226;2.643435;<15m;2020;3;5;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;Asphodelus aestivus;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Palma;39.6421739;2.6398584;<15m;2020;3;5;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Halictus;sacabiosae;NA;Spain;Balears, Illes;Palma;39.639502;2.6367597;<10m;2020;3;5;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;sticticum;NA;Spain;Balears, Illes;Palma;39.6397031;2.6369093;<10m;2020;3;5;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;1;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;subterranea;NA;Spain;Balears, Illes;Palma;39.6381356;2.6385586;<10m;2020;3;5;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;Asphodelus aestivus;NA;Joan Díaz-Calafat;NA;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Palma;39.6375506;2.6399738;<10m;2020;3;5;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;Asphodelus aestivus;NA;Joan Díaz-Calafat;NA;NA
Xylocopa;violacea;NA;Spain;Balears, Illes;Sóller;39.7771764;2.728259;<15m;2020;3;8;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Andrena;nigroolivacea;NA;Spain;Balears, Illes;Felanitx;39.4665056;3.1517779;<15m;2020;3;8;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.46615;3.1519977;<15m;2020;3;8;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;3;1;0;0;NA;Asphodelus aestivus;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.46615;3.1519977;<15m;2020;3;8;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;1;0;0;NA;NA;NA;Joan Díaz-Calafat;In copula;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Felanitx;39.46615;3.1519977;<15m;2020;3;8;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;1;0;0;NA;Asphodelus aestivus;NA;Joan Díaz-Calafat;NA;NA
Anthophora;subterranea;NA;Spain;Balears, Illes;Felanitx;39.46615;3.1519977;<15m;2020;3;8;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;1;0;0;NA;Asphodelus aestivus;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Marratxí;39.6253554;2.7237864;<10m;2020;3;9;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Marratxí;39.6246866;2.7249639;<10m;2020;3;9;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;1;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Marratxí;39.6256888;2.7243511;<10m;2020;3;9;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Osmia;latreillei;NA;Spain;Balears, Illes;Marratxí;39.621256;2.748158;<10m;2020;4;9;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;subterranea;procera;Spain;Balears, Illes;Palma;39.5747049;2.6149017;<15m;2019;1;26;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;Oxalis pes-caprae;NA;Joan Díaz-Calafat;NA;NA
Andrena;flavipes;NA;Spain;Balears, Illes;Palma;39.5726837;2.6164571;<15m;2019;2;28;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;Glebionis coronaria;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Palma;39.5629344;2.6193722;<15m;2019;3;8;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.4229683;3.259198;<10m;2019;3;16;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.4082001;3.2618764;<25m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;2;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.4085417;3.2624367;<10m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.4199095;3.2747083;<15m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.4191584;3.2742812;<25m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;0;0;40;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;subterranea;procera;Spain;Balears, Illes;Felanitx;39.4190157;3.2743812;<15m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Eucera;nigrilabris;NA;Spain;Balears, Illes;Felanitx;39.4190532;3.2743245;<15m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Melecta;duodecimmaculata;NA;Spain;Balears, Illes;Felanitx;39.4190599;3.2744605;<15m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Palma;39.6385668;2.6451045;<15m;2019;4;2;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;0;0;1;NA;Medicago sp.;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Palma;39.5718612;2.6198728;<15m;2019;4;11;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Palma;39.5639828;2.6199377;<15m;2019;4;14;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;Pittosporum sp.;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Felanitx;39.4242695;3.2591587;<15m;2019;4;20;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;Galactites tomentosa;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Palma;39.5732626;2.6168087;<15m;2019;4;24;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;Urospermum dalechampii;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;sticticum;NA;Spain;Balears, Illes;Palma;39.572408;2.6176646;<10m;2019;4;24;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;1;0;0;NA;Teucrium fruticans;NA;Joan Díaz-Calafat;In copula;NA
Megachile;sicula;NA;Spain;Balears, Illes;Colònia de Sant Jordi;39.3213487;2.9957324;<15m;2019;5;5;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;Salvia officinalis;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Sant Joan de Labritja;39.073309;1.483218;<20m;2019;5;11;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Osmia;latreillei;NA;Spain;Balears, Illes;Sant Joan de Labritja;39.0731251;1.4827765;<20m;2019;5;11;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;sticticum;NA;Spain;Balears, Illes;Marratxí;39.621251;2.748085;<10m;2019;5;13;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;3;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;sticticum;NA;Spain;Balears, Illes;Marratxí;39.618272;2.7493889;<10m;2019;5;15;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;1;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Xylocopa;violacea;NA;Spain;Balears, Illes;Marratxí;39.621215;2.748058;<10m;2019;5;18;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Andrena;flavipes;NA;Spain;Balears, Illes;Marratxí;39.6209618;2.7481427;<10m;2019;5;22;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthidium;manicatum;NA;Spain;Balears, Illes;Marratxí;39.625804;2.725576;<15m;2019;5;22;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;septemdentatum;NA;Spain;Balears, Illes;Marratxí;39.625347;2.725337;<15m;2019;5;22;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;septemdentatum;NA;Spain;Balears, Illes;Felanitx;39.4196941;3.2746472;<10m;2019;5;27;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;1;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;sticticum;NA;Spain;Balears, Illes;Felanitx;39.4192784;3.2745257;<15m;2019;5;27;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;0;0;3;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Andrena;agilissima;NA;Spain;Balears, Illes;Felanitx;39.4242003;3.2592054;<10m;2019;5;27;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;Rhaphanus raphanistrum;NA;Joan Díaz-Calafat;NA;NA
Anthidium;florentinum;NA;Spain;Balears, Illes;Marratxí;39.6209618;2.7481427;<10m;2019;6;6;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthidium;manicatum;NA;Spain;Balears, Illes;Marratxí;39.6209618;2.7481427;<10m;2019;6;5;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthidium;manicatum;NA;Spain;Balears, Illes;Marratxí;39.621094;2.748094;<10m;2019;6;14;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Marratxí;39.621094;2.748094;<10m;2019;6;11;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthidium;florentinum;NA;Spain;Balears, Illes;Palma;39.6340497;2.6340772;<15m;2019;7;3;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;1;0;0;NA;Vitex agnus-castus;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Palma;39.6340497;2.6340772;<15m;2019;7;3;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;Vitex agnus-castus;NA;Joan Díaz-Calafat;NA;NA
Anthidium;florentinum;NA;Spain;Balears, Illes;Palma;39.57253;2.617142;<10m;2019;7;22;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Maó;39.9439218;4.2522939;<10m;2019;8;9;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Maó;39.9444025;4.2530447;<10m;2019;8;9;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Osmia;tricornis;NA;Spain;Balears, Illes;Palma;39.639651;2.636084;<20m;2017;3;19;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Osmia;aurulenta;NA;Spain;Balears, Illes;Palma;39.635981;2.643526;<20m;2017;4;19;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Palma;39.635929;2.643535;<20m;2017;3;14;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Andrena;binominata;NA;Spain;Balears, Illes;Marratxí;39,621143;2,747975;<10m;2016;11;1;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;6;0;0;0;NA;NA;NA;Joan Díaz-Calafat;Drowing in pool. Still alive when caught.;NA
Anthidium;cingulatum;NA;Spain;Balears, Illes;Marratxí;39.6128073;2.7474928;<20m;2019;5;15;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;Stachys ocymastrum;NA;Joan Díaz-Calafat;NA;NA
Anthidium;florentinum;NA;Spain;Balears, Illes;Marratxí;39.621097;2.74812;<10m;2017;6;1;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthidium;florentinum;NA;Spain;Balears, Illes;Marratxí;39.621097;2.74812;<10m;2019;6;6;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Andrena;nigroolivacea;NA;Spain;Balears, Illes;Sant Joan de Labritja;39.0732905;1.4830704;<20m;2019;5;12;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;Sonchus sp.;NA;Joan Díaz-Calafat;NA;NA
Andrena;nigroolivacea;NA;Spain;Balears, Illes;Palma;39.639563;2.636254;<20m;2017;3;19;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;apicalis;NA;Spain;Balears, Illes;Marratxí;39.621097;2.74812;<10m;2017;7;2;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;pilidens;NA;Spain;Balears, Illes;Marratxí;39.6212;2.748174;<10m;2018;8;24;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Rhodanthidium;septemdentatum;NA;Spain;Balears, Illes;Felanitx;39.4155469;3.2677925;<15m;2017;4;16;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Palma;39.635819;2.642731;<10m;2017;4;8;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Halictus;scabiosae;NA;Spain;Balears, Illes;Palma;39.640011;2.63652;<15m;2017;3;14;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;2;0;0;0;NA;Cistus albidus;NA;Joan Díaz-Calafat;NA;NA
Megachile;apicalis;NA;Spain;Balears, Illes;Marratxí;39.6209618;2.7481427;<10m;2019;5;22;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Stelis;punctulatissima;NA;Spain;Balears, Illes;Marratxí;39.6209618;2.7481427;<10m;2019;5;31;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Amegilla;quadrifasciata;NA;Spain;Balears, Illes;Marratxí;39.6209618;2.7481427;<10m;2018;8;24;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;subterranea;procera;Spain;Balears, Illes;Palma;39.5747049;2.6149017;<15m;2019;1;26;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Felanitx;39.4169641;3.2672171;<10m;2017;4;16;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;plumipes;NA;Spain;Balears, Illes;Felanitx;39.419015;3.274381;<10m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.4215759;3.2583025;<15m;2017;4;14;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthidium;florentinum;NA;Spain;Balears, Illes;Marratxí;39.6209618;2.7481427;<10m;2016;6;29;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Osmia;latreillei;NA;Spain;Balears, Illes;Felanitx;39.4238913;3.2599247;<10m;2017;4;2;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Eucera;nigrilabris;NA;Spain;Balears, Illes;Felanitx;39.4252513;3.2609622;<10m;2017;4;13;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Andrena;agilissima;NA;Spain;Balears, Illes;Felanitx;39.425561;3.2615313;<15m;2017;4;14;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;NA;Spain;Balears, Illes;Felanitx;39.428063;3.2722456;<10m;2017;4;13;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;sicula;sicula;Spain;Balears, Illes;Felanitx;39.428231;3.2719969;<10m;2017;4;14;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;subterranea;procera;Spain;Balears, Illes;Felanitx;39.4288658;3.2720156;<10m;2017;4;14;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Megachile;pilidens;NA;Spain;Balears, Illes;Marratxí;39.6209618;2.7481427;<10m;2018;8;23;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Melecta;duodecimmaculata;NA;Spain;Balears, Illes;Felanitx;39.4190599;3.2744605;<10m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthophora;subterranea;procera;Spain;Balears, Illes;Felanitx;39.4190157;3.2743812;<10m;2019;3;17;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Eucera;nigrilabris;NA;Spain;Balears, Illes;Palma;39.635981;2.643526;<10m;2017;3;14;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Stelis;punctulatissima;NA;Spain;Balears, Illes;Marratxí;39.6209618;2.7481427;<10m;2017;6;11;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Anthidium;cingulatum;NA;Spain;Balears, Illes;Marratxí;39.6128073;2.7474928;<10m;2019;5;15;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Andrena;nigroolivacea;NA;Spain;Balears, Illes;Artà;39.6905104;3.3500637;<15m;2020;2;11;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;0;1;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Stelis;punctulatissima;NA;Spain;Balears, Illes;Felanitx;39.467034;3.1511904;<15m;2019;6;24;NA;NA;Elisa Ribas Marquès;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
Osmia;submicans;NA;Spain;Balears, Illes;Llucmajor;39.4857149;2.7355981;<15m;2017;5;4;NA;NA;Joan Díaz Calafat;Joan Díaz Calafat;1;0;0;0;NA;NA;NA;Joan Díaz-Calafat;NA;NA
