"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.513871"," -9.016919","<100m",2018,4,25,2018-04-25,2018-04-25,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Fuji","3 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Halictus",NA,"Halictus scabiosae",NA,"Portugal","Fundão","Póvoa de Atalaia","40.059641"," -7.411735","<100m",2018,4,18,2018-04-18,2018-04-18,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Prunus avium","4 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Lassioglossum",NA,"Lassioglossum calceatum",NA,"Portugal","Leiria","Alcobaça","39.505918"," -9.025506","<100m",2018,5,4,2018-05-04,2018-05-04,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","5 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Megachile",NA,"Megachile centuncularis",NA,"Portugal","Leiria","Alcobaça","39.506920"," -9.025485","<100m",2018,5,4,2018-05-04,2018-05-04,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","6 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Alcobaça","39.513788"," -9.016613","<100m",2018,4,27,2018-04-27,2018-04-27,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Fuji","7 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Alcobaça","39.506143"," -9.025213","<100m",2018,4,30,2018-04-30,2018-04-30,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","8 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.505918"," -9.025506","<100m",2018,5,3,2018-05-03,2018-05-03,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","9 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.506143"," -9.025213","<100m",2018,5,4,2018-05-04,2018-05-04,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","10 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.513871"," -9.016919","<100m",2018,4,27,2018-04-27,2018-04-27,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Fuji","11 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.551024"," -8.959230","<100m",2018,5,7,2018-05-07,2018-05-07,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Pyrus communis var. Rocha","12 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.513603"," -9.016268","<100m",2018,5,2,2018-05-02,2018-05-02,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Fuji","13 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Fundão","Póvoa de Atalaia","40.059641"," -7.411735","<100m",2018,4,16,2018-04-16,2018-04-16,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Prunus avium","14 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alfeizerão","39.479739"," -9.081469","<100m",2019,4,27,2019-04-27,2019-04-27,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","51 GOPolimax (CEF – UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Fundão","Póvoa de Atalaia","40.057465"," -7.411035","<100m",2018,4,16,2018-04-16,2018-04-16,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Prunus avium","16 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Andrena",NA,"Andrena agilissima",NA,"Portugal","Leiria","Alcobaça","39.513788"," -9.016613","<100m",2018,5,3,2018-05-03,2018-05-03,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Fuji","17 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus terrestris",NA,"Portugal","Leiria","Alcobaça","39.506920"," -9.025485","<100m",2018,5,8,2018-05-08,2018-05-08,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Malus domestica var. Reineta","18 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.551653"," -8.959166","<100m",2018,4,20,2018-04-20,2018-04-20,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","19 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.513603"," -9.016268","<100m",2018,4,30,2018-04-30,2018-04-30,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Fuji","20 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Fundão","Póvoa de Atalaia","40.058748"," -7.410015","<100m",2018,5,15,2018-05-15,2018-05-15,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Prunus avium","21 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Lassioglossum",NA,"Lasioglossum punctatissimum",NA,"Portugal","Leiria","Alcobaça","39.551653"," -8.959166","<100m",2018,4,23,2018-04-23,2018-04-23,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Pyrus communis var. Rocha","22 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Bombus",NA,"Bombus pascuorum",NA,"Portugal","Leiria","Alcobaça","39.551662"," -8.960243","<100m",2018,4,23,2018-04-23,2018-04-23,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","24 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Eucera",NA,"Eucera clypeata",NA,"Portugal","Leiria","Alcobaça","39.551024"," -8.959230","<100m",2018,4,23,2018-04-23,2018-04-23,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Pyrus communis var. Rocha","25 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Eucera",NA,"Eucera clypeata",NA,"Portugal","Leiria","Alcobaça","39.551662"," -8.960243","<100m",2018,4,24,2018-04-24,2018-04-24,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Pyrus communis var. Rocha","26 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Halictus",NA,"Halictus rubicundus",NA,"Portugal","Leiria","Alcobaça","39.551289"," -8.958984","<100m",2018,4,21,2018-04-21,2018-04-21,"Rafael Carvalho","Rafael Carvalho",1,NA,NA,NA,NA,"Pyrus communis var. Rocha","31 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.550693"," -8.959638","<100m",2018,4,21,2018-04-21,2018-04-21,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","32 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.551653"," -8.959166","<100m",2018,4,20,2018-04-20,2018-04-20,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Pyrus communis var. Rocha","33 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Apis",NA,"Apis mellifera",NA,"Portugal","Leiria","Alcobaça","39.506143"," -9.025213","<100m",2018,5,8,2018-05-08,2018-05-08,"Rafael Carvalho","Rafael Carvalho",NA,NA,1,NA,NA,"Malus domestica var. Reineta","38 GOPolimax (COTHN-CC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
"Lassioglossum",NA,"Lassioglossum calceatum",NA,"Portugal","Leiria","Alcobaça","39.593308"," -8.967163","<100m",2019,4,28,2019-04-28,2019-04-28,"Rafael Carvalho","Rafael Carvalho",NA,1,NA,NA,NA,"Malus domestica var. Reineta","73 GOPolimax (CEF – UC)","R. Carvalho, S. Castro & J. Loureiro",NA,NA
