"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..GPS;.~10km)","Year","month","day","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Anthophora","bimaculata",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",2019,5,13,"B. Arroyo-Correa","B. Arroyo-Correa",0,1,0,0,NA,"Halimium halimifolium, Linaria viscosa",NA,"B. Arroyo-Correa",NA,NA
"Dasypoda","cingulata",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",2019,5,13,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,1,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Andrena","flavipes",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",2019,5,13,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,1,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Apis","mellifera",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",2019,5,13,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,1,0,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Lasioglossum","gemmeus",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",2019,5,13,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,1,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Lasioglossum","malachurum",NA,"Spain","Huelva","La Rocina",37.131187,-6.528114,"GPS",2019,5,13,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,1,NA,"Halimium halimifolium",NA,"B. Arroyo-Correa",NA,NA
"Rhodanthidium","sticticum",NA,"Spain","Córdoba","Cabra",37.488123,-4.380912,"GPS",2019,4,27,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,1,NA,"Linaria sp.",NA,"B. Arroyo-Correa",NA,NA
"Apis","mellifera",NA,"Spain","Córdoba","Cabra",37.488123,-4.380912,"GPS",2019,4,27,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,1,0,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Bombus","terrestris",NA,"Spain","Cáceres","Sierra de Gata",40.230281,-6.918261,"GPS",2019,4,15,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,1,0,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Osmia","bicornis",NA,"Spain","Cáceres","Sierra de Gata",40.230281,-6.918261,"GPS",2019,4,15,"B. Arroyo-Correa","B. Arroyo-Correa",1,0,0,0,NA,"Erica sp.",NA,"B. Arroyo-Correa",NA,NA
"Bombus ","terrestris",NA,"Spain","Cádiz","Villaluenga del Rosario",36.693937,-5.365823,"GPS",2017,3,NA,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,6,0,NA,"Erica australis",NA,"B. Arroyo-Correa",NA,NA
"Bombus","hortorum",NA,"Spain","Tarragona","Prades",41.313545,0.96349,"GPS",2015,3,NA,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,8,0,NA,"Thymus sp., Helianthemum sp., Genista sp., Bunia sp.",NA,"B. Arroyo-Correa",NA,NA
"Apis","mellifera",NA,"Spain","Tarragona","Prades",41.313545,0.96349,"GPS",2015,3,NA,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,15,0,NA,"Thymus sp., Helianthemum sp., Genista sp., Bunia sp.",NA,"B. Arroyo-Correa",NA,NA
"Bombus ","terrestris",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",2018,5,NA,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,1,0,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Bombus ","pascuroum",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",2018,5,NA,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,1,0,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Osmia ","cornuta",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",2018,5,NA,"B. Arroyo-Correa","B. Arroyo-Correa",1,0,0,0,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Apis","mellifera",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",2018,5,NA,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,1,0,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Anthophora","quadrimaculata",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",2018,5,NA,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,56,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Osmia","caerulescens",NA,"Spain","Barcelona","Campus UAB, Cerdanyola del Vàlles",41.507315,2.096612,"GPS",2018,5,NA,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,1,NA,NA,NA,"B. Arroyo-Correa",NA,NA
"Ceratina","cucurbitina",NA,"Spain","Girona","Cadí-Moixeró",42.343179,1.831577,"GPS",2017,6,NA,"B. Arroyo-Correa","B. Arroyo-Correa",0,0,0,1,NA,"Linum sp.",NA,"B. Arroyo-Correa",NA,NA
