Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;"Coordinate precision (e.g. GPS; ~10km) ";Year;month;day;Collector;Determined by;Female;Male;Worker;Not specified;Reference (doi);Flowers visited;Local Box No.;Local_ID;Authors to give credit;Any other additional data;Notes and queries;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;9;30;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000065;F. Torres;Fuego 2002;NA;;;;
Apis ;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;9;30;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000066;F. Torres;Fuego 2002;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;9;15;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000067;F. Torres;Fuego 2002;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;9;15;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000068;F. Torres;Fuego 2002;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;9;30;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000069;F. Torres;Fuego 2002;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;9;30;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000070;F. Torres;Fuego 1998;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;9;30;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000071;F. Torres;Fuego 2002;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000072;F. Torres;Fuego 1998;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;7;31;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000073;F. Torres;Fuego 2002;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;8;15;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000074;F. Torres;Fuego 2002;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;8;15;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000075;F. Torres;Fuego 2002;NA;;;;
Apis;NA;mellifera;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;9;15;F. Torres;F. Torres;0;0;1;0;NA;NA;1;APO000076;F. Torres;Fuego 2002;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000077;F. Torres;Fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000078;F. Torres;fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000079;F. Torres;fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000080;F. Torres;fuego2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000081;F. Torres;fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000082;F. Torres;fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000083;F. Torres;fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000084;F. Torres;fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000085;F. Torres;fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000086;F. Torres;fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000087;F. Torres;fuego 2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000088;F. Torres;fuego2003;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000089;F. Torres;fuego 1998;NA;;;;
Eucera;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000090;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000091;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000092;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000093;F. Torres;Fuego 2003;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000094;F. Torres;fuego 2003;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000095;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;7;1;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000096;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;7;1;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000097;F. Torres;fuego1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000098;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000099;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000100;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000101;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;7;1;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000102;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000103;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000104;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;7;1;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000105;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000106;F. Torres;fuego 1998;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000107;F. Torres;Fuego 2003;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000108;F. Torres;Fuego 2003;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000109;F. Torres;Fuego 2003;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000110;F. Torres;Fuego 2003;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000111;F. Torres;Fuego 2003;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000112;F. Torres;Fuego 2003;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000113;F. Torres;Fuego 2003;NA;;;;
Andrena ;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000114;F. Torres;Fuego 2003;NA;;;;
Halictius;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000115;F. Torres;fuego 1998;NA;;;;
Halictus;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000116;F. Torres;fuego 1998;NA;;;;
Halictus;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000117;F. Torres;fuego 1998;NA;;;;
Halictus;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;6;15;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000118;F. Torres;fuego 1998;NA;;;;
Halictus;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;7;1;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000119;F. Torres;fuego 1998;NA;;;;
Halictus;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;7;1;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000120;F. Torres;fuego 1998;NA;;;;
Halictus;NA;NA;NA;Spain;Salamanca ;Pereña de la Ribera;41,212607;-6,559011;NA;2005;7;1;F. Torres;F. Torres;0;1;0;0;NA;NA;1;APO000121;F. Torres;fuego 1998;NA;;;;
Halictus;NA;NA;NA;Spain;Salamanca ;Villarino de los Aires;41,259473;-6,48119;NA;2005;6;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000122;F. Torres;Fuego 2003;NA;;;;
Halictus;NA;NA;NA;Spain;Salamanca ;Cabeza de Framontanos;41,22564;-6,45066;NA;2005;8;15;F. Torres;F. Torres;1;0;0;0;NA;NA;1;APO000123;F. Torres;Fuego;NA;;;;
