Genus;Subgenus;Species;Subspecies;Country;Province;Locality;Latitude;Longitude;"Coordinate precision (e.g. GPS; ~10km) ";Year;month;day;Collector;Determined by;Female;Male;Worker;Not specified;Reference (doi);Flowers visited;Local Box No.;Local_ID;Authors to give credit;Any other additional data;Notes and queries;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Salamanca;Navacarros;NA;NA;NA;1977;7;22;S Fdez Gayubo ;Dardón;1;0;0;0;NA;NA;12;APO-003708;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Badajoz;Reina;NA;NA;NA;1985;6;14;S Fdez Gayubo;Warncke;1;0;0;0;NA;NA;12;APO-003709;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Salamanca;Navalmoral;NA;NA;NA;1977;7;11;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003710;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1977;7;1;S Fdez Gayudo;Dardón;1;0;0;0;NA;NA;12;APO-003711;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;3;20;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003712;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Salamanca;Navacarros;NA;NA;NA;1977;7;22;S Fdez Gayudo;Dardón;1;0;0;0;NA;NA;12;APO-003713;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Badajoz;Puebla del Maestre;NA;NA;NA;1985;7;15;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003714;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Salamanca;Villarino de los Aires;NA;NA;NA;2009;4;19;Dardon MJ;Dardón;0;1;0;0;NA;NA;12;APO-003715;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;nana;NA;Spain;Salamanca;Villarino de los Aires;NA;NA;NA;2009;4;19;Dardon MJ;Dardón;0;1;0;0;NA;NA;12;APO-003716;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1978;3;5;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003717;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;11;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003718;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;5;7;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003719;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;4;2;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003720;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;2;20;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003721;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;10;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003722;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;3;17;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003723;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zamora;Zamora;NA;NA;NA;1986;8;23;NA;Dardón;1;0;0;0;NA;NA;12;APO-003724;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;4;22;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003725;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;11;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003726;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;NA;NA;NA;NA;NA;1982;3;12;NA;Dardón;1;0;0;0;NA;NA;12;APO-003727;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;10;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003728;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Madrid;Cerro de san Pedro;NA;NA;NA;1949;5;11;C P-Iñigo ;Dardón;1;0;0;0;NA;NA;12;APO-003729;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1978;3;13;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003730;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Salamanca;Villarino de los Aires;NA;NA;NA;2009;4;19;Dardon MJ;Dardón;0;1;0;0;NA;NA;12;APO-003731;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;10;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003732;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;11;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003733;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;3;20;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003734;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;NA;NA;NA;NA;NA;1982;3;12;NA;Dardón;1;0;0;0;NA;NA;12;APO-003735;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;3;9;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003736;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Cáceres;Hervás;NA;NA;NA;1987;4;29;J Barrios;Dardón;1;0;0;0;NA;NA;12;APO-003737;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zamora;Toro;NA;NA;NA;1982;6;29;E. Asensio;Dardón;1;0;0;0;NA;NA;12;APO-003738;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Almería;Sierra Filabres;NA;NA;NA;2009;4;23;J Halaba;Dardón;1;0;0;0;NA;NA;12;APO-003739;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;NA;20 Km NE Ronda;NA;NA;NA;2003;4;30;J Halaba;Dardón;0;1;0;0;NA;NA;12;APO-003740;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Valladolid;Cogeces del Monte;NA;NA;NA;1983;6;4;E. Asensio;Dardón;0;1;0;0;NA;NA;12;APO-003741;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;2;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003742;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Madrid;Robledo de Chavela;NA;NA;NA;1979;5;9;P-Iñigo;Dardón;0;1;0;0;NA;NA;12;APO-003743;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;2;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003744;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;2;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003745;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1978;2;4;S Fdez Gayubo;Dardón;0;1;0;0;NA;NA;12;APO-003746;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1978;2;4;S Fdez Gayubo;Dardón;0;1;0;0;NA;NA;12;APO-003747;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;NA;NA;NA;NA;NA;1982;3;12;NA;Dardón;0;1;0;0;NA;NA;12;APO-003748;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;tenuistriata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;2;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003749;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;3;17;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003750;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;5;20;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003751;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;4;22;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003752;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;10;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003753;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;4;8;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003754;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003755;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;10;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003756;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;3;17;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003757;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;3;3;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003758;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;4;2;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003759;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003760;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003761;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;3;26;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003762;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;4;2;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003763;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003764;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003765;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003766;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;4;8;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003767;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1991;4;9;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003768;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;3;26;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003769;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1990;4;22;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003770;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;11;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003771;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1992;4;25;J Blasco ;Dardón;1;0;0;0;NA;NA;12;APO-003772;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Valladolid;Viana de Cega;NA;NA;NA;1994;6;8;J.A Gonzalez;Dardón;0;1;0;0;NA;NA;12;APO-003773;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;3;26;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003774;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;NA;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;3;26;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003775;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;lecana;Spain;Valladolid;Iscar;NA;NA;NA;1982;5;2;E. Asensio;Dardón;1;0;0;0;NA;NA;12;APO-003776;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;lecana;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;3;25;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003777;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;lecana;Spain;Zaragoza;Pina de Ebro;NA;NA;NA;1989;4;8;J Blasco ;Dardón;0;1;0;0;NA;NA;12;APO-003778;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;niveata;lecana;Spain;Valladolid;Valladolid;NA;NA;NA;1984;5;12;E. Asensio;Dardón;0;1;0;0;NA;NA;12;APO-003779;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutuloides;NA;Spain;Valladolid;Valladolid;NA;NA;NA;1978;6;23;E. Asensio;Dardón;1;0;0;0;NA;NA;12;APO-003780;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutuloides;NA;Spain;Soria;Rello;NA;NA;NA;1990;6;12;J Garcia;Dardón;1;0;0;0;NA;NA;12;APO-003781;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutuloides;NA;Spain;Soria;Rello;NA;NA;NA;1990;6;12;J Garcia;Dardón;1;0;0;0;NA;NA;12;APO-003782;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutuloides;NA;Spain;Zamora;Mombuey;NA;NA;NA;1987;8;27;C Heras;Dardón;1;0;0;0;NA;NA;12;APO-003783;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutuloides;NA;Spain;Soria;Boós;NA;NA;NA;1989;8;22;J Garcia;Dardón;1;0;0;0;NA;NA;12;APO-003784;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;bayona;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1977;8;14;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003785;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;bayona;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1977;8;1;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003786;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;bayona;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1977;9;27;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003787;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;bayona;NA;Spain;Soria;Almajano;NA;NA;NA;1989;8;25;J Garcia;Dardón;1;0;0;0;NA;NA;12;APO-003788;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;bayona;NA;Spain;Ávila;Santa Lucia de la Sierra;NA;NA;NA;1977;9;27;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003789;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;alfkenella ;sunna;Spain;Jaén;Sierra Pozo;NA;NA;NA;2003;6;12;M Kafka;Dardón;1;0;0;0;NA;NA;12;APO-003790;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;alfkenella ;sunna;Spain;Valladolid;Valladolid;NA;NA;NA;1982;4;8;E. Asensio;Dardón;1;0;0;0;NA;NA;12;APO-003791;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;subopaca;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1978;3;6;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003792;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;subopaca;NA;Spain;Salamanca;Bejar ;NA;NA;NA;1978;3;5;S Fdez Gayubo;Dardón;1;0;0;0;NA;NA;12;APO-003793;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Valladolid;Viana de Cega;NA;NA;NA;1994;6;8;J. A. Gonzalez;Dardón;1;0;0;0;NA;NA;12;APO-003794;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Valladolid;Viana de Cega;NA;NA;NA;1993;6;27;J. A. Gonzalez;Dardón;1;0;0;0;NA;NA;12;APO-003795;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Valladolid;Viana de Cega;NA;NA;NA;1994;4;4;J. A. Gonzalez;Dardón;1;0;0;0;NA;NA;12;APO-003796;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Valladolid;Viana de Cega;NA;NA;NA;1993;6;27;J. A. Gonzalez;Dardón;1;0;0;0;NA;NA;12;APO-003797;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Valladolid;Viana de Cega;NA;NA;NA;1993;6;27;J. A. Gonzalez;Dardón;1;0;0;0;NA;NA;12;APO-003798;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Soria;Lubia;NA;NA;NA;1989;7;22;J. Garcia;Dardón;1;0;0;0;NA;NA;12;APO-003799;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Valladolid;Viana de Cega;NA;NA;NA;1993;6;14;J. A. Gonzalez;Dardón;1;0;0;0;NA;NA;12;APO-003800;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Valladolid;Viana de Cega;NA;NA;NA;1993;6;14;J. A. Gonzalez;Dardón;1;0;0;0;NA;NA;12;APO-003801;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Soria;Villar del Ala;NA;NA;NA;1989;8;26;J Garcia;Dardón;1;0;0;0;NA;NA;12;APO-003802;Félix Torres;;;;;;;;;;;;;
Andrena ;Micrandrena;minutula;NA;Spain;Valladolid;Viana de Cega;NA;NA;NA;1994;6;8;J.A Gonzalez;Dardón;0;1;0;0;NA;NA;12;APO-003803;Félix Torres;;;;;;;;;;;;;
