Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja;Notes.and.queries
Megachile;NA;maritima;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;2000;30SVG765136;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Megachile;NA;maritima;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;2000;30SVG765136;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Megachile;NA;lagopoda;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;2000;30SVG765136;J. Ortiz;NA;NA;1;NA;Almería/ UCME;NA
Megachile;Neoeutricharaea;dorsalis;Puerto Peña, río Guadiana;NA;Badajoz;España;30;05;2009;;330;30SUJ1134;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Chalicodoma ;Pseudomegachile;ericetorum;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;2100;30SVG765130;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Megachile;NA;lagopoda;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;2000;30SVG765136;J. Ortiz;NA;NA;1;NA;Almería/ UCME;NA
Megachile;NA;maritima;Foz de Lumbier;NA;Navarra;España;08;07;2008;;NA;NA;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Megachile;NA;lagopoda;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;1850;30SVG765144;J. Ortiz;NA;NA;1;NA;Almería/ UCME;NA
Megachile;NA;lagopoda;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;1850;30SVG765144;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Megachile;NA;lagopoda;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;1850;30SVG765144;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Megachile;NA;maritima;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;1650;30SVG768154;J. Ortiz;NA;NA;1;NA;Almería/ UCME;NA
Megachile;NA;versicolor;Dehesa del Camarate, Lugros;NA;Granada;España;28;07;2009;;2000;30SVG765136;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Osmia;Helicosmia;caerulescens;Pozo de la Rueda;Orce;Granada;España;19;07;2009;;1000;30SWG5972;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Creigthonella;NA;albisecta;Pozo de Juan López;Vélez Blanco;Almería;España;19;07;2009;;1180;30SWG6987;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Megachile;Eutricharaea;pilidens;Pozo de la Rueda;Orce;Granada;España;19;07;2009;;1000;30SWG5972;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Megachile;Neoeutricharaea;deceptoria;Pozo de la Rueda;Orce;Granada;España;19;07;2009;;1000;30SWG5972;J. Ortiz;J. Ortiz;NA;1;NA;NA;NA
Megachile;Eutricharaea;pilidens;Pozo de la Rueda;Orce;Granada;España;19;07;2009;;1000;30SWG5972;J. Ortiz;J. Ortiz;NA;NA;1;NA;NA
Megachile;Neoeutricharaea;deceptoria;Pozo de la Rueda;Orce;Granada;España;19;07;2009;;1000;30SWG5972;J. Ortiz;J. Ortiz;NA;1;NA;NA;NA
Megachile;Neoeutricharaea;deceptoria;Pozo de la Rueda;Orce;Granada;España;19;07;2009;;1000;30SWG5972;J. Ortiz;J. Ortiz;NA;NA;1;NA;NA
Creigthonella;NA;albisecta;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz/C. Ornosa;NA;1;NA;NA;NA
Creigthonella;NA;albisecta;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Megachile;Eutricharaea;pilidens;Pozo de la Rueda;Orce;Granada;España;19;07;2009;;1000;30SWG5972;J. Ortiz;J. Ortiz;NA;NA;1;NA;NA
Megachile;Eutricharaea;pilidens;Pozo de la Rueda;Orce;Granada;España;19;07;2009;;1000;30SWG5972;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Megachile;Neoeutricharaea;apicalis;Pozo de la Rueda;Orce;Granada;España;19;07;2009;;1000;30SWG5972;J. Ortiz;J. Ortiz;NA;NA;1;UCME;NA
Megachile;Eutricharaea;pilidens;Ermita 06rgen Cabeza;María;Almería;España;19;07;2009;;1375;30SWG7271;J. Ortiz;J. Ortiz;NA;NA;1;NA;NA
Osmia;Helicosmia;caerulescens;Pozo de Juan López;Vélez Blanco;Almería;España;19;07;2009;;1180;30SWG6987;J. Ortiz;J. Ortiz;NA;1;NA;NA;NA
Coelioxys;NA;afra;Valverde del Majano;V. del Majano;Sego06a;España;10;07;2009;;915;30TUL9734;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus ;06llacastín;06llacastín;Sego06a;España;02;08;2009;;1115;30TUL7813;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
Icteranthidium;NA;ferrugineum;Rambla Genaro;Tabernas;Almería;España;31;08;2009;;350;30SWF5197;J. Ortiz;J. Ortiz;NA;NA;NA;Almería/ UCME;NA
Peusoanthidium;Royanthidium;melanurum;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;1850;30SVG7614;J. Ortiz;NA;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;cornutus;Macián;Vélez Blanco;Almería;España;19;07;2009;;1200;30SWG6893;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;cornutus;Macián;Vélez Blanco;Almería;España;19;07;2009;;1200;30SWG6893;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;cornutus;Macián;Vélez Blanco;Almería;España;19;07;2009;;1200;30SWG6893;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Anthidiellum;Anthidiellum;strigatum;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;1850;30SVG7614;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;1850;30SVG7614;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;1850;30SVG7614;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;1850;30SVG7614;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Lithurgus;NA;chrysurus   ;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;1850;30SVG7614;J. Ortiz;J. Ortiz;NA;NA;1;Almería/ UCME;NA
Peusoanthidium;Royanthidium ;melanurum;Dehesa del Camarate, Lugros;Lugros;Granada;España;28;07;2009;;1850;30SVG7614;J. Ortiz;J. Ortiz;NA;1;NA;Almería/ UCME;NA
