id;FAMILIA;GeNERO;SUBGÃ‰NERO;ESPECIE;SUBESPECIE;SEXO;DÃA;MES;AÃ‘O;LOCALIDAD;PROVINCIA;COLECTOR;DETERMINADOR;en quÃ© planta
OA87;NA;Bombylius;Zephyrectes;cruciatus;NA;Hembra;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;NA
OA88;NA;Villa ;NA;sp;NA;Macho;12;7;2016;Zamaduenas;Va;G. Aguado;P. A. Fidalgo;NA
OA89;NA;Villa ;NA;sp;NA;Macho;12;7;2016;Auditorio delibes jardines ;Va;G. Aguado;P. A. Fidalgo;NA
OA90;NA;Hemipenthes;NA;velutina;NA;NA;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;NA
OA91;NA;Thyridanthrax;NA;perpicillaris;NA;NA;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;Eryngium campestre
OA92;NA;Chloromyta;NA;formosa;NA;Macho;10;6;2016;Olmedo;Va;G. Aguado;L.O. A.M;NA
OA93;NA;Chloromyta;NA;formosa;NA;Macho;14;5;2016;Hornillos de Eresma;Va;G. Aguado;L.O. A.M;NA
OA94;NA;Lomatia ;NA;tysiphone;NA;Hembra;12;7;2016;Auditorio delibes jardines ;Va;G. Aguado;P. A. Fidalgo;NA
OA95;NA;Lomatia ;NA;tysiphone;NA;Hembra;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;NA
OA96;NA;Physocephala;NA;pusilla;NA;NA;17;7;2016;San Bernardo;Va;G. Aguado;P. A. Fidalgo;NA
OA97;NA;Syritta;NA;pipiens;NA;Macho;13;5;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;NA
OA98;NA;Cylindromyia;NA;pilipes;NA;Macho;14;5;2016;Hornillos de Eresma;Va;G. Aguado;P. A. Fidalgo;NA
OA99;NA;Paragus;Paragus;sp;NA;NA;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;NA
OA100;NA;Stenopterus;NA;ater;NA;NA;13;9;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;Eryngium campestre
OA101;NA;Linnaemya;NA;sp;NA;NA;13;5;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;NA
OA102;NA;Linnaemya;NA;sp;NA;NA;14;5;2016;Olmedo;Va;G. Aguado;P. A. Fidalgo;NA
OA103;NA;Linnaemya;NA;sp;NA;NA;14;5;2016;Olmedo;Va;G. Aguado;P. A. Fidalgo;NA
OA104;NA;Linnaemya;NA;vulpina;NA;NA;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;P. A. Fidalgo;NA
OA105;NA;Eumerus;NA;sp;NA;NA;14;5;2016;Olmedo;Va;G. Aguado;P. A. Fidalgo;NA
OA106;NA;Sphaerophorta;NA;scripta;NA;NA;11;6;2016;San Bernardo;Va;G. Aguado;L.O. A.M;NA
OA107;NA;Eupeodes;NA;corollae;NA;Hembra;12;7;2016;Zamaduenas;Va;G. Aguado;P. A. Fidalgo;Rubus sp
OA108;NA;Volucella;NA;zonaria;NA;Hembra;12;7;2016;Vilalba de los Alcores;Va;G. Aguado;L.O. A.M;NA
