",""id"",""genus"",""species"",""num_individuals"",""sex"",""m_IT"",""day"",""month"",""year"",""collector"",""taxonomist"",""Lat2"",""Long2"""
"474,427,""Andrena"",""aeneiventris"",5,""male"",NA,NA,7,1983,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"475,1213,""Andrena"",""spreta"",1,""male"",1.1,23,6,1978,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"476,970,""Andrena"",""morio"",1,""female"",NA,28,5,1979,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"477,1738,""Nomada"",""pusilla"",5,""female"",NA,22,5,1976,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"478,1325,""Andrena"",""verticalis"",2,""female"",1.2,NA,7,1983,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"479,2970,""Lasioglossum"",""villosulum"",1,""female"",NA,17,5,1976,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
"480,1470,""Eucera"",""nigrilabris"",3,""female"",4.5,4,5,1979,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"481,1244,""Andrena"",""tenuistriata"",1,""female"",NA,5,5,1983,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"482,930,""Andrena"",""lepida"",1,""female"",2.8,8,4,1982,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"483,1901,""Anthophora"",""atroalba"",1,""male"",NA,4,5,1979,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"484,1326,""Andrena"",""verticalis"",8,""male"",NA,NA,7,1983,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"485,2105,""Anthophora"",""sp b"",1,""female"",NA,29,4,1976,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"486,865,""Andrena"",""hesperia"",1,""male"",NA,22,5,1976,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"487,NA,""Nomada"",""bifasciata"",1,""male"",1.8,4,5,1979,""E. Asensio"",""Schwarz"",41.698036,-4.708621"
"488,683,""Andrena"",""ferrugineicrus"",2,""female"",NA,22,5,1976,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"489,487,""Andrena"",""alfkenella"",1,""female"",NA,8,4,1982,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"490,2003,""Anthophora"",""fulvitarsis"",1,""female"",NA,29,5,1979,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"491,5005,""Ceratina"",""chalybea"",2,""male"",NA,NA,NA,1983,""E. Asensio"",""Asensio"",41.698036,-4.708621"
"492,2669,""Lasioglossum"",""interruptum"",1,""female"",NA,6,5,1976,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
"493,365,""Panurginus"",""albopilosus"",1,""female"",0.7,30,6,1978,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"494,1903,""Anthophora"",""atroalba"",1,""male"",NA,NA,5,1979,""E. Asensio"",""Tkalcu"",41.698036,-4.708621"
"495,5280,""Sphecodes"",""spinulosus"",1,""male"",2,1,6,1971,""E. Asensio"",""Warncke"",41.698036,-4.708621"
"496,2955,""Lasioglossum"",""subhirtum"",1,""female"",2,4,5,1976,""E. Asensio"",""Ebmer"",41.698036,-4.708621"
