"eventID","organismQuantity","organismQuantityType","occurrenceID.x","ScientificName","occurrenceID.y","scientificName","occurrenceRemarks","eventDate","decimalLatitude","decimalLongitude","geodeticDatum","country","countryCode","habitat","samplingProtocol","basisOfRecord","locality","verbatimLocality"
"LIFE4POLL1631","less than ten","individuals","LIFE4POLL1631-p-1001418","Helichrysum foetidum","LIFE4POLL1631-a-1001418","Oxythyrea funesta","feeding","2023-05-29*","42.376333","-8.938417","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1632","more than ten","individuals","LIFE4POLL1632-p-1001419","Ulex europaeus","LIFE4POLL1632-a-1001419","Oxythyrea funesta","feeding","20/05/2023","42.376383","-8.93845","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1633","less than ten","individuals","LIFE4POLL1633-p-1001420","Cistus sp.","LIFE4POLL1633-a-1001420","Chrysomelidae","na","20/05/2023","42.378583","-8.936005","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1634","more than ten","individuals","LIFE4POLL1634-p-1001421","Asteraceae","LIFE4POLL1634-a-1001421","Exosoma lusitanicum","feeding","20/05/2023","42.376807","-8.935318","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1635","less than ten","individuals","LIFE4POLL1635-p-1001422","Asteraceae","LIFE4POLL1635-a-1001422","Cryptocephalus vittatus","feeding","20/05/2023","42.377822","-8.940125","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1636","more than ten","individuals","LIFE4POLL1636-p-1001423","Coleostephus myconis","LIFE4POLL1636-a-1001423","Psilothrix viridicoerulea","feeding","20/05/2023","42.377822","-8.936005","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1637","more than ten","individuals","LIFE4POLL1637-p-1001424","Tuberaria guttata","LIFE4POLL1637-a-1001424","Psilothrix viridicoerulea","na","2023-05-29*","42.379851","-8.937378","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1638","more than ten","individuals","LIFE4POLL1638-p-1001425","Coleostephus myconis","LIFE4POLL1638-a-1001425","Mordellidae","na","2023-05-29*","42.379851","-8.934631","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL1639","less than ten","individuals","LIFE4POLL1639-p-1001426","Cistus salviifolius","LIFE4POLL1639-a-1001426","Mordellidae","feeding","20/05/2023","42.372749","-8.937378","WGS84","Spain","ES","island","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","ES0000254|ES1140004","observation located in Natura 2000 sites with codes ES0000254|ES1140004"
"LIFE4POLL164","more than ten","individuals","LIFE4POLL164-p-1000144","Tropaeolum majus","LIFE4POLL164-a-1000144","Anthophora plumipes","feeding","13/04/2022","37.515913","15.073666","WGS84","Italy","IT","urban","visual observation|photograph|Barberis et al. (in press) ""Insect-flower interactions in the Mediterranean area: a Citizen Science dataset collated within the LIFE 4 Pollinators project"". https://doi.org/xxxxx","HumanObservation","OutsideNatura2000","observation located outside Natura 2000 sites"
