Genus,Subgenus,Species,Subspecies,Name,Country,Province,Locality,Municipality,Latitude,Longitude,Year,Month,Day,Date,Collector,Determiner,Sex
Hylaeus,NA,pictipes,NA,Hylaeus pictipes,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,m
Lasioglossum,NA,villosulum,NA,Lasioglossum villosulum,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,m
Lasioglossum,NA,villosulum,NA,Lasioglossum villosulum,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,m
Lasioglossum,NA,villosulum,NA,Lasioglossum villosulum,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,m
Lasioglossum,NA,villosulum,NA,Lasioglossum villosulum,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,m
Lasioglossum,NA,villosulum,NA,Lasioglossum villosulum,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,39.72164,3.17062,2018,5,28,28/5/18,M. A. González-Estévez,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Andrena,NA,sardoa,NA,Andrena sardoa,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,f
Andrena,NA,sardoa,NA,Andrena sardoa,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,f
Andrena,NA,sardoa,NA,Andrena sardoa,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Andrena,NA,sardoa,NA,Andrena sardoa,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,f
Andrena,NA,sardoa,NA,Andrena sardoa,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Andrena,NA,sardoa,NA,Andrena sardoa,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Andrena,NA,sardoa,NA,Andrena sardoa,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,C. Gómez-Martínez,M. A. González-Estévez,f
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Apis,NA,mellifera,NA,Apis mellifera,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,C. Gómez-Martínez,NA
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,m
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,m
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,C. Gómez-Martínez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,f
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,NA
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,NA
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,NA
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,NA
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,NA
Eucera,NA,oraniensis,NA,Eucera oraniensis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,NA
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,5,11,11/5/18,M. A. González-Estévez,M. A. González-Estévez,f
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,M. A. González-Estévez,M. A. González-Estévez,f
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Halictus,NA,gemmeus,NA,Halictus gemmeus,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Halictus,NA,scabiosae,NA,Halictus scabiosae,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,4,4/4/18,M. A. González-Estévez,M. A. González-Estévez,f
Halictus,NA,scabiosae,NA,Halictus scabiosae,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,4,20,20/4/18,C. Gómez-Martínez,M. A. González-Estévez,f
Hylaeus,NA,clypearis,NA,Hylaeus clypearis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,m
Hylaeus,NA,clypearis,NA,Hylaeus clypearis,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,m
Lasioglossum,NA,griseolum,NA,Lasioglossum griseolum,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,M. A. González-Estévez,M. A. González-Estévez,m
Lasioglossum,NA,malachurum,NA,Lasioglossum malachurum,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,M. A. González-Estévez,M. A. González-Estévez,f
Lasioglossum,NA,malachurum,NA,Lasioglossum malachurum,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Lasioglossum,NA,malachurum,NA,Lasioglossum malachurum,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Lasioglossum,NA,malachurum,NA,Lasioglossum malachurum,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Lasioglossum,NA,malachurum,NA,Lasioglossum malachurum,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Lasioglossum,NA,malachurum,NA,Lasioglossum malachurum,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Lasioglossum,NA,malachurum,NA,Lasioglossum malachurum,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Lasioglossum,NA,punctatissimum,NA,Lasioglossum punctatissimum,Spain,"Balears, Illes",Can Refila,Petra,39.67598,3.18368,2018,6,13,13/6/18,M. A. González-Estévez,M. A. González-Estévez,f
Amegilla,NA,quadrifasciata,NA,Amegilla quadrifasciata,Spain,"Balears, Illes",Can Vola Vola,Palma,39.54628,2.80985,2018,6,12,12/6/18,C. Gómez-Martínez,M. A. González-Estévez,m
Amegilla,NA,quadrifasciata,NA,Amegilla quadrifasciata,Spain,"Balears, Illes",Can Vola Vola,Palma,39.54628,2.80985,2018,10,16,16/10/18,C. Gómez-Martínez,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,39.54628,2.80985,2018,3,30,30/3/18,M. A. González-Estévez,M. A. González-Estévez,m
Andrena,NA,flavipes,NA,Andrena flavipes,Spain,"Balears, Illes",Can Vola Vola,Palma,39.54628,2.80985,2018,5,23,23/5/18,C. Gómez-Martínez,M. A. González-Estévez,f
Andrena,NA,flavipes,NA,Andrena flavipes,Spain,"Balears, Illes",Can Vola Vola,Palma,39.54628,2.80985,2018,6,12,12/6/18,C. Gómez-Martínez,M. A. González-Estévez,f
Andrena,NA,flavipes,NA,Andrena flavipes,Spain,"Balears, Illes",Can Vola Vola,Palma,39.54628,2.80985,2018,6,12,12/6/18,M. A. González-Estévez,M. A. González-Estévez,f
Andrena,NA,flavipes,NA,Andrena flavipes,Spain,"Balears, Illes",Can Vola Vola,Palma,39.54628,2.80985,2018,6,12,12/6/18,M. A. González-Estévez,M. A. González-Estévez,f
