LABEL;coord x;coord y;HABITAT/FIELD PLOT CODE;IDENTIFIER NAME;DATE;SPECIES NAME;ABUNDANCE;;;;;;
;;;Ed02j_Bd3_066;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum (Lasiog.) leucozonium;4;;;;;;
;;;Ed02j_Bd3_066;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum malachurum;1;;;;;;
;;;Ed02j_Bd3_066;F. Javier Ortiz Sánchez;2010-06-18;Panurgus calcaratus;2;;;;;;
;;;Ed02j_Bd3_066;F. Javier Ortiz Sánchez;2010-06-18;Panurgus cephalotes;2;;;;;;
;;;Ed02j_Bd3_066;F. Javier Ortiz Sánchez;2010-06-18;Sphecodes  reticulatus;2;;;;;;
Ed_02k;236898,98;4448002,3;Ed02k_Bd1_067;;2010-05-20;;0;;;;;;
;;;Ed02k_Bd2_068;F. Javier Ortiz Sánchez;2010-06-01;Eeucera codinai;2;;;;;;
;;;Ed02k_Bd2_068;F. Javier Ortiz Sánchez;2010-06-01;Eeucera sp.;2;;;;;;
;;;Ed02k_Bd2_068;F. Javier Ortiz Sánchez;2010-06-01;Osmia sp.;1;;;;;;
;;;Ed02k_Bd3_069;G. González Bornay;2010-06-18;Apis mellifera;1;;;;;;
;;;Ed02k_Bd3_069;F. Javier Ortiz Sánchez;2010-06-18;Andrena sp.;23;;;;;;
;;;Ed02k_Bd3_069;F. Javier Ortiz Sánchez;2010-06-18;Hylaeus sp.;1;;;;;;
;;;Ed02k_Bd3_069;F. Javier Ortiz Sánchez;2010-06-18;hymenoptera sp.;2;;;;;;
;;;Ed02k_Bd3_069;F. Javier Ortiz Sánchez;2010-06-18;Nomada sp.;4;;;;;;
;;;Ed02k_Bd3_069;F. Javier Ortiz Sánchez;2010-06-18;Sphecodes  sp.;4;;;;;;
Ed_02LB;237183,16;4446475,5;Ed02lb_Bd1_070;F. Javier Ortiz Sánchez;2010-05-20;Andrena sp.;2;;;;;;
;;;Ed02lb_Bd1_070;F. Javier Ortiz Sánchez;2010-05-20;Anthophora salviae;1;;;;;;
;;;Ed02lb_Bd1_070;G. González Bornay;2010-05-20;Apis mellifera;3;;;;;;
;;;Ed02lb_Bd2_071;G. González Bornay;2010-06-01;Apis mellifera;3;;;;;;
;;;Ed02lb_Bd2_071;F. Javier Ortiz Sánchez;2010-06-01;Eeucera sp.;1;;;;;;
;;;Ed02lb_Bd2_071;F. Javier Ortiz Sánchez;2010-06-01;Panurgus cephalotes;1;;;;;;
;;;Ed02lb_Bd3_072;G. González Bornay;2010-06-01;Apis mellifera;1;;;;;;
;;;Ed02lb_Bd3_072;F. Javier Ortiz Sánchez;2010-06-18;Andrena sp.;17;;;;;;
;;;Ed02lb_Bd3_072;F. Javier Ortiz Sánchez;2010-06-18;Sphecodes reticulatus;1;;;;;;
;;;Ed02lb_Bd3_072;F. Javier Ortiz Sánchez;2010-06-18;Andrena sp.;6;;;;;;
;;;Ed02lb_Bd3_072;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum (lasiog.) sp.;4;;;;;;
;;;Ed02lb_Bd3_072;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum (Lasiog.) leucozonium;2;;;;;;
;;;Ed02lb_Bd3_072;F. Javier Ortiz Sánchez;2010-06-18;Lasioglossum malachurum;5;;;;;;
;;;Ed02lb_Bd3_072;F. Javier Ortiz Sánchez;2010-06-18;Sphecodes  sp.;1;;;;;;
Ed_02LC;237188,6;4447903,7;Ed02lc_Bd1_073;G. González Bornay;2010-05-20;Apis mellifera;2;;;;;;
;;;Ed02lc_Bd2_074;F. Javier Ortiz Sánchez;2010-06-01;Andrena sp. ;1;;;;;;
