nNoCatalogo;bTipo;nNoCatTipos;tCategoTipo;nEjemplares;Superfamilia;Familia;Subfamilia;tGenero;tSubgenero;tEspecie;Infra;tAutor;tNotas;tNotasTaxonomicas;LocalidadOrig;tLocalidad;tMunicipio;Provincia;Comunidad;Pais;tFechaCaptura;nDia;nMes;nAnio;nDia2;nMes2;nAnio2;tColector;tNotasCaptura;tAltitud;tUTM;tSexo;tProcedencia;tAutorDeterminacion;nAnioDeterminacion;tEtiquetaEn;NotasFechas
313839;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Galapagar (Madrid);Galapagar;;Madrid;Madrid;España;18-6-32;18;6;1932;;;;Dusmet;;;;hembra;Colección Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313773;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes C. Rey det.//Colletes abeillei Pér. hembra Ortiz det. 2000// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial. Los Arroyos Madrid;San Lorenzo de El Escorial;;Madrid;Madrid;España;1-VII-1984;1;7;1984;;;;C. Rey;;;;hembra;ex. Col. C. Rey;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313774;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes C. Rey det.//Colletes abeillei Pér. hembra Ortiz det. 2000// Colletes abeillei Pérez, 1903 hembra det. P. Álvarez 2021.;Escorial. Los Arroyos Madrid;San Lorenzo de El Escorial;;Madrid;Madrid;España;1-VII-1984;1;7;1984;;;;C. Rey;;;;hembra;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313775;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. macho Ortiz 2000// Colletes abeillei Pérez, 1903 macho det. P. Álvarez 2021.;El Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;sin datos;;;1901;;;1924;J. Dusmet;;;;macho;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;1901-1924
313776;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. macho det. Noskiewicz// Colletes abeillei Pérez, 1903 macho det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;macho;;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313777;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. macho det. Noskiewicz// Colletes abeillei Pérez, 1903 macho det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;macho;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313778;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. macho det. Noskiewicz// Colletes abeillei Pérez, 1903 macho det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;macho;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313779;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. macho det. Noskiewicz// Colletes abeillei Pérez, 1903 macho det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;macho;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313780;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. macho det. Noskiewicz// Colletes abeillei Pérez, 1903 macho det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;macho;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
313781;FALSKT;;;1;Apoidea;Colletidae;Colletinae;Colletes;;abeillei;;Pérez, 1903;;Etiquetas: Colletes abeillei Pér. macho det. Noskiewicz// Colletes abeillei Pérez, 1903 macho det. P. Álvarez 2021.;Escorial;San Lorenzo de El Escorial;;Madrid;Madrid;España;30-6-23;30;6;1923;;;;Dusmet;;;;macho;Coll. Dusmet;P. Álvarez [Piluca Álvarez Fidalgo];2021;ejemplar;
