Genus,Subgenus,Species,Subspecies,name,Country,Province,Locality,Locality,Latitude,Longitude,Year,Month,Day,Date,Collector,Determiner,Sex
Andrena,NA,minutula,NA,Andrena minutula,Spain,"Balears, Illes",Son Forteza,Artà,3.970.549,331.425,2018,6,4,4/6/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Aloe Vera Farm,Santa Margalida,3.972.164,317.062,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Camí de Son Dameto,Esporles,3.967.318,257.537,2018,6,4,4/6/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Camí de Son Dameto,Esporles,3.967.318,257.537,2018,6,4,4/6/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,5,16,16/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,5,16,16/5/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,5,16,16/5/18,NA,M. A. González-Estévez,m
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,6,4,4/6/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,6,4,4/6/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,6,4,4/6/18,NA,M. A. González-Estévez,NA
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Refila,Petra,3.967.598,318.368,2018,6,4,4/6/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,4,9,9/4/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
Andrena,NA,fabrella,NA,Andrena fabrella,Spain,"Balears, Illes",Can Vola Vola,Palma,3.954.628,280.985,2018,5,14,14/5/18,NA,M. A. González-Estévez,f
