Genus;Subgenus;Species;Locality;Municipe;Province;Country;Year;Month;Day;Start.date;End.date;Altitud;GPS.(N);GPS.(E);Collector;Determined.by;Year.ident;Male;Female;Worker;Proced/caja;Notes.and.queries;Comentarios
Bombus;Bombus; terrestris;Santa Olaria;NA;Huesca;España;2013;7;9;NA;NA;950;"42º28'34""N";"0º3'18""W";F. Torres/C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus;Bombus; terrestri;Santa Olaria;NA;Huesca;España;2013;7;9;NA;NA;950;"42º28'34""N";"0º3'18""W";F. Torres/C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus;Bombus;terrestris;Santa Olaria;NA;Huesca;España;2013;7;9;NA;NA;950;"42º28'34""N";"0º3'18""W";F. Torres/C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus;Thoracobombus;cf pascuorum;Santa Olaria;NA;Huesca;España;2013;7;9;NA;NA;950;"42º28'34""N";"0º3'18""W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;cf pascuorum ;Santa Olaria;NA;Huesca;España;2013;7;9;NA;NA;950;"42º28'34""N";"0º3'18""W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;sylvarum;Santa Olaria;NA;Huesca;España;2013;7;9;NA;NA;950;"42º28'34""N";"0º3'18""W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Bombus; terrestris?terrestris oscuro;Santa Olaria;NA;Huesca;España;2013;7;9;NA;NA;950;"42º28'34""N";"0º3'18""W";F. Torres/C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus;Bombus;terrestris;Santa Olaria;NA;Huesca;España;2013;7;9;NA;NA;950;"42º28'34""N";"0º3'18""W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Thoracobombus;mucidus;Cico de Soaso, cola de caballo;P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1750;"42°38'59""N";"0°3'37""W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;ruderarius;Cico de Soaso, cola de caballo;P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1750;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Thoracobombus;ruderarius;Cico de Soaso, cola de caballo;P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1750;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Bombus;terrestris;Pradera Camino Gradas de Soaso desde cola de caballo;P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1720;"42º38'07""N";"0º0'39""W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus;Bombus;lucorum;Pradera Camino Gradas de Soaso desde cola de caballo;P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1720;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;ruderarius;Pradera Camino Gradas de Soaso desde cola de caballo;P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1720;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus;Alpigenobombus;wuerflenii;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;"42º38'09""N";"0º0'38""W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Melanobombus;lapidarius;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Thoracobombus;muscorum;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Kallobombus;soroeensis;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Thoracobombus;mucidus;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Thoracobombus;ruderarius;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Psithyrus;rupestris;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus;Kallobombus;soroeensis;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;CACLM;NA;NA
Bombus;Thoracobombus;mesomelas;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Kallobombus;soroeensis;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Psithyrus;rupestris;Pradera Gradas de Soaso; P.N. Ordesa;Huesca;España;2013;7;10;NA;NA;1660;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus;Bombus;lucorum;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus;Melanobombus;lapidarius;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Melanobombus;lapidarius;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;NA;NA;CACLM;NA;NA
Bombus;Kallobombus;soroeensis;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;CACLM;NA;NA
Bombus;Thoracobombus;humilis;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Bombus;terrestris;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus;Kallobombus;soroeensis;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;ruderarius;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;ruderarius;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus;Psithyrus;quadricolor;Laña Sarratieto, Pradera lado del Río;P.N .Ordesa;Huesca;España;2013;7;10;NA;NA;1360;"42º 38' 50"" N";"0º 03' 11"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus;Bombus;terrestris;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus;Thoracobombus;mesomelas;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Bombus;lucorum;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Bombus;lucorum;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Bombus;lucorum;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Bombus;lucorum;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Bombus;lucorum;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Melanobombus;lapidarius;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Melanobombus;lapidarius;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;humilis;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Bombus;lucorum;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Bombus;lucorum;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Thoracobombus;ruderarius;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Melanobombus;lapidarius;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;ruderarius;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Thoracobombus;humilis;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;ruderarius;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;mucidus;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Bombus;lucorum;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus;mesomelas;Pista de las Cutas;límte con el PN Ordesa;Huesca;España;2013;7;11;NA;NA;1950;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;CACLM;NA;NA
Bombus;Kallobombus;soroeensis;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus;Bombus;lucorum;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus;Thoracobombus; humilis;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus; humilis;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus; humilis;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus; humilis;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus; humilis;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Thoracobombus; humilis;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus;Thoracobombus; humilis;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus;Thoracobombus; humilis;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;"42º 38' 30"" N";" 0º 04' 55"" W";F. Torres/C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Anthophora;NA;NA;Salida Túnel de Cotefoblo;Linas de broto;Huesca;España;2013;7;12;NA;NA;1420;NA;NA;F. Torres/C. Ornosa;C. Ornosa;2013;NA;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris, lucorum?;Cerro Colgado;Cercedilla;Madrid;España;2013;7;13;NA;NA;NA;"40º44'42"" N";"0º03'57"" W";C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus ;Bombus;terrestris, lucorum?;Cerro Colgado;Cercedilla;Madrid;España;2013;7;13;NA;NA;NA;"40º44'42"" N";"0º03'57"" W";C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus ;Bombus;terrestris, lucorum?;Cerro Colgado;Cercedilla;Madrid;España;2013;7;21;NA;NA;NA;"40º44'42"" N";"0º03'57"" W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus;terrestris, lucorum?;Cerro Colgado;Cercedilla;Madrid;España;2013;7;22;NA;NA;NA;"40º45'14"" N";"4º3'58"" N";C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Andrena;NA;NA;Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;1;;UCME;NA;NA
