Genus;Subgenus;Species;Locality;Municipe;Province;Country;Year;Month;Day;Start.date;End.date;Altitud;GPS.(N);GPS.(E);Collector;Determined.by;Year.ident;Male;Female;Worker;Proced/caja;Notes.and.queries;Comentarios
Bombus ;Bombus;terrestris;Subida Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1750;"40º47'5""N";"4º3'1""W";C. Ornosa;C. Ornosa;2013;NA;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Subida Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1750;"40º47'5""N";"4º3'1""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Subida Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1750;"40º47'5""N";"4º3'1""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Subida Pto Fuenfría ;NA;Madrid;España;2013;8;6;NA;NA;1750;"40º47'5""N";"4º3'1""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Subida Pto Morcuera;NA;Madrid;España;2013;8;9;NA;NA;1510;"40º52'3""N";"3º50'39""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Subida Pto Morcuera;NA;Madrid;España;2013;8;9;NA;NA;1510;"40º52'3""N";"3º50'39""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Subida Pto Morcuera;NA;Madrid;España;2013;8;9;NA;NA;1510;"40º52'3""N";"3º50'39""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Subida Pto Morcuera;NA;Madrid;España;2013;8;9;NA;NA;1510;"40º52'3""N";"3º50'39""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus ;Bombus;terrestris, lucorum?;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris, lucorum?;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;humilis;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus; lucorum;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris, lucorum?;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus; lucorum;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;humilis;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;humilis;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris, lucorum?;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus; lucorum;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Camino presa;Cercedilla;Madrid;España;2013;8;20;NA;NA;1323;"40º45'14""N";"4º3'50""W";C. Ornosa;C. Ornosa;2013;1;NA;;CACLM;NA;NA
Bombus ;Psithyrus;campestris;Pto Fuenfría ;NA;Madrid;España;2013;8;21;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Pto Fuenfría ;NA;Madrid;España;2013;8;21;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;21;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;1;NA;;CACLM;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;21;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;1;NA;;CACLM;NA;NA
Bombus ;Bombus;terrestris;Pto Fuenfría ;NA;Madrid;España;2013;8;21;NA;NA;1797;"40º47'31""N";"4º3'35""W";C. Ornosa;C. Ornosa;2013;1;NA;;CACLM;NA;NA
Bombus ;Bombus;terrestris;Fuente de Antón R. Velasco, Camino Schmid;NA;Madrid;España;2013;8;29;NA;NA;1720;NA;NA;C. Ornosa;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Fuente de Antón R. Velasco, Camino Schmid;NA;Madrid;España;2013;8;29;NA;NA;1720;NA;NA;C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus ;Thoracobombus;pascuorum;Fuente de Antón R. Velasco, Camino Schmid;NA;Madrid;España;2013;8;29;NA;NA;1720;NA;NA;C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus ;Thoracobombus;pascuorum;Fuente de Antón R. Velasco, Camino Schmid;NA;Madrid;España;2013;8;29;NA;NA;1720;NA;NA;C. Ornosa;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus ;Bombus;terrestris;Madrid, Fuente del Berro;NA;Madrid;España;2013;9;21;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Madrid, Fuente del Berro;NA;Madrid;España;2014;9;21;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;0;1;CACLM;NA;NA
Bombus ;Bombus;terrestris;Madrid, Fuente del Berro;NA;Madrid;España;2013;9;24;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;1;NA;;CACLM;NA;NA
Bombus ;Thoracobombus;humilis;Moscoso;NA;Pontevedra;España;2013;8;15;NA;NA;NA;"42º 19' 00"" N   ";"83º 30' 00"" W";R. Outerelo;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;15;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;15;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Thoracobombus;humilis;Moscoso;NA;Pontevedra;España;2013;8;15;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;15;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;25;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;25;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Thoracobombus;humilis;Moscoso;NA;Pontevedra;España;2013;8;25;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;25;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Megabombusbombus;hortorum;Moscoso;NA;Pontevedra;España;2013;8;25;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;0;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Moscoso;NA;Pontevedra;España;2013;8;25;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;27;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Bombus;terrestris;Moscoso;NA;Pontevedra;España;2013;8;27;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;NA;NA;NA;02-08-2013;10-08-2013;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;NA;1;UCME;NA;NA
Bombus ;Megabombusbombus;hortorum;Moscoso;NA;Pontevedra;España;NA;NA;NA;02-08-2013;10-08-2013;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;NA;1;UCME;NA;NA
Bombus ;Megabombusbombus;hortorum;Moscoso;NA;Pontevedra;España;NA;NA;NA;02-08-2013;10-08-2013;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;NA;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Moscoso;NA;Pontevedra;España;2013;8;30;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;30;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;NA;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;30;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;NA;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;30;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;NA;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;30;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;NA;1;UCME;NA;NA
Bombus ;Thoracobombus;pascuorum;Moscoso;NA;Pontevedra;España;2013;8;30;NA;NA;NA;NA;NA;R. Outerelo;C. Ornosa;2013;NA;NA;1;UCME;NA;NA
Bombus;Bombus;lucorum;Montemayor del Río;Sierra de Béjar;Salamanca;España;2013;7;2;NA;NA;2000;NA;NA;D. Romero;C. Ornosa;2013;1;NA;;UCME;NA;NA
Bombus ;(Megabombus);ruderatus;Aldeadávila de la Ribera;" Arribes del Duero,Ruta ""Cola de Caballo""";Salamanca;España;2013;6;13;NA;NA;NA;NA;NA;Isa M.L.;C. Ornosa;2013;NA;NA;1;UCME;NA;NA
Bombus ;Bombus;terrestris;Madrid;NA;Madrid;España;1983;6;2;NA;NA;NA;NA;NA;S. Carnicero;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus ;Bombus;terrestris;Jardín del Mozo, Madrid;NA;Madrid;España;1983;5;3;NA;NA;NA;NA;NA;B. Chevarrías;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus ;Bombus;terrestris;Laguna Negra-Urbión;NA;Soria;España;1980;7;1;NA;NA;NA;NA;NA;A. Belinchón;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus ;Bombus;terrestris;Moratalaz, Madrid;NA;Madrid;España;1983;6;2;NA;NA;NA;NA;NA;Reinaldo D.;C. Ornosa;2013;NA;1;;UCME;NA;NA
Bombus ;Bombus;terrestris;Navalcán;NA;Toledo;España;1980;3;15;NA;NA;NA;NA;NA;A. Martín;C. Ornosa;2013;NA;NA;NA;UCME;NA;NA
Bombus ;Bombus;terrestris;Carabanchel;NA;Madrid;España;1981;7;1;NA;NA;NA;NA;NA;P. Torres redondo;C. Ornosa;2013;1;NA;;UCME;NA;NA
