"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Amegilla",NA,"quadrifasciata",NA,"PT","Porto","Porto",41.15724,-8.629481,1e-06,1954,7,14,195,195,"Nuno Freire de Andrade","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Amegilla quadrifasciata, by Maurits Anne Lieftinck 1962","ZOO.0024770"
"Apis",NA,"mellifera",NA,"PT","Coimbra","Serra da Boa Viagem",40.201696,-8.881317,1e-06,1958,7,10,191,191,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"","ZOO.0032728"
"Andrena",NA,"flavipes",NA,"PT","Porto","Leça da Palmeira",41.193878,-8.699682,1e-06,1969,7,9,190,190,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena sp., by Manuel Assunção Diniz","ZOO.0017493"
"Anthophora",NA,"femorata",NA,"PT","Porto","Amarante",41.270475,-8.081719,1e-06,1969,6,16,167,167,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthophora femorata, by Manuel Assunção Diniz","ZOO.0025140"
"Panurgus",NA,"cephalotes",NA,"PT","Coimbra","Parque de Campismo",40.166237,-8.85775,1e-06,1968,6,2,154,154,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Panurgus cephalotes, by Manuel Assunção Diniz","ZOO.0017763"
"Andrena",NA,"labialis",NA,"PT","Coimbra","Ponte da Portela",40.185474,-8.395783,1e-06,1968,4,9,100,100,"Manuel Assunção Diniz","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Andrena labialis, by Klaus Warncke","ZOO.0027950"
"Bombus",NA,"terrestris",NA,"PT","Leiria","Água de Madeiros",39.734957,-9.036108,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",0,1,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Bombus sp., by H Gaspar","ZOO.0029599"
"Bombus",NA,"terrestris",NA,"PT","Coimbra","Coimbra",40.204759,-8.421371,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Bombus sp., by H Gaspar","ZOO.0030873"
"Apis",NA,"mellifera",NA,"PT","Aveiro","Buçaco",40.374868,-8.364734,1e-06,NA,NA,NA,NA,NA,"unknown","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Apis mellifera, by H Gaspar","ZOO.0030468"
"Anthophora",NA,"plumipes",NA,"PT","Coimbra","Pinhal de Marrocos",40.190356,-8.421818,1e-06,1968,3,15,75,75,"Manuel Assunção Diniz","Hugo Gaspar",1,0,NA,0,"ec68e247-0266-4161-add9-274c70664baf",NA,"55283073-38cd-48c4-bf48-7c8647a43221",NA,"Anthophora plumipes, by Manuel Assunção Diniz","ZOO.0029328"
