"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena","Euandrena","angustior",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2024,5,7,NA,NA,"Monica Doblas Bajo, Carlos Fernandez Alvarez","Piluca Alvarez Fidalgo",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6995",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Melandrena","barbareae",NA,"Spain","Lugo","Folgoso do Courel",42.614264,-7.095675,1280,2024,4,17,NA,NA,"Monica Doblas Bajo, Saul Bernat Ponce","Carlos Fernandez Alvarez",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6995",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Melandrena","morio",NA,"Spain","A Coruña","Paderne",43.293034,-8.17196,167,2023,3,30,NA,NA,"Maria Jose Servia Garcia","Yamil Jimenez Rodríguez",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6996",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Melandrena","morio",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2023,4,16,NA,NA,"Luis de Pedro Noriega, Monica Doblas Bajo","Alejandro Nuñez Carbajal",1,0,0,0,"https://doi.org/10.70186/baeeNRAG6997",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Plastandrena","agilissima",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,4,15,NA,NA,"Monica Doblas Bajo, Saul Bernat Ponce","Carlos Fernandez Alvarez",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6998",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Plastandrena","agilissima",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,5,1,NA,NA,"Ines Jimenez Fernandez, Piluca Alvarez Fidalgo","Luis de Pedro Noriega, Monica Doblas Bajo",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6999",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Simandrena","dorsata",NA,"Spain","A Coruña","Paderne",43.293034,-8.17196,167,2024,4,16,NA,NA,"Monica Doblas Bajo, Saul Bernat Ponce","Alvaro Asenjo Guerra",2,0,0,0,"https://doi.org/10.70186/baeeNRAG7000",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Taeniandrena","afzeliella",NA,"Spain","A Coruña","Embalse de Abegondo-Cecebre",43.270219,-8.275169,47,2024,5,24,NA,NA,"Monica Doblas Bajo, Alejandro Núñez Carbajal","Alvaro Asenjo Guerra, Piluca Alvarez Fidalgo",1,0,0,0,"https://doi.org/10.70186/baeeNRAG6995",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Andrena","Petrusianna","caudata",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,6,1,NA,NA,"Luis de Pedro Noriega, Monica Doblas Bajo","Ines Jimenez Fernandez, Alvaro Asenjo Guerra",2,0,0,0,"https://doi.org/10.70186/baeeNRAG6995",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Anthophora","Anthophora","crinipes",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,4,15,NA,NA,"Monica Doblas Bajo, Saul Bernat Ponce","Guillermo Cabezas Torrero",0,1,0,0,"https://doi.org/10.70186/baeeNRAG6996",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
"Anthophora","Caranthophora","pubescens",NA,"Spain","Ourense","Enciña da Lastra (Rubiá)",42.46636,-6.830709,717,2024,5,8,NA,NA,"Monica Doblas Bajo, Carlos Fernandez Alvarez","Alejandro Nuñez Carbajal",1,0,0,0,"https://doi.org/10.70186/baeeNRAG6997",NA,"UCME","Núñez Carbajal, A.; Álvarez Fidalgo, P.; Jiménez Fernández, I.; Fernández Álvarez, C.; Asenjo Guerra, Á.; Jiménez Rodríguez, Y.; López Dos Santos, N.; González-Ferreiro, M.; Cabezas Torrero, G & Yanguas-Fernandez, E. ","2023, pantraps; 2024, transects",""
