"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid"
"Bombus",NA,"terrestris",NA,"España","Asturias","Villar (Luarca)",NA,NA,NA,"1990",10,22,NA,NA,"A. M. Glez Lozano","A. M. Glez Lozano",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102438"
"Bombus",NA,"sp.",NA,"España","Asturias","Luanco",NA,NA,NA,"1987",5,9,NA,NA,"M. Zavala","M. Zavala",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102439"
"Bombus",NA,"ruderans",NA,"España","Madrid","Madrid",NA,NA,NA,"1988",7,14,NA,NA,"Antonio Gómez Fdez","Antonio Gómez Fdez",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum","Jardines",NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102440"
"Bombus",NA,"terrestris",NA,"España","Asturias/León","Oviedo/Ponferrada",NA,NA,NA,NA,NA,NA,NA,NA,"Idoia Villate/Claudia Martínez","Idoia Villate",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102441"
"Bombus",NA,"terrestris",NA,"España","Asturias","S. Timoteo (Luarca)",NA,NA,NA,"1988",10,26,NA,NA,"T. Montoto","T. Montoto",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102442"
"Bombus",NA,"sp.",NA,"España","Cantabria","Cabo Mayor",NA,NA,NA,"1987",5,1,NA,NA,"Francisco Iglesias","Francisco Iglesias",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum","Pradera",NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102443"
"Bombus",NA,"terrestris",NA,"España","León","Ponferrada",NA,NA,NA,"1989",5,7,NA,NA,"Claudia Martínez","Claudia Martínez",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102444"
"Bombus",NA,"lucorum",NA,"España","Asturias","Naranco (Oviedo)",NA,NA,NA,"1988",6,7,NA,NA,"Gemma G. P.","Gemma G. P.",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum","Matorral",NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102445"
"Bombus",NA,"sp.",NA,"España","Asturias","Rodiles",NA,NA,NA,NA,NA,NA,NA,NA,"Paloma Silva","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum","Prado",NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102446"
"Bombus",NA,"sp.",NA,"España","Asturias","Pravia",NA,NA,NA,"1989",10,11,NA,NA,"L. Valle","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102447"
"Bombus",NA,"terrestris",NA,"España","Asturias","Turón",NA,NA,NA,"1982",5,9,NA,NA,"Ángeles García Cosío","",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102448"
"Bombus",NA,"terrestris",NA,"España","Asturias","Muros de Nalón",NA,NA,NA,"1989",5,25,NA,NA,"Fdo Álvarez","Fdo Álvarez",NA,NA,NA,1,NA,NA,NA,"Oviedo Museum",NA,NA,"87_NOCOMPLEXHymenopteros_OVIEDO_2023102449"
