flag;checked;synonym_names;questionable;accepted_name;accepted_subspecies;Notes
Ceratina cucurbitula;Ceratina cucurbitina;NA;NA;Ceratina cucurbitina;;
Chalicodoma albonotata;NA;NA;NA;Megachile albonotata;;
Chalicodoma ericetorum;NA;NA;NA;Megachile ericetorum;;
Chalicodoma parietina;NA;NA;NA;Megachile parietina;;
Chalicodoma pyrenaica;NA;NA;NA;Megachile pyrenaica;;
Chalicodoma sicula;NA;NA;NA;Megachile sicula;;
Chelostoma campanulorum;Chelostoma campanularum;NA;NA;Chelostoma campanularum;;
Chelostoma florisomnis;Chelostoma florisomne;NA;NA;Chelostoma florisomne;;
Chelostoma lucens;NA;NA;NA;Remove;;Not in Iberia, eastern species
Coelioxys acanthura;Coelioxys acanthurus;NA;NA;Coelioxys acanthurus;;
Coelioxys afra;Coelioxys afer;NA;NA;Coelioxys afer;;
Coelioxys allocoelioxys;NA;NA;NA;Remove;;Just reported at subgeneric level, delete
Coelioxys aurolimbata;Coelioxys atrolimbata;NA;NA;Coelioxys aurolimbatus;;
Coelioxys conoidea;Coelioxys conoideus;NA;NA;Coelioxys conoideus;;
Coelioxys echinata;Coelioxys echinatus;NA;NA;Coelioxys echinatus;;
Coelioxys elongata;Coelioxys elongatus;NA;NA;Coelioxys elongatus;;
Coelioxys haemorrhous;Coelioxys haemorrhoa;NA;NA;Coelioxys haemorrhoa;;
Coelioxys haemorroa;Coelioxys haemorrhoa;NA;NA;Coelioxys haemorrhoa;;
Coelioxys obtusa;Coelioxys obtusus;NA;NA;Coelioxys obtusus;;
Coelioxys rufocaudata;NA;NA;NA;Coelioxys echinatus;;
Colletes caspicus;NA;NA;NA;Remove;;Not in Iberia
Colletes cunicularius;Colletes cunicularis;NA;NA;Colletes cunicularis;;
Colletes hylaeiformis;Colletes hylaeformis;NA;NA;Colletes hylaeformis;;
Colletes ibericus;NA;NA;NA;Colletes pulchellus;;
Colletes jankowskyi;NA;NA;NA;Remove;;No idea!
Colletes succintus;Colletes succinctus;NA;NA;Colletes succinctus;;
Creightonella albisecta;NA;NA;NA;Megachile albisecta;;
Dasypoda altercator;NA;Dasypoda hirtipes;NA;Dasypoda hirtipes;;
Dasypoda sinuata;NA;NA;NA;Remove;;Canarian species
Dioxys cincta;Dioxys cinctus;NA;NA;Dioxys cinctus;;
Dioxys moesta;Dioxys moestus;NA;NA;Dioxys moestus;;
Dioxys rotundata;NA;NA;NA;Dioxys moestus;;
Dufourea fortunata;NA;NA;NA;Remove;;Canarian species
Epeolus flavociliatus;NA;NA;NA;Remove;;Canarian species
Epeolus julliani;NA;NA;NA;Epeolus transitorius;;julliani is the junior synonym
Eucera algira;NA;NA;NA;Eucera algira;;
Eucera atroalba;NA;NA;NA;Eucera brachycera;;
Eucera bolivari;NA;Eucera decolorata;NA;Eucera decolorata;;
Eucera cinerea;NA;NA;NA;Eucera cineraria;;
Eucera doursana;NA;NA;NA;Remove;;No idea!
Eucera elongata;Eucera elongatula;NA;NA;Eucera elongatula;;
Eucera fallax;NA;Eucera syriaca;NA;Remove;;No idea!
Eucera gracilipes;NA;NA;NA;Eucera gracilipes;;Canarian species
Eucera graeca;Eucera graja;NA;NA;Eucera graja;;
Eucera grandis;NA;NA;NA;Eucera rufa;;
Eucera grisea;NA;Eucera eucnemidea;NA;Eucera eucnemidea;;
Eucera helvola;NA;NA;NA;Remove;;Not in Iberia, eastern species
Eucera hispanica?;NA;NA;?;Remove;;Delete - user uncertainty
Eucera nitidiventris;NA;NA;NA;Eucera proxima;;
Eucera obliberata;Eucera obliterata;NA;NA;Eucera obliterata;;
Eucera pulveracea;NA;NA;NA;Remove;;No idea!
Eucera sogdiana;NA;NA;NA;Remove;;Not in Iberia, eastern species
Eucera trivittata;NA;Eucera seminuda;NA;Remove;;syn Eucera seminuda, not in Iberia, eastern species
Eucera tuberculata;NA;NA;NA;Eucera nigrescens;;
Eucera vidua;NA;NA;NA;Remove;;North African species
Flavipanurgus ibericus_agg;NA;NA;_agg;Flavipanurgus ibericus;aggregate;This is necessary since the former concept of ibericus contains F. ibericus s.s. and F. kastiliensis
Flavipanurgus venustus;NA;NA;NA;Flavipanurgus venustus;;
Halictus allratus;NA;NA;NA;Remove;;No idea!
Halictus balearicus;NA;NA;NA;Halictus balearicus;;
Halictus cephalicus;NA;NA;NA;Remove;;Not in Iberia, eastern species
Halictus compressus;NA;NA;NA;Remove;;Part of a complicated group, true compressus is not in Iberia, could be listed as Halictus crenicornis aggregate
Halictus concinnus;NA;NA;NA;Remove;;Canarian species
Halictus kassleri;Halictus kessleri;NA;NA;Halictus kessleri;;
Halictus petrefactus;NA;NA;NA;Remove;;No idea!
Halictus quadricinctus;Halictus quadricintus;NA;NA;Halictus quadricintus;;
Halictus sedalonius;Halictus seladonius;NA;NA;Halictus seladonius;;
Halictus seladonia-smaragdulus;NA;NA;NA;Remove;;Delete - user uncertainty
Halictus tetrazonius;NA;NA;NA;Remove;;Historic confusion, H. tetrazonius is not in Iberia
Halictus tripartitus;NA;NA;NA;Remove;;No idea!
Heriades crenulata;Heriades crenulatus;NA;NA;Heriades crenulatus;;
Heriades rubicolus;Heriades rubicola;NA;NA;Heriades rubicola;;
Hoplitis anceyi;NA;NA;NA;Osmia anceyi;;
Hoplitis andrenoides;NA;Osmia andrenoides;NA;Osmia andrenoides;;
Hoplitis crenidata;Hoplitis crenulata;NA;NA;Remove;;No idea!
Hoplitis leucomelaena;Hoplitis leucomelana;NA;NA;Hoplitis leucomelana;;
Hoplitis ligurica;NA;NA;NA;Osmia ligurica;;
Hoplitis mucida;NA;NA;NA;Hoplitis stecki;;Raised to full species status, true mucida is in North Africa and the Middle East
Hoplitis paestrans;Hoplitis praestans;NA;NA;Hoplitis praestans;;
Hoplitis rufohirta;NA;NA;NA;Osmia rufohirta;;
Hoplitis scutellaris;NA;NA;NA;Osmia scutellaris;;
Hoplitis spinolae;NA;NA;NA;Hoplitis adunca;;
Hoplosmia anceyi;NA;NA;NA;Osmia anceyi;;
Hoplosmia fallax;NA;NA;NA;Osmia fallax;;
Hoplosmia ligurica;NA;NA;NA;Osmia ligurica;;
Hylaeus adriaticus;NA;NA;NA;Remove;;Not in Iberia
Hylaeus difformis;Hylaeus diffiformis;NA;NA;Hylaeus diffiformis;;
Hylaeus diplonymus;NA;NA;NA;Remove;;No idea!
Hylaeus imparalis;Hylaeus imparilis;NA;NA;Hylaeus imparilis;;
Hylaeus nigrita;Hylaeus nigritus;NA;NA;Hylaeus nigritus;;
Hylaeus spilotus;NA;NA;NA;Remove;;Great taxonomic confusion over this group of species. Very hard to assign a correct name to this, and the group needs a thorough revision
Lasioglossum aegyptiellum;NA;NA;NA;Remove;;Not in Iberia, eastern species
Lasioglossum albomaculatum;NA;NA;NA;Remove;;No idea!
Lasioglossum arctifrons;NA;NA;NA;Remove;;Canarian species
Lasioglossum castilianum;Lasioglossum castillianum;NA;NA;Lasioglossum castillianum;;
Lasioglossum chalcodes;NA;NA;NA;Remove;;Canarian species
Lasioglossum clypeare;NA;NA;NA;Lasioglossum clypeare;;
Lasioglossum convexiusculum;NA;NA;NA;Lasioglossum convexiusculum;;
Lasioglossum gemmeus;NA;NA;NA;Halictus gemmeus;;
Lasioglossum immaculatum;Lasioglossum bimaculatum;NA;NA;Remove;;Maybe but hard to be sure, there are a lot of Lasioglossum names
Lasioglossum laetum;NA;NA;NA;Remove;;Canarian species
Lasioglossum lativentre/sexnotatum/laterale;NA;NA;/;Remove;;Delete - user uncertainty
Lasioglossum leucoleucozonium/immunitum;NA;NA;/;Remove;;Delete - user uncertainty
Lasioglossum malachurum/mediterraneum;NA;NA;/;Remove;;Delete - user uncertainty
Lasioglossum marginellum;NA;NA;NA;Remove;;Not confirmed from Spain
Lasioglossum phoenicurum;NA;NA;NA;Lasioglossum phoenicurum;;Canarian species
Lasioglossum planulum;NA;NA;NA;Lasioglossum transitorium;planulum;
Lasioglossum quadrinotatulus;Lasioglossum quadrinotatulum;NA;NA;Lasioglossum quadrinotatulum;;
Lasioglossum semilucens???;NA;NA;???;Remove;;Delete - user uncertainty
Lasioglossum sexnotatum?;Lasioglossum sexnotatum;NA;?;Lasioglossum sexnotatum;;
Lasioglossum sextrigatum;Lasioglossum sexstrigatum;NA;NA;Lasioglossum sexstrigatum;;
Lasioglossum sphecodimorphum;Lasioglossum sphecidomorphum;NA;NA;Lasioglossum sphecidomorphum;;
Lasioglossum subhirtum???;NA;NA;???;Remove;;Delete - user uncertainty
Lasioglossum villosum;Lasioglossum villosulum;NA;NA;Lasioglossum villosulum;;
Lasioglossum viride;NA;NA;NA;Remove;;Canarian species
Megachile albohirta;NA;NA;NA;Remove;;Canarian bee, taxonomically challenging, currently do not consider
Megachile argentala;NA;NA;NA;Remove;;Old name (Megachile argentata) referring to what are currently referred to as M. pilidens and M. leachella. Very difficult to assign a correct name to this
Megachile argentata;NA;NA;NA;Remove;;Old name (Megachile argentata) referring to what are currently referred to as M. pilidens and M. leachella. Very difficult to assign a correct name to this
Megachile atratula;NA;NA;NA;Megachile pusilla;;Junior synonym
Megachile baetica;NA;NA;NA;Megachile parietina;;Probably just a colour form of M. parietina
Megachile canescens;NA;NA;NA;Remove;;Canarian species
Megachile concinna;NA;NA;NA;Megachile pusilla;;Junior synonym
Megachile dorsalis;NA;NA;NA;Megachile leachella;;
Megachile melanogastra;Megachile melanogaster;NA;NA;Remove;;Probably, but hard to say for certain
Megachile mendica;NA;NA;NA;Remove;;No idea!
Megachile picicornis;NA;NA;NA;Megachile picicornis;;
Megachile schmiedeknechti;NA;NA;NA;Remove;;Not recorded from the Iberian peninsula
Megachile sculpturalis;NA;NA;NA;Megachile sculpturalis;;Invasive Asian species, I had forgotten that this was now present in Spain
Melecta canariensis;NA;NA;NA;Remove;;Canarian species
Melecta caroli;NA;NA;NA;Remove;;Canarian species
Melecta curvispina;NA;NA;NA;Remove;;Canarian species
Melecta funeraria;NA;NA;NA;Remove;;Not present in the Iberian peninsula
Melecta prophanta;NA;NA;NA;Remove;;Canarian species
Melissodes bimaculatus;NA;NA;NA;Remove;;North American species!
Melitta aegyptiaca;Melecta aegyptiaca;NA;NA;Remove;;Canarian species
Melitta kastliliensis;Melitta kastiliensis;NA;NA;Melitta kastiliensis;;
Melitta schmiedeknechti;NA;Melitta schmiedeknechtii;NA;Remove;;Canarian species
Melitturga cauadata;Melitturga caudata;NA;NA;Melitturga caudata;;
Nomada argentata;NA;NA;NA;Remove;;Not present in the Iberian peninsula
Nomada maculicornis???;NA;NA;???;Remove;;Delete - user uncertainty
Nomada succinta;Nomada succincta;NA;NA;Nomada succincta;;
Nomia armata;Nomada armata;NA;NA;Remove;;Possible, but need to ask the author, not safe to make this assumption
Nomiapis bispinosa_agg;NA;NA;_agg;Pseudapis bispinosa;aggregate;There are two species in this group, we do need an aggregate
Nomiapis diversipes;NA;NA;NA;Pseudapis diversipes;;
Nomiapis femoralis;NA;NA;NA;Pseudapis femoralis;;
Nomiapis valga;NA;NA;NA;Pseudapis valga;;
Nomioides deceptor;NA;NA;NA;Remove;;Canarian species
Nomioides fortunatus;NA;NA;NA;Remove;;Canarian species
Nomioides variegata;NA;NA;NA;Ceylalictus variegatus;;
Osmia adunca;NA;NA;NA;Hoplitis adunca;;
Osmia ancey;Osmia anceyi;NA;NA;Osmia anceyi;;
Osmia cerinthidis;NA;NA;NA;Remove;;
Osmia claviventris;NA;NA;NA;Hoplitis claviventris;;
Osmia cyanthoxantha;Osmia cyanoxantha;NA;NA;Osmia cyanoxantha;;
Osmia fulviventris;NA;Osmia niveata;NA;Osmia niveata;;
Osmia neoregaena;NA;NA;NA;Osmia cornuta;;
Osmia papaveris;NA;NA;NA;Hoplitis papaveris;;
Osmia ravouxi;NA;NA;NA;Hoplitis ravouxi;;
Osmia robusta;NA;NA;NA;Remove;;Hoplitis robusta, not present in the Iberian peninsula
Osmia rufa;NA;NA;NA;Osmia bicornis;;
Osmia rufa/aurulenta;NA;NA;/;Remove;;Delete - user uncertainty
Osmia rufa/aurulenta-alike;NA;NA;NA;Remove;;Delete - user uncertainty
Osmia subimcans;Osmia submicans;NA;NA;Osmia submicans;;
Panurginus brullei;NA;NA;NA;Remove;;True brullei is on the Canaries only!!! If used in an Iberian context it is albopilosus
Panurginus canescens;Panurgus canescens;NA;NA;Panurgus canescens;;
Panurgus arctos;NA;Panurgus cephalotes;NA;Panurgus cephalotes;;
Panurgus canarius;NA;NA;NA;Remove;;Canarian species
Panurgus dargius/cephalotes;NA;NA;/;Remove;;Delete - user uncertainty
Panurgus dentatus;NA;NA;NA;Remove;;Could be a mis-spelling of Panurgus dentipes
Panurgus intermedius;NA;NA;NA;Remove;;Not present in the Iberian peninsula
Panurgus maroccanus;NA;NA;NA;Remove;;Not present in the Iberian peninsula
Panurgus merceti;NA;Flavipanurgus merceti;NA;Flavipanurgus merceti;;
Panurgus pici;NA;NA;NA;Panurgus pici;;
Pseudapis monstrosa;NA;NA;NA;Remove;;Not present in Iberia - misidentification
Pseudapis unidentata;NA;NA;NA;Remove;;No idea!
Pseudoanthidium lituratum;NA;Pseudoanthidium scapulare;NA;Pseudoanthidium nanum;aggregate;This group of Pseudoanthidium is highly confused and undergoing revision at the moment, best to include as P. nanum aggregate
Pseudoanthidium melanorum;Pseudoanthidium melanurum;NA;NA;Pseudoanthidium melanurum;;
Pseudoanthidium stigmaticorne;NA;NA;NA;Pseudoanthidium nanum;aggregate;
Psithyrus barbutellus;NA;NA;NA;Bombus barbutellus;;
Psithyrus bohemicus;NA;NA;NA;Bombus bohemicus;;
Psithyrus campestris;NA;NA;NA;Bombus campestris;;
Psithyrus maxillosus;NA;NA;NA;Bombus barbutellus;;Now synonymous with barbutellus
Psithyrus norvegicus;NA;NA;NA;Bombus norvegicus;;
Psithyrus rupestris;NA;NA;NA;Bombus rupestris;;
Psithyrus silvestris;NA;NA;NA;Bombus sylvestris;;
Psithyrus vestalis;NA;NA;NA;Bombus vestalis;;
Rhodanthidium septendentatum;Rhodanthidium septemdentatum;NA;NA;Rhodanthidium septemdentatum;;
Sphecodes crassanus???;NA;NA;???;Remove;;Delete - user uncertainty
Sphecodes ferruginatus_or_croaticus;NA;NA;_or_;Remove;;Delete - user uncertainty
Sphecodes longulus???;NA;NA;???;Remove;;Delete - user uncertainty
Sphecodes punticeps;Sphecodes puncticeps;NA;NA;Sphecodes puncticeps;;
Sphecodes spinulosus_or_ferruginatus;NA;NA;_or_;Remove;;Delete - user uncertainty
Sphecodes subovalis;NA;NA;NA;Sphecodes rufiventris;;
Tetralonia acutangula;NA;Tetraloniella fulvescens;NA;Eucera fulvescens;;All Tetralonia/Tetraloniella now Eucera (Tetralonia) species
Tetralonia alternans;NA;NA;NA;Eucera alternans;;
Tetralonia antigae;NA;Tetraloniella strigata;NA;Eucera strigata;;
Tetralonia asensioi;NA;NA;NA;Remove;;No idea!
Tetralonia atroalba;NA;NA;NA;Eucera brachycera;;
Tetralonia berlandi;NA;NA;NA;Eucera rufa;;
Tetralonia dentata;NA;NA;NA;Eucera dentata;;
Tetralonia dufouri;NA;NA;NA;Remove;;No idea!
Tetralonia fulvescens;NA;NA;NA;Eucera fulvescens;;
Tetralonia graja;NA;NA;NA;Eucera graja;;
Tetralonia iberica;NA;NA;NA;Eucera iberica;;
Tetralonia malvae;NA;NA;NA;Eucera malvae;;
Tetralonia nana;NA;NA;NA;Eucera nana;;
Tetralonia ruficornis;NA;NA;NA;Eucera ruficornis;;
Tetralonia salicariae;NA;Tetraloniella salicariae;NA;Eucera salicariae;;
Tetralonia tricincta;NA;Eucera tricincta;NA;Eucera tricincta;;
Tetraloniella cinctella;NA;NA;NA;Eucera cinctella;;
Tetraloniella dentata;NA;NA;NA;Eucera dentata;;
Tetraloniella fulvescens;NA;NA;NA;Eucera fulvescens;;
Tetraloniella graja;NA;NA;NA;Eucera graja;;
Tetraloniella iberica;NA;NA;NA;Eucera iberica;;
Tetraloniella nana;NA;NA;NA;Eucera nana;;
Tetraloniella ruficornis;NA;NA;NA;Eucera ruficornis;;
Tetraloniella salicariae;NA;NA;NA;Eucera salicariae;;
Tetraloniella strigata;NA;NA;NA;Eucera strigata;;
Thyreus hellenicus;NA;NA;NA;Remove;;I don't understand this taxon - not listed by Ortiz-Sanchez, no-body really understands Thyreus at all, very difficult bees
Thyreus ramosellus;NA;NA;NA;Remove;;East Mediterranean - delete
Trachusa atlantica;NA;NA;NA;Trachusa laeviventris;;
Trachusa laeviventre;Trachusa laeviventris;NA;NA;Trachusa laeviventris;;
Xylocopa pubescens;NA;NA;NA;Remove;;Currently not know from Iberia - North African species
Xylocopa uclesiensis;NA;NA;NA;Xylocopa iris;;
Xylocopa violaceae;Xylocopa violacea;NA;NA;Xylocopa violacea;;
Heliophila bimaculata;NA;NA;NA;Anthophora bimaculata;NA;NA
Seladonia gemmella;NA;NA;NA;Halictus gemellus;NA;NA
Seladonia submediterranea;NA;NA;NA;Halictus submediterraneus;NA;NA
Synhalonia hungarica;NA;NA;NA;Eucera hungarica;NA;NA
Bombus inexpectatus;NA;NA;NA;Bombus inexspectatus;NA;NA
Haetosmia circumventa;NA;NA;NA;Remove;NA;Canary Islands
Hoplitis crenulata;NA;NA;NA;Hoplitis annulata;crenulata;NA
Afranthidium carduele malacopygum;NA;NA;NA;NA;NA;NA
Afranthidium schultessi;NA;NA;NA;NA;NA;NA
Afranthidium shultessi;NA;NA;NA;NA;NA;NA
Andrena (microandrena);NA;NA;NA;NA;NA;NA
Andrena aff;NA;NA;NA;NA;NA;NA
Andrena diminuta;NA;NA;NA;NA;NA;NA
Andrena dourada;NA;NA;NA;NA;NA;NA
Andrena flava;NA;NA;NA;NA;NA;NA
Andrena grupo (morio);NA;NA;NA;NA;NA;NA
Andrena haemorhoa;NA;NA;NA;NA;NA;NA
Andrena hispanica;NA;NA;NA;NA;NA;NA
Andrena maderiensis;NA;NA;NA;NA;NA;NA
Andrena muy;NA;NA;NA;NA;NA;NA
Andrena nigroaenea nigrosericea;NA;NA;NA;NA;NA;NA
Andrena numida;NA;NA;NA;NA;NA;NA
Andrena quadrimaculata;NA;NA;NA;NA;NA;NA
Andrena subge;NA;NA;NA;NA;NA;NA
Andrena taraxaci;NA;NA;NA;NA;NA;NA
Andrena ternuistriata;NA;NA;NA;NA;NA;NA
Anthidium blongatum;NA;NA;NA;NA;NA;NA
Anthidium florentimun;NA;NA;NA;NA;NA;NA
Anthidium florentinum poco desarrollado;NA;NA;NA;NA;NA;NA
Anthidium latreillei;NA;NA;NA;NA;NA;NA
Anthidium stictium;NA;NA;NA;NA;NA;NA
Anthidium trematum;NA;NA;NA;NA;NA;NA
Anthidium variegatum;NA;NA;NA;NA;NA;NA
Anthophora abd;NA;NA;NA;NA;NA;NA
Anthophora hispanicus;NA;NA;NA;NA;NA;NA
Anthophora toracica;NA;NA;NA;NA;NA;NA
Bombus (Psithyrus) flavidus;NA;NA;NA;NA;NA;NA
Bombus (Psithyrus) rupestris;NA;NA;NA;NA;NA;NA
Bombus (Psithyrus) sylvestris;NA;NA;NA;NA;NA;NA
Bombus cf pascuorum;NA;NA;NA;NA;NA;NA
Bombus cryptarum;NA;NA;NA;NA;NA;NA
Bombus dahlbomii;NA;NA;NA;NA;NA;NA
Bombus elegans;NA;NA;NA;NA;NA;NA
Bombus lucorum?;NA;NA;NA;NA;NA;NA
Bombus lucorum? O lusi más oscuro?;NA;NA;NA;NA;NA;NA
Bombus monticola rondoui;NA;NA;NA;NA;NA;NA
Bombus montincola;NA;NA;NA;NA;NA;NA
Bombus pacuorum;NA;NA;NA;NA;NA;NA
