Genus;Subgenus;Species;Locality;Municipe;Province;Country;Day;Month;Year;Start.date;End.date;Altitud;UTM;Collector;Determined.by;Year.ident;Male;Female;Proced/caja
Anthidium;Anthidium;manicatum;Ribarrey.       Cenicero;NA;La Rioja;España;NA;05;2008;NA;NA;522m;NA;F. Torres;C. Ornosa;2008;1;NA;Salamanca
Chalicodoma;Chalicodoma;parietina;Cabeza de Río Chico. Sierra Nevada;NA;Almería;España;28;7;2006;NA;NA;2728 m;NA;J. Ortiz;J. Ortiz;2008;NA;1;UCME
Chalicodoma;Chalicodoma;pyrenaica;Maraña bajo Tarna;NA;León;España;20;6;2008;NA;NA;1400 m;NA;C. Ornosa;F. Torres;NA;NA;1; 
Anthidium;NA;punctatum;Crta Embid de la Ribera-Calatayud; ;Zaragoza;España;7;7;2008;NA;NA;NA;NA;C. Ornosa;C. Ornosa;2008;NA;1;NA
Megachile;NA;leachella;Crta Embid de la Ribera-Calatayud; ;Zaragoza;España;7;7;2008;NA;NA;NA;NA;C. Ornosa;F. Torres;2008;NA;1;NA
Megachile;Neoeutric.;apicalis;Crta Embid de la Ribera-Calatayud;NA;Zaragoza;España;7;7;2008;NA;NA;640 m;NA;Torres;Torres;2008;NA;1;NA
Megachile;Eutrich.;pilidens;Puerto de la Chabola;NA;Zaragoza;España;8;7;2008;NA;NA;960 m;"41º67'27""N 1º54'53""W";C. Ornosa;Torres;2008;NA;1;NA
Megachile;Megach.; melanopyga;Puerto de la Chabola;NA;Zaragoza;España;8;7;2008;NA;NA;960 m;"41º67'27""N 1º54'53""W";C. Ornosa;Torres;2008;1;NA;NA
Megachile;Eutrich.;pilidens;Puerto de la Chabola;NA;Zaragoza;España;8;7;2008;NA;NA;960 m;"41º67'27""N 1º54'53""W";C. Ornosa;Torres;2008;NA;1;NA
Megachile;Neoeutric.;apicalis;Crta Sos Rey Católico (A-127);NA;Zaragoza;España;8;7;2008;NA;NA;583 m ;"41º67'27""N 1º54'53""W";C. Ornosa;Torres;2008;NA;1;NA
Megachile;Neoeutric.;apicalis;Crta Sos Rey Católico (A-127);NA;Zaragoza;España;8;7;2008;NA;NA;583 m;"41º67'27""N 1º54'53""W";C. Ornosa;Torres;2008;NA;1;NA
Trachusa;NA;interrupta;Crta Sos Rey Católico (A-127);NA;Zaragoza;España;8;7;2008;NA;NA;583 m;"41º67'27""N 1º54'53""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Pseudoanthidium;NA;scapulare;Crta Sos Rey Católico (A-127);NA;Zaragoza;España;8;7;2008;NA;NA;583 m;"41º67'27""N 1º54'53""W";C. Ornosa;C. Ornosa;2008;1;NA;UCME
Trachusa;NA;interrupta;Foz de Lumbier;NA;Navarra;España;8;7;2008;NA;NA;NA;NA;C. Ornosa;C. Ornosa;2008;1;NA;UCME
Rhodanthidium;Rhodanthidium;sticticum;Foz de Lumbier;NA;Navarra;España;8;7;2008;NA;NA;NA;NA;C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Anthidium;florentinum;Foz de Lumbier;NA;Navarra;España;8;7;2008;NA;NA;NA;NA;C. Ornosa;C. Ornosa;2008;NA;1;NA
Anthidium;Anthidium;cingulatum;Gallocanta;NA;Teruel;España;9;7;2008;NA;NA;1063 m;"40º98'57""N 1º52'37""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Anthidium;cingulatum;Gallocanta;NA;Teruel;España;9;7;2008;NA;NA;1063 m;"40º98'57""N 1º52'37""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Anthidium;punctatum;Sierra de Albarracín ;NA;Teruel;España;9;7;2008;NA;NA;1158 m;"40º98'57""N 1º52'37""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
Anthidium;Anthidium;cingulatum;Sierra de Albarracín ;NA;Teruel;España;9;7;2008;NA;NA;1158 m;"40º98'57""N 1º52'37""W";C. Ornosa;C. Ornosa;2008;1;NA;NA
