;ID;site;ITD;Genus;Species;Sex;plant_genus;plant_species;Determined.by;Day;Month;Year
460;460;BAT2CA;NA;Chrysolina;cerealis;unknown;Lavandula;sp;I. Bartomeus;27;4;2004
461;461;FRA1OP;NA;Coccinella;septempunctata;unknown;Daucus;sp;I. Bartomeus;22;6;2004
462;462;MIQ2OP;NA;Anthaxia;sp;unknown;Eryngium;sp;I. Bartomeus;28;6;2005
463;463;BAT2CA;NA;Oedemera;lurida;unknown;Sonchus;tenerrimus;I. Bartomeus;8;5;2005
464;464;SEL2OP;NA;Oedemera;sp;unknown;Opuntia;sp;I. Bartomeus;21;6;2004
465;465;SEL2OP;NA;Oedemera;sp;unknown;Eryngium;sp;I. Bartomeus;21;6;2004
466;466;BAT2CA;NA;Oedemera;sp;unknown;Alysum;sp;I. Bartomeus;27;4;2004
467;467;SEL1OP;NA;Oedemera;sp;unknown;Daucus;sp;I. Bartomeus;23;6;2004
468;468;BAT2CA;NA;Oedemera;sp;unknown;Alyssum;sp;I. Bartomeus;27;4;2004
469;469;SEL2OP;NA;Oedemera;sp;unknown;Umbelifera;sp;I. Bartomeus;21;6;2004
470;470;SEL2OP;NA;Oedemera;sp;unknown;Opuntia;sp;I. Bartomeus;21;6;2004
471;471;BAT1CA;NA;Psylotrix;viridicoerulea;unknown;Aetheorrina;bulbosa;I. Bartomeus;13;4;2005
472;472;MED2CA;NA;Psylotrix;viridicoerulea;unknown;Cistus;salvifolius;I. Bartomeus;26;4;2005
473;473;MED3CA;NA;Psylotrix;viridicoerulea;unknown;Cistus;albidus;I. Bartomeus;27;4;2005
474;474;MED2CA;NA;Psylotrix;viridicoerulea;unknown;Carpobrotus;edulis;I. Bartomeus;26;4;2005
475;475;MED2CA;NA;Psylotrix;viridicoerulea;unknown;Carpobrotus;edulis;I. Bartomeus;26;4;2005
476;476;BAT2CA;NA;Psylotrix;viridicoerulea;unknown;Carpobrotus;edulis;I. Bartomeus;8;5;2005
477;477;BAT2CA;NA;Psylotrix;viridicoerulea;unknown;Carpobrotus;edulis;I. Bartomeus;8;5;2005
478;478;MED2CA;NA;Psylotrix;viridicoerulea;unknown;Sonchus;tenerrimus;I. Bartomeus;11;5;2005
479;479;BAT2CA;NA;Psylotrix;viridicoerulea;unknown;Comp2;NA;I. Bartomeus;27;4;2004
