"","Genus","Subgenus","Species","Subspecies","Accepted_name","Original_name","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_id","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","Uid"
"17","Dasypoda",NA,"albimana",NA,"Dasypoda albimana","Dasypoda albimana","Spain","Madrid","Rivas-Vaciamadrid","  NA","  NA",NA,NA,NA,NA,NA,NA,"C. Bolívar","Quilis",0,1,0,0,NA,NA,"1350_MNCN_Ent_237105","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3367"
"18","Dasypoda",NA,"albimana",NA,"Dasypoda albimana","Dasypoda albimana","Spain","Valencia/València","Valencia (Hispania)","  NA","  NA",NA,NA,NA,NA,NA,NA,"Giner Marí","C. Ornosa",0,1,0,0,NA,NA,"1351_MNCN_Ent_237106","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3368"
"19","Dasypoda",NA,"argentata",NA,"Dasypoda argentata","Dasypoda argentata","Spain","Zaragoza","Zaragoza","  NA","  NA",NA,1902,6,26,NA,NA,NA,"C. Ornosa",0,1,0,0,NA,NA,"1354_MNCN_Ent_237027","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3369"
"20","Dasypoda",NA,"argentata",NA,"Dasypoda argentata","Dasypoda argentata","Spain","Huesca","Valle de Ordesa","  NA","  NA",NA,1930,8,NA,NA,NA,"Dusmet","C. Ornosa",1,0,0,0,NA,NA,"1352_MNCN_Ent_237013","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3370"
"21","Dasypoda",NA,"argentata",NA,"Dasypoda argentata","Dasypoda argentata","Spain","Lleida","Rocallaura","  NA","  NA",NA,1919,7,NA,NA,NA,"Mas de Xaxars","C. Ornosa",1,0,0,0,NA,NA,"1353_MNCN_Ent_237029","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3371"
"22","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Madrid","Paracuellos de Jarama","  NA","  NA",NA,1924,5,11,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1371_MNCN_Ent_237057","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3372"
"23","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Murcia","Torre Frubel","  NA","  NA",NA,1949,6,12,NA,NA,"Andréu","C. Ornosa",0,1,0,0,NA,NA,"1367_MNCN_Ent_237050","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3373"
"24","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Madrid","El Escorial","  NA","  NA",NA,1922,6,14,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1364_MNCN_Ent_237047","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3374"
"25","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cádiz","Cádiz","  NA","  NA",NA,1930,NA,NA,NA,NA,"Benítez","C. Ornosa",0,1,0,0,NA,NA,"1365_MNCN_Ent_237048","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3375"
"26","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Murcia","El Palmar","  NA","  NA",NA,1949,5,25,NA,NA,"Andréu","C. Ornosa",0,1,0,0,NA,NA,"1355_MNCN_Ent_237033","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3376"
"27","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Segovia","San Rafael","  NA","  NA",NA,1910,7,6,NA,NA,"Mercet","C. Ornosa",0,1,0,0,NA,NA,"1375_MNCN_Ent_237051","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3377"
"28","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Castellón/Castelló","Castellón de la Plana","  NA","  NA",NA,1898,7,NA,NA,NA,"Dols","C. Ornosa",0,1,0,0,NA,NA,"1372_MNCN_Ent_237056","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3378"
"29","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Alicante/Alacant","Orihuela","  NA","  NA",NA,NA,NA,NA,NA,NA,"Andréu","C. Ornosa",0,1,0,0,NA,NA,"1377_MNCN_Ent_237052","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3379"
"30","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Ourense","Carballino","  NA","  NA",NA,NA,NA,NA,NA,NA,"G. Varela","C. Ornosa",0,1,0,0,NA,NA,"1370_MNCN_Ent_237037","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3380"
"31","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Ourense","Carballino","  NA","  NA",NA,NA,NA,NA,NA,NA,"G. Varela","C. Ornosa",0,1,0,0,NA,NA,"1374_MNCN_Ent_237054","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3381"
"32","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Valencia/València","Valencia","  NA","  NA",NA,NA,NA,NA,NA,NA,"Mercet","C. Ornosa",0,1,0,0,NA,NA,"1360_MNCN_Ent_237044","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3382"
"33","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Segovia","San Rafael","  NA","  NA",NA,NA,NA,NA,NA,NA,"Mercet","C. Ornosa",0,1,0,0,NA,NA,"1373_MNCN_Ent_237055","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3383"
"34","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Segovia","San Rafael","  NA","  NA",NA,NA,NA,NA,NA,NA,"Mercet","C. Ornosa",0,1,0,0,NA,NA,"1369_MNCN_Ent_237038","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3384"
"35","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cádiz","Chiclana de la Frontera","  NA","  NA",NA,NA,NA,NA,NA,NA,NA,"C. Ornosa",0,1,0,0,NA,NA,"1357_MNCN_Ent_237035","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3385"
"36","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",1,0,0,0,NA,NA,"1380_MNCN_Ent_237049","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3386"
"37","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1378_MNCN_Ent_237041","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3387"
"38","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1379_MNCN_Ent_237040","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3388"
"39","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1356_MNCN_Ent_237036","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3389"
"40","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1376_MNCN_Ent_237053","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3390"
"41","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1359_MNCN_Ent_237043","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3391"
"42","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1363_MNCN_Ent_237034","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3392"
"43","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1366_MNCN_Ent_237039","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3393"
"44","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1368_MNCN_Ent_237032","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3394"
"45","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Cáceres","Baños de Montemayor","  NA","  NA",NA,1907,6,NA,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1358_MNCN_Ent_237042","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3395"
"46","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Ávila","Arenas de San Pedro","  NA","  NA",NA,1923,6,NA,NA,NA,"J. Dusmet","C. Ornosa",1,0,0,0,NA,NA,"1362_MNCN_Ent_237046","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3396"
"47","Dasypoda",NA,"cingulata",NA,"Dasypoda cingulata","Dasypoda cingulata","Spain","Ávila","Arenas de San Pedro","  NA","  NA",NA,1928,6,NA,NA,NA,"J. Dusmet","C. Ornosa",1,0,0,0,NA,NA,"1361_MNCN_Ent_237045","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3397"
"48","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Madrid","Pozuelo de Alarcón","  NA","  NA",NA,1958,5,10,NA,NA,"R. Ruano","C. Ornosa",1,0,0,0,NA,NA,"1391_MNCN_Ent_237069","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3398"
"49","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Madrid","San Lorenzo del Escorial","  NA","  NA",NA,1936,5,14,NA,NA,"J. Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1382_MNCN_Ent_237065","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3399"
"50","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Madrid","San Lorenzo del Escorial","  NA","  NA",NA,1936,5,14,NA,NA,"J. Dusmet","C. Ornosa",1,0,0,0,NA,NA,"1381_MNCN_Ent_237066","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3400"
"51","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Madrid","San Lorenzo del Escorial","  NA","  NA",NA,1915,5,23,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1387_MNCN_Ent_237063","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3401"
"52","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Córdoba","Villaharta","  NA","  NA",NA,1929,4,27,NA,NA,"J. Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1392_MNCN_Ent_237058","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3402"
"53","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Córdoba","Villaharta","  NA","  NA",NA,1929,4,27,NA,NA,"J. Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1383_MNCN_Ent_237059","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3403"
"54","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Córdoba","Villaharta","  NA","  NA",NA,1929,4,27,NA,NA,"J. Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1390_MNCN_Ent_237067","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3404"
"55","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Madrid","Madrid","  NA","  NA",NA,1901,5,NA,NA,NA,NA,"C. Ornosa",1,0,0,0,NA,NA,"1385_MNCN_Ent_237061","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3405"
"56","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Madrid","Madrid","  NA","  NA",NA,NA,NA,NA,NA,NA,NA,"C. Ornosa",1,0,0,0,NA,NA,"1384_MNCN_Ent_237060","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3406"
"57","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Madrid","Miraflores de la Sierra","  NA","  NA",NA,NA,NA,NA,NA,NA,NA,"C. Ornosa",0,1,0,0,NA,NA,"1386_MNCN_Ent_237062","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3407"
"58","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain","Madrid","Miraflores de la Sierra","  NA","  NA",NA,NA,NA,NA,NA,NA,NA,"C. Ornosa",0,1,0,0,NA,NA,"1388_MNCN_Ent_237068","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3408"
"59","Dasypoda",NA,"crassicornis",NA,"Dasypoda crassicornis","Dasypoda crassicornis","Spain",NA,NA,"  NA","  NA",NA,1908,5,NA,NA,NA,"Arias","C. Ornosa",0,1,0,0,NA,NA,"1389_MNCN_Ent_237064","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3409"
"60","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","El Pardo","  NA","  NA",NA,1906,6,10,NA,NA,NA,"C. Ornosa",0,1,0,0,NA,NA,"1426_MNCN_Ent_237096","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3410"
"61","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain",NA,NA,"  NA","  NA",NA,1954,6,10,NA,NA,NA,NA,0,1,0,0,NA,NA,"1422_MNCN_Ent_237094","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3411"
"62","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Ciudad Real","Pozuelo de Calatrava","  NA","  NA",NA,1903,NA,NA,NA,NA,"Lafuente","C. Ornosa",0,1,0,0,NA,NA,"1421_MNCN_Ent_237095","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3412"
"63","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Madrid","  NA","  NA",NA,1909,6,20,NA,NA,"G. Mercet","C. Ornosa",0,1,0,0,NA,NA,"1418_MNCN_Ent_237098","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3413"
"64","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Valencia/València","Valencia (Hispania)","  NA","  NA",NA,1928,5,21,NA,NA,"Quilis","Quilis",0,1,0,0,NA,NA,"1406_MNCN_Ent_237073","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3414"
"65","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Valladolid","Tordesillas","  NA","  NA",NA,1930,6,21,NA,NA,"Dusmet","C. Ornosa",0,1,0,0,NA,NA,"1427_MNCN_Ent_237102","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3415"
"66","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Valencia/València","Valencia (Hispania)","  NA","  NA",NA,1928,5,27,NA,NA,"Quilis",NA,0,1,0,0,NA,NA,"1408_MNCN_Ent_237071","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3416"
"67","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Valencia/València","Valencia (Hispania)","  NA","  NA",NA,1927,5,29,NA,NA,"Quilis","Quilis",0,1,0,0,NA,NA,"1409_MNCN_Ent_237070","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3417"
"68","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Valencia/València","Valencia (Hispania)","  NA","  NA",NA,1928,5,29,NA,NA,"Quilis","Quilis",0,1,0,0,NA,NA,"1407_MNCN_Ent_237072","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3418"
"69","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Río Alberche","  NA","  NA",NA,1907,6,8,NA,NA,"Dusmet","Quilis",0,1,0,0,NA,NA,"1400_MNCN_Ent_237088","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3419"
"70","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain",NA,NA,"  NA","  NA",NA,1954,6,8,NA,NA,NA,"C. Ornosa",0,1,0,0,NA,NA,"1425_MNCN_Ent_237091","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3420"
"71","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain",NA,NA,"  NA","  NA",NA,1954,6,9,NA,NA,NA,"C. Ornosa",0,1,0,0,NA,NA,"1423_MNCN_Ent_237093","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3421"
"72","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain",NA,NA,"  NA","  NA",NA,1954,6,9,NA,NA,NA,"C. Ornosa",0,1,0,0,NA,NA,"1424_MNCN_Ent_237092","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3422"
"73","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Madrid","  NA","  NA",NA,NA,NA,NA,NA,NA,"A. Sanz","C. Ornosa",0,1,0,0,NA,NA,"1415_MNCN_Ent_237101","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3423"
"74","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Madrid","  NA","  NA",NA,NA,NA,NA,NA,NA,"A. Sanz","Quilis",0,1,0,0,NA,NA,"1394_MNCN_Ent_237087","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3424"
"75","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Madrid","  NA","  NA",NA,NA,NA,NA,NA,NA,"Arias","Quilis",0,1,0,0,NA,NA,"1395_MNCN_Ent_237086","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3425"
"76","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Madrid","  NA","  NA",NA,NA,NA,NA,NA,NA,"Arias","Quilis",0,1,0,0,NA,NA,"1402_MNCN_Ent_237085","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3426"
"77","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Madrid","  NA","  NA",NA,NA,NA,NA,NA,NA,"Arias","Quilis",0,1,0,0,NA,NA,"1396_MNCN_Ent_237084","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3427"
"78","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Madrid","  NA","  NA",NA,NA,NA,NA,NA,NA,"Arias","C. Ornosa",0,1,0,0,NA,NA,"1420_MNCN_Ent_237090","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3428"
"79","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Madrid","  NA","  NA",NA,NA,NA,NA,NA,NA,"Dusmet","Quilis",0,1,0,0,NA,NA,"1397_MNCN_Ent_237082","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3429"
"80","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Madrid","  NA","  NA",NA,NA,NA,NA,NA,NA,"Dusmet","Quilis",0,1,0,0,NA,NA,"1414_MNCN_Ent_237083","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3430"
"81","Dasypoda",NA,"dusmeti",NA,"Dasypoda dusmeti","Dasypoda dusmeti","Spain","Madrid","Miraflores de la Sierra","  NA","  NA",NA,NA,NA,NA,NA,NA,"Escalera","C. Ornosa",1,0,0,0,NA,NA,"1413_MNCN_Ent_237103","P. Alvarez, M. Paris",NA,NA,"43_Alvarez_etal_3431"
