Family,Genus,Subgenus,Species,Subspecies,Authority,Notes
Andrenidae,Andrena,Campylogaster,pruinosa,NA,"Erichson, 1835",NA
Andrenidae,Andrena,Carandrena,ranunculi,NA,"Schmiedeknecht, 1883",NA
Andrenidae,Andrena,Thysandrena,ranunculorum,NA,"Morawitz, 1878",NA
Andrenidae,Andrena,Poliandrena,relata,NA,"Warncke, 1967",NA
Andrenidae,Andrena,Carandrena,reperta,varuga,"Warncke, 1975",NA
Andrenidae,Andrena,Chlorandrena,rhenana,NA,"Stöckhert, 1930",NA
Andrenidae,Andrena,Simandrena,rhypara,NA,"Pérez, 1903",NA
Andrenidae,Andrena,Chlorandrena,rhyssonata,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Hoplandrena,rosae,NA,"Panzer, 1801",NA
Andrenidae,Andrena,Lepidandrena,rufizona,NA,"Imhoff, 1834",NA
Andrenidae,Andrena,Euandrena,rufula,NA,"Schmiedeknecht, 1883",NA
Andrenidae,Andrena,Lepidandrena,sardoa,NA,"Lepeletier, 1841",NA
Andrenidae,Andrena,Micrandrena,saxonica,NA,"Stöckhert, 1935",NA
Andrenidae,Andrena,Opandrena,schencki,NA,"Morawitz, 1866",NA
Andrenidae,Andrena,Hoplandrena,scotica,NA,"Perkins, 1916",NA
Andrenidae,Andrena,Micrandrena,semilaevis,NA,"Pérez, 1903",NA
Andrenidae,Andrena,Chlorandrena,senecionis,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Parandrena,sericata,NA,"Imhoff, 1866",NA
Andrenidae,Andrena,Taeniandrena,similis,NA,"Smith, 1849",NA
Andrenidae,Andrena,Cnemidandrena,simillima,NA,"Smith, 1851",NA
Andrenidae,Andrena,Micrandrena,simontornyella,NA,"Noskiewicz, 1939",NA
Andrenidae,Andrena,Didonia,solenopalpa,NA,"Benoist, 1945",NA
Andrenidae,Andrena,Zonandrena,soror,aggregate,"Dours, 1872","Aggregate, in dire need of revision"
Andrenidae,Andrena,Micrandrena,spreta,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Micrandrena,subopaca,NA,"Nylander, 1848",NA
Andrenidae,Andrena,Suandrena,suerinensis,NA,"Friese, 1884",NA
Andrenidae,Andrena,Euandrena,symphyti,NA,"Schmiedeknecht, 1883",NA
Andrenidae,Andrena,Andrena,synadelpha,NA,"Perkins, 1914",NA
Andrenidae,Andrena,Tarsandrena,tarsata,NA,"Nylander, 1848",NA
Andrenidae,Andrena,Parandrenella,taxana,NA,"Warncke, 1975",NA
Andrenidae,Andrena,Micrandrena,tenuistriata,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Simandrena,thomsoni,NA,"Ducke, 1898",NA
Andrenidae,Andrena,Melandrena,thoracica,NA,"(Fabricius, 1775)",NA
Andrenidae,Andrena,Micrandrena,tiaretta,NA,"Warncke, 1974",NA
Andrenidae,Andrena,Plastandrena,tibialis,NA,"(Kirby, 1802)",NA
Andrenidae,Andrena,Hoplandrena,trimmerana,espanola,"(Kirby, 1802)","I am not sure of the species status of A. t. espanola, could just be a form"
Andrenidae,Andrena,Truncandrena,truncatilabris,NA,"Warncke, 1967",NA
Andrenidae,Andrena,Parandrena,tunetana,NA,"Schmiedeknecht, 1900",NA
Andrenidae,Andrena,Notandrena,urdula,NA,"Warncke, 1965",NA
Andrenidae,Andrena,Graecandrena,vacella,NA,"Warncke, 1975",NA
Andrenidae,Andrena,Holandrena,variabilis,NA,"Smith, 1853",NA
Andrenidae,Andrena,Cordandrena,vaulogeri,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Larandrena,ventralis,NA,"Imhoff, 1832",NA
Andrenidae,Andrena,Cryptandrena,ventricosa,NA,"Dours, 1873",NA
Andrenidae,Andrena,Incertae sedis,verticalis,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Ptilandrena,vetula,NA,"Lepeletier, 1841",NA
Andrenidae,Andrena,Truncandrena,villipes,NA,"Pérez, 1895",NA
Andrenidae,Andrena,Poecilandrena,viridescens,NA,"Viereck, 1916",NA
Andrenidae,Andrena,Zonandrena,vulcana,NA,"Dours, 1873",NA
Andrenidae,Andrena,Euandrena,vulpecula,NA,"Kreichbaumer, 1873",NA
Andrenidae,Andrena,Taeniandrena,wilkella,NA,"(Kirby, 1802)",Material identified as A. w. beaumonti is an undescribed taxon
