"","flag","Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision","Year","Month","Day","Start.date","End.date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.doi","Flowers.visited","Local_ID","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries","uid","Original_name","rm","Genus_species","accepted_name"
"27","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Tenerife; Puerto de la Cruz","28.42227","-16.58255","","1978",NA,NA,NA,"16/05/1978","Bohart, George",NA,NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_12847","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"28","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Tenerife, P. de la Cruz","28.33318","-16.47922","","1978",NA,NA,NA,"16/05/1978","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_12844","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"29","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Canary Islands","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Erysimum bicolor",NA,"Compiled by J.M. Gomez",NA,NA,"13_Gomez_4","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"30","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11926","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"31","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Jardin Canario","28.06963","-15.45797","","1997",NA,NA,NA,"23/03/1997","Terrainconginta","Rasmont P",NA,"1",NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_21617","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"32","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11930","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"33","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Canary Island","",NA,NA,NA,"2007","5",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Parolinia intermedia",NA,"Compiled by J.M. Gomez",NA,NA,"13_Gomez_11","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"34","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Las Palmas de Gran Canaria","28.06963","-15.45797","","2010",NA,NA,NA,"17/10/2010","Emilio J","Rasmont P","1",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_25118","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"35","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","El Ortigal","28.51473","-16.37957","","1993",NA,NA,NA,"15/10/1993","Rasmont P","Rasmont P","1",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,"RASMONT","54_Wood_etal_19973","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"36","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11932","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"37","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Huerta Vicho","28.42449","-16.3784","","1993",NA,NA,NA,"12/10/1993","Rasmont P","Rasmont P","1",NA,NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,"RASMONT","54_Wood_etal_19968","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"38","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11935","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"39","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Tenerife; Puerto de la Cruz","28.42227","-16.58255","","1978",NA,NA,NA,"16/05/1978","Bohart, George",NA,NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_12846","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"40","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Maspalomas, 20 Mi N","28.0688","-15.6615","","1976",NA,NA,NA,"06/11/1976","G. E. Bohart","Brooks Rw",NA,NA,NA,"1","Gbif,2015",NA,NA,"Compiled by T. Wood",NA,NA,"54_Wood_etal_11927","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"41","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","El Ortigal","28.51473","-16.37957","","1993",NA,NA,NA,"15/10/1993","Rasmont P","Rasmont P",NA,"1",NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,"RASMONT","54_Wood_etal_19974","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
"42","Amegilla canifrons","Amegilla",NA,"canifrons",NA,"Spain","Islas Canarias","Roque Bentayga","27.97853","-15.66095","","2014",NA,NA,NA,"11/07/2014","Rennesson Jl","Rasmont P",NA,"1",NA,NA,NA,NA,NA,"Compiled by T. Wood",NA,"Rennesson","54_Wood_etal_26707","Amegilla canifrons","Remove","Amegilla canifrons","Remove"
