"","decimalLatitude","decimalLongitude","family","species","year","month","day","recordedBy","identifiedBy","sex","stateProvince","locality","coordinatePrecision","uid"
"4513",38.65,-0.54,"Apidae","Apis mellifera",2010,4,28,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4513"
"4514",38.65,-0.54,"Apidae","Apis mellifera",2010,4,28,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4514"
"4515",38.72,-0.57,"Apidae","Apis mellifera",2010,4,29,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia","Parc Natural de la Serra de Mariola",NA,"i1_Gbif_4515"
"4516",39.69,-0.35,"Apidae","Apis mellifera",2010,4,29,"R. Fernández Bonilla","R. Fernández Bonilla",NA,"Valencia",NA,NA,"i1_Gbif_4516"
"4517",38.69,-0.6,"Apidae","Apis mellifera",2010,4,25,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Sotarroni",NA,"i1_Gbif_4517"
"4518",36.797202,-3.850036,"Apidae","Habropoda zonatula",2010,4,24,NA,NA,NA,NA,"Spain - Nerja",NA,"i1_Gbif_4518"
"4519",37.299999,-6.26,"Apidae","Eucera chrysopyga",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, 25 km SWW Sevilla, Aznalcazar",NA,"i1_Gbif_4519"
"4520",37.299999,-6.26,"Apidae","Eucera chrysopyga",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, 25 km SWW Sevilla, Aznalcazar",NA,"i1_Gbif_4520"
"4521",36.5,-6.12,"Apidae","Xylocopa violacea",2010,4,8,"C. Schmid-Egger","Stefan Schmidt",NA,NA,"Andalusia, 23 km S Cadiz, Chiclana",NA,"i1_Gbif_4521"
"4522",37.299999,-6.26,"Apidae","Eucera chrysopyga",2010,4,8,"Schmidt-Egger","Christian Schmid-Egger",NA,NA,"Andalusia, 25 km SWW Sevilla, Aznalcazar",NA,"i1_Gbif_4522"
"4523",38.67,-0.52,"Apidae","Apis mellifera",2010,5,6,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4523"
"4524",38.65,-0.54,"Apidae","Apis mellifera",2010,5,11,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4524"
"4525",38.67,-0.52,"Apidae","Apis mellifera",2010,5,13,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4525"
"4526",38.66,-0.53,"Apidae","Apis mellifera",2010,5,12,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4526"
"4527",39.51,-1.43,"Apidae","Apis mellifera",2010,5,19,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia",NA,NA,"i1_Gbif_4527"
"4528",38.79,-0.39,"Apidae","Apis mellifera",2010,5,15,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Embassament de Beniarrés",NA,"i1_Gbif_4528"
"4529",39.51,-1.43,"Apidae","Apis mellifera",2010,5,19,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia",NA,NA,"i1_Gbif_4529"
"4530",38.79,-0.4,"Apidae","Apis mellifera",2010,5,15,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Embassament de Beniarrés",NA,"i1_Gbif_4530"
"4531",38.76,-0.42,"Apidae","Apis mellifera",2010,5,16,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Riu Serpis",NA,"i1_Gbif_4531"
"4532",39.5,-1.43,"Apidae","Apis mellifera",2010,5,19,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia",NA,NA,"i1_Gbif_4532"
"4533",39.52,-1.42,"Apidae","Apis mellifera",2010,5,19,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia",NA,NA,"i1_Gbif_4533"
"4534",39.49,-1.43,"Apidae","Apis mellifera",2010,5,19,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia",NA,NA,"i1_Gbif_4534"
"4535",39.51,-1.4,"Apidae","Apis mellifera",2010,5,20,"J. L. Cantó Corchado | M. J. Sanchis Carles","J. L. Cantó Corchado | M. J. Sanchis Carles",NA,"Valencia",NA,NA,"i1_Gbif_4535"
"4536",39.52,-1.41,"Apidae","Apis mellifera",2010,5,19,NA,NA,NA,"Valencia",NA,NA,"i1_Gbif_4536"
"4537",39.52,-1.4,"Apidae","Apis mellifera",2010,5,20,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia",NA,NA,"i1_Gbif_4537"
"4538",38.67,-0.48,"Apidae","Apis mellifera",2010,5,21,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4538"
"4539",39.52,-1.47,"Apidae","Apis mellifera",2010,5,19,"A. Sanjuán Sánchez | G. Fernández Alfaro | J. Baixeras Almela | O. Molla Hernández","A. Sanjuán Sánchez | G. Fernández Alfaro | J. Baixeras Almela | O. Molla Hernández",NA,"Valencia","Fuente del Buitre",NA,"i1_Gbif_4539"
"4540",39.36,-0.82,"Apidae","Apis mellifera",2010,5,15,"F. Moreno López | J. F. Roger Busquets","F. Moreno López | J. F. Roger Busquets",NA,"Valencia","Montratón",NA,"i1_Gbif_4540"
"4541",38.66,-0.54,"Apidae","Apis mellifera",2010,5,26,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4541"
"4542",38.74,-0.58,"Apidae","Apis mellifera",2010,5,14,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia","Parc Natural de la Serra de Mariola",NA,"i1_Gbif_4542"
"4543",38.66,-0.55,"Apidae","Apis mellifera",2010,5,18,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4543"
"4544",39.55,-1.46,"Apidae","Xylocopa violacea",2010,5,19,"A. Sanjuán Sánchez | J. Baixeras Almela | G. Fernández Alfaro | O. Molla Hernández","A. Sanjuán Sánchez | J. Baixeras Almela | G. Fernández Alfaro | O. Molla Hernández",NA,"Valencia",NA,NA,"i1_Gbif_4544"
"4545",40.03,-1.13,"Apidae","Apis mellifera",2010,5,5,"J. Monedero Ramos","J. Monedero Ramos",NA,"Valencia",NA,NA,"i1_Gbif_4545"
"4546",38.66,-0.54,"Apidae","Apis mellifera",2010,5,24,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4546"
"4547",39.792347,3.075099,"Apidae","Xylocopa violacea",2010,5,6,NA,NA,NA,NA,"Spain - Mallorca - Albufera",NA,"i1_Gbif_4547"
"4548",38.73,-0.55,"Apidae","Apis mellifera",2010,6,5,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia","Parc Natural de la Serra de Mariola",NA,"i1_Gbif_4548"
"4549",38.73,-0.55,"Apidae","Apis mellifera",2010,6,5,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia","Parc Natural de la Serra de Mariola",NA,"i1_Gbif_4549"
"4550",38.77,-0.5,"Apidae","Apis mellifera",2010,6,3,"D. Belda Miró | J. L. Cantó Corchado","D. Belda Miró | J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Serra de Mariola",NA,"i1_Gbif_4550"
"4551",38.66,-0.53,"Apidae","Apis mellifera",2010,6,22,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4551"
"4552",38.93,-0.28,"Apidae","Apis mellifera",2010,6,29,"M. J. Sanchis Carles | J. A. Tornero Collados","M. J. Sanchis Carles | J. A. Tornero Collados",NA,"Valencia",NA,NA,"i1_Gbif_4552"
"4553",36.577351,-4.883108,"Apidae","Bombus terrestris",2010,6,10,NA,NA,NA,NA,"Spain - Sierra Blanca",NA,"i1_Gbif_4553"
"4554",37.95,-0.95,"Apidae","Nomada femoralis",2010,6,9,"Petr Bogusch | Jakub Straka","M. Schwarz","FEMALE",NA,"6 km S Cabezo de la Plata",NA,"i1_Gbif_4554"
"4555",41.79961,2.731068,"Apidae","Bombus terrestris",2010,6,14,"Joan Ventura","pacoaguayo",NA,"Cataluña",NA,NA,"i1_Gbif_4555"
"4556",38.69,-0.43,"Apidae","Apis mellifera",2010,7,3,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","La Serreta",NA,"i1_Gbif_4556"
"4557",38.65,-0.51,"Apidae","Apis mellifera",2010,7,5,"J. L. Cantó Corchado | N. Gadea Alós | Q. Rubio Figuerola","J. L. Cantó Corchado | N. Gadea Alós | Q. Rubio Figuerola",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4557"
"4558",38.72,-0.62,"Apidae","Apis mellifera",2010,7,8,"J. L. Cantó Corchado | M. J. Sanchis Carles","J. L. Cantó Corchado | M. J. Sanchis Carles",NA,"Valencia","Parc Natural de la Serra de Mariola",NA,"i1_Gbif_4558"
"4559",38.69,-0.44,"Apidae","Apis mellifera",2010,7,3,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","La Serreta",NA,"i1_Gbif_4559"
"4560",38.82,-0.18,"Apidae","Apis mellifera",2010,7,15,"J. P. Crespo Momiejo","J. P. Crespo Momiejo",NA,"Alicante",NA,NA,"i1_Gbif_4560"
"4561",43.075722,-4.7509,"Apidae","Bombus pyrenaeus",2010,7,26,NA,NA,NA,NA,"Spain - Picos de Europa P.N.",NA,"i1_Gbif_4561"
"4562",43.156589,-4.806335,"Apidae","Apis mellifera",2010,7,24,NA,NA,NA,NA,"Spain - Picos de Europa P.N.",NA,"i1_Gbif_4562"
"4563",41.971233,-2.624016,"Apidae","Apis mellifera",2010,7,4,NA,NA,NA,NA,"Spain - Salamanca",NA,"i1_Gbif_4563"
"4564",41.3937,2.1529,"Apidae","Apis mellifera",2010,8,NA,"Caballero López, Berta",NA,NA,"Barcelona","balconada MZB",NA,"i1_Gbif_4564"
"4565",41.3937,2.1529,"Apidae","Apis mellifera",2010,8,NA,"Caballero López, Berta",NA,NA,"Barcelona","balconada MZB",NA,"i1_Gbif_4565"
"4566",38.62,-0.52,"Apidae","Apis mellifera",2010,8,3,"J. Acosta Matarredona | J. L. Cantó Corchado | M. J. Sanchis Carles","J. Acosta Matarredona | J. L. Cantó Corchado | M. J. Sanchis Carles",NA,"Alicante",NA,NA,"i1_Gbif_4566"
"4567",38.62,-0.52,"Apidae","Apis mellifera",2010,8,3,"J. Acosta Matarredona | J. L. Cantó Corchado | M. J. Sanchis Carles","J. Acosta Matarredona | J. L. Cantó Corchado | M. J. Sanchis Carles",NA,"Alicante",NA,NA,"i1_Gbif_4567"
"4568",39.3,-0.31,"Apidae","Apis mellifera",2010,9,1,"E. Laguna Lumbreras","E. Laguna Lumbreras",NA,"Valencia",NA,NA,"i1_Gbif_4568"
"4569",38.65,-0.55,"Apidae","Apis mellifera",2010,9,5,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4569"
"4570",38.49,-0.57,"Apidae","Apis mellifera",2010,11,19,"E. Aparicio Esteve","E. Aparicio Esteve",NA,"Alicante",NA,NA,"i1_Gbif_4570"
"4574",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4574"
"4575",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4575"
"4577",39.774475,3.129261,"Apidae","Ceratina dallatorreana",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4577"
"4578",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4578"
"4579",39.80738,2.79654,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4579"
"4580",39.7981,2.7771,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4580"
"4581",39.80738,2.79654,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4581"
"4582",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4582"
"4583",39.7981,2.7771,"Apidae","Anthophora balearica",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4583"
"4584",39.774475,3.129261,"Apidae","Anthophora plumipes",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4584"
"4585",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4585"
"4586",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4586"
"4587",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4587"
"4588",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4588"
"4589",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4589"
"4590",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4590"
"4591",39.742645,3.430195,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4591"
"4592",39.742645,3.430195,"Apidae","Ceratina parvula",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4592"
"4593",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4593"
"4594",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4594"
"4595",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4595"
"4596",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4596"
"4597",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4597"
"4598",39.742645,3.430195,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4598"
"4599",39.742645,3.430195,"Apidae","Xylocopa violacea",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4599"
"4600",39.742645,3.430195,"Apidae","Eucera oraniensis",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4600"
"4601",39.80738,2.79654,"Apidae","Xylocopa violacea",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4601"
"4602",39.80738,2.79654,"Apidae","Xylocopa violacea",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4602"
"4603",39.80738,2.79654,"Apidae","Xylocopa violacea",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4603"
"4604",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4604"
"4605",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4605"
"4606",39.7981,2.7771,"Apidae","Bombus terrestris",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4606"
"4607",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4607"
"4608",39.80738,2.79654,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4608"
"4609",39.742645,3.430195,"Apidae","Eucera oraniensis",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4609"
"4610",39.7981,2.7771,"Apidae","Xylocopa violacea",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4610"
"4611",39.742645,3.430195,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4611"
"4612",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4612"
"4613",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4613"
"4614",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4614"
"4615",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4615"
"4616",39.80738,2.79654,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4616"
"4617",39.742645,3.430195,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4617"
"4618",39.80738,2.79654,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4618"
"4619",39.742645,3.430195,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4619"
"4620",39.742645,3.430195,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4620"
"4621",39.80738,2.79654,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4621"
"4622",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4622"
"4623",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4623"
"4624",39.7981,2.7771,"Apidae","Amegilla quadrifasciata",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4624"
"4625",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4625"
"4626",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4626"
"4627",39.80738,2.79654,"Apidae","Xylocopa violacea",2010,NA,NA,NA,NA,NA,"Mallorca","Passadís de ses Clotades",NA,"i1_Gbif_4627"
"4628",39.7981,2.7771,"Apidae","Amegilla quadrifasciata",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4628"
"4629",39.7981,2.7771,"Apidae","Apis mellifera",2010,NA,NA,NA,NA,NA,"Mallorca","Coma de n'Arbona",NA,"i1_Gbif_4629"
"4630",39.742645,3.430195,"Apidae","Anthophora balearica",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4630"
"4631",39.742645,3.430195,"Apidae","Ceratina parvula",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4631"
"4632",39.742645,3.430195,"Apidae","Ceratina parvula",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4632"
"4633",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4633"
"4634",39.774475,3.129261,"Apidae","Ceratina dallatorreana",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4634"
"4635",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4635"
"4636",39.774475,3.129261,"Apidae","Ceratina cucurbitina",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4636"
"4637",39.774475,3.129261,"Apidae","Ceratina dallatorreana",2010,NA,NA,NA,NA,NA,"Mallorca","Son Bosc",NA,"i1_Gbif_4637"
"4638",39.742645,3.430195,"Apidae","Ceratina parvula",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4638"
"4639",39.742645,3.430195,"Apidae","Ceratina parvula",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4639"
"4640",39.742645,3.430195,"Apidae","Ceratina parvula",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4640"
"4641",39.742645,3.430195,"Apidae","Ceratina parvula",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4641"
"4642",39.742645,3.430195,"Apidae","Ceratina parvula",2010,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4642"
"4644",39.715672,3.477731,"Apidae","Bombus terrestris",2009,3,8,"-2075801121",NA,NA,NA,"Cala Rajada, Faro (Leuchtturm)",NA,"i1_Gbif_4644"
"4645",39.643296,2.452637,"Apidae","Bombus terrestris",2009,3,1,"Fero Bednar","Fero Bednar",NA,"Islas Baleares",NA,NA,"i1_Gbif_4645"
"4646",42.155348,2.537558,"Apidae","Apis mellifera",2009,3,16,"Mafa Bauçà","Mafa Bauçà",NA,"Cataluña",NA,NA,"i1_Gbif_4646"
"4647",38.669075,-0.524764,"Apidae","Apis mellifera",2009,3,16,"Pep Cantó","Pep Cantó",NA,"Comunidad Valenciana",NA,NA,"i1_Gbif_4647"
"4648",37.200929,-7.303081,"Apidae","Xylocopa violacea",2009,4,6,NA,NA,NA,NA,"Spain - Huelva - Isla Cristina",NA,"i1_Gbif_4648"
"4649",38.66,-0.53,"Apidae","Apis mellifera",2009,5,18,"J. L. Cantó Corchado | N. Fabuel Ten | Y. Orduna Carrasquer","J. L. Cantó Corchado | N. Fabuel Ten | Y. Orduna Carrasquer",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4649"
"4650",38.69,-0.56,"Apidae","Apis mellifera",2009,5,21,"J. L. Cantó Corchado | J. Navarro Salinas | A. Llor Navarrete | A. Figueroa Riquelme | C. Ferrer Mora","J. L. Cantó Corchado | J. Navarro Salinas | A. Llor Navarrete | A. Figueroa Riquelme | C. Ferrer Mora",NA,"Alicante","Montesol",NA,"i1_Gbif_4650"
"4651",38.66,-0.5,"Apidae","Apis mellifera",2009,5,17,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4651"
"4652",39.71,-0.46,"Apidae","Bombus terrestris",2009,5,18,"X. Tamarit Canoves","X. Tamarit Canoves",NA,"Valencia",NA,NA,"i1_Gbif_4652"
"4653",40.03,-1.15,"Apidae","Apis mellifera",2009,5,13,"J. Monedero Ramos","J. Monedero Ramos",NA,"Valencia",NA,NA,"i1_Gbif_4653"
"4654",41.71688,2.428976,"Apidae","Bombus terrestris",2009,5,20,NA,NA,NA,"Barcelona","Parc Natural del Montseny",NA,"i1_Gbif_4654"
"4655",41.716939,2.440997,"Apidae","Bombus terrestris",2009,5,20,NA,NA,NA,"Barcelona","Parc Natural del Montseny",NA,"i1_Gbif_4655"
"4656",42.751171,-9.093758,"Apidae","Apis mellifera",2009,5,30,NA,NA,NA,NA,"Spain - Monte e lagoa de Louro",NA,"i1_Gbif_4656"
"4657",36.548718,-5.256433,"Apidae","Apis mellifera",2009,5,3,"William Stephens","Kevin Gruau",NA,"Andalucía",NA,NA,"i1_Gbif_4657"
"4658",38.72,-0.62,"Apidae","Apis mellifera",2009,6,26,"J. L. Cantó Corchado","J. L. Cantó Corchado",NA,"Valencia","Parc Natural de la Serra de Mariola",NA,"i1_Gbif_4658"
"4659",41.698744,2.4051,"Apidae","Bombus terrestris",2009,6,4,NA,NA,NA,"Barcelona","Parc Natural del Montseny",NA,"i1_Gbif_4659"
"4660",43.235129,-4.743951,"Apidae","Apis mellifera",2009,6,11,"Ina","Ina",NA,"Principado de Asturias",NA,NA,"i1_Gbif_4660"
"4661",38.65,-0.5,"Apidae","Apis mellifera",2009,7,15,"J. L. Cantó Corchado | L. Serra Laliga","J. L. Cantó Corchado | L. Serra Laliga",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4661"
"4662",38.65,-0.48,"Apidae","Apis mellifera",2009,7,15,"J. L. Cantó Corchado | L. Serra Laliga","J. L. Cantó Corchado | L. Serra Laliga",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4662"
"4663",38.64,-0.5,"Apidae","Apis mellifera",2009,7,15,"J. L. Cantó Corchado | L. Serra Laliga","J. L. Cantó Corchado | L. Serra Laliga",NA,"Alicante","Parc Natural de la Font Roja",NA,"i1_Gbif_4663"
"4664",42.916741,-2.037975,"Apidae","Xylocopa violacea",2009,10,30,NA,NA,NA,NA,"Spain - Arbizu",NA,"i1_Gbif_4664"
"4665",40.966123,-3.718719,"Apidae","Bombus terrestris",2009,10,18,"Ángel Fernández Cancio","Ángel Fernández Cancio",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_4665"
"4666",40.966087,-3.718722,"Apidae","Bombus terrestris",2009,10,16,"Ángel Fernández Cancio","Ángel Fernández Cancio",NA,"Comunidad de Madrid",NA,NA,"i1_Gbif_4666"
"4671",36.701692,-4.700828,"Apidae","Apis mellifera",2009,12,8,NA,NA,NA,NA,"Spain - Alhaurín el Grande",NA,"i1_Gbif_4671"
"4672",38.72,-0.56,"Apidae","Apis mellifera",2009,NA,NA,"J. Quinto Cánovas | R. C. Briones Parra","J. Quinto Cánovas | R. C. Briones Parra",NA,"Valencia","Riu Vinalopó",NA,"i1_Gbif_4672"
"4673",38.72,-0.57,"Apidae","Apis mellifera",2009,NA,NA,"J. Quinto Cánovas | R. C. Briones Parra","J. Quinto Cánovas | R. C. Briones Parra",NA,"Valencia","Riu Vinalopó",NA,"i1_Gbif_4673"
"4674",39.742645,3.430195,"Apidae","Apis mellifera",2009,NA,NA,NA,NA,NA,"Mallorca","Cala Mesquida",NA,"i1_Gbif_4674"
