"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS.(N)","GPS.(E)","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","00/05/1978",NA,NA,NA,"I.S.R.","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","1985-04-10",NA,NA,NA,"J. José González","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","00/07/1980",NA,NA,NA,"Juliana García","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Mallorca","Mallorca","Mallorca","España","00/04/1977",NA,NA,NA,"Pilar Sarriera","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Alsasua","Alsasua","Navarra","España","00/08/1984",NA,NA,NA,"Fernanda E. N.","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","F. del Fresno","Madrid","Madrid","España","1986-06-19",NA,NA,NA,"Rosa de la Torre","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","El Tiemblo","Ávila","Ávila","España","1980-07-23",NA,NA,NA,"Manolo Escalonilla","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Casa de Campo","Madrid","Madrid","España","1978-08-01",NA,NA,NA,"-","C. Ornosa",2014,"macho","-","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","1982-05-22",NA,NA,NA,"R. Indart","C. Ornosa",2014,"macho","-","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","1982-05-16",NA,NA,NA,"I. Bartolomé Tejedor","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","00/05/1979",NA,NA,NA,"L. Martínez","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","00/06/1979",NA,NA,NA,"J.M. Hernández","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","El Molar","Madrid","Madrid","España","00/05/1978",NA,NA,NA,"-","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","1977-05-24",NA,NA,NA,"-","C. Ornosa",2014,"macho","-","UCME/CACLM"
"Bombus ","Bombus","terrestris","Torrejón","Madrid","Madrid","España","00/06/1979",NA,NA,NA,"-","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Comarruga","Comarruga","Tarragona","España","00/08/1983",NA,NA,NA,"Teresa García","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Parque del Oeste","Madrid","Madrid","España","1980-06-25",NA,NA,NA,"F. Gómez Aguado","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Ciudad Universitaria","Madrid","Madrid","España","1986-06-05",NA,NA,NA,"I. Torremocha","C. Ornosa",2014,"-","reina","UCME/CACLM"
"Bombus ","Bombus","terrestris","Madrid","Madrid","Madrid","España","00/08/1983",NA,NA,NA,"M. Fontanilla","C. Ornosa",2014,"macho","-","UCME/CACLM"
"Bombus ","Bombus","terrestris","Budia","Budia","Guadalajara","España","00/08/1977",NA,NA,NA,"Mª Ángeles Gómez","C. Ornosa",2014,"-","obrera","UCME/CACLM"
"Bombus ","Bombus","terrestris","Ciudad Universitaria","Madrid","Madrid","España","00/05/1982",NA,NA,NA,"C. Martínez","C. Ornosa",2014,"-","obrera","UCME/CACLM"
