"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","UTM","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja","Observaciones"
"Anthidium",NA,"punctatum","Villarino",NA,"Salamanca","España","21-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,"Salamanca/2",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/2",NA
"Icteranthidium",NA,"grohmanni","Salamanca",NA,"Salamanca","España","7-VII-1986",NA,NA,"F. Torres","F. Torres",NA,NA,1,"Salamanca/2",NA
"Icteranthidium",NA,"grohmanni","Mombeltrán",NA,"Ávila","España","24-VII-1987",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,"Salamanca/2",NA
NA,NA,NA,"Gavilanes",NA,"Ávila","España","22-VII-1987",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/2",NA
"Rhodanthidium",NA,"septempunctatum","Salto Aldeadávila",NA,"Salamanca","España","20-VI-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,1,"Salamanca/2",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","23-V-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/2",NA
"Paranthidiellum",NA,"lituratum","La Fregeneda",NA,"Salamanca","España","30-VIII-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,1,"Salamanca/2",NA
NA,NA,NA,"La Fregeneda",NA,"Salamanca","España","30-VIII-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/2",NA
"Anthidiellum","Anthidiell","strigatum","Salto Saucelle",NA,"Salamanca","España","31-VIII-1997",NA,NA,"S. F. Gayubo","F. Torres",NA,1,NA,"Salamanca/2",NA
NA,NA,NA,"La Fregeneda",NA,"Salamanca","España","2-VIII-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/2",NA
"Stelis",NA,"signata","Pina de Ebro",NA,"Zaragoza","España","12-VIII-1990",NA,NA,"J. Blasco","Torres/Ornosa",NA,NA,1,"Salamanca/2",NA
"Stelis",NA,"phaeoptera","Villalcázar de S.",NA,"Palencia","España","21-VI-1987",NA,NA,"A. Rueda","Torres/Ornosa",NA,NA,1,"Salamanca/2",NA
"Stelis",NA,"phaeoptera","Salto Aldeadávila",NA,"Salamanca","España","23-V-1998",NA,NA,"S. F. Gayubo","Torres/Ornosa",NA,NA,1,"Salamanca/2",NA
"Stelis",NA,"phaeoptera","Salto Aldeadávila",NA,"Salamanca","España","6-VI-1998",NA,NA,"S. F. Gayubo","Torres/Ornosa",NA,NA,1,"Salamanca/2",NA
"Stelis",NA,"punctulatissima","Mombeltrán",NA,"Ávila","España","24-VII-1987",NA,NA,"C. Heras","Torres/Ornosa",NA,NA,1,"Salamanca/2",NA
"Stelis",NA,"punctulatissima","Cuevas del Valle",NA,"Ávila","España","21-VII-1987",NA,NA,"S. F. Gayubo","Torres/Ornosa",NA,NA,1,"Salamanca/2",NA
"Stelis",NA,"punctulatissima","Salamanca",NA,"Salamanca","España","4-VII-1986",NA,NA,"F. Torres","Torres/Ornosa",NA,1,NA,"Salamanca/2",NA
"Stelis",NA,"punctulatissima","Salamanca",NA,"Salamanca","España","7-VII-1986",NA,NA,"F. Torres","Torres/Ornosa",NA,NA,1,"Salamanca/2",NA
"Stelis",NA,"breviuscula","Saucelle",NA,"Salamanca","España","2-VIII-1997",NA,NA,"S. F. Gayubo","Torres/Ornosa",NA,NA,1,"Salamanca/2",NA
"Stelis",NA,"punctulatissima","Viana de Cega",NA,"Valladolid","España","27-VI-1993",NA,NA,"J. A. González","F. Torres",NA,NA,1,"Salamanca/3",NA
"Anthidium","Proanthid","oblongatum","Viana de Cega",NA,"Valladolid","España","12-VII-1993",NA,NA,"J. A. González","Torres/Ornosa",NA,1,NA,"Salamanca/3",NA
NA,NA,NA,"Viana de Cega",NA,"Valladolid","España","27-VI-1993",NA,NA,"J. A. González","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Viana de Cega",NA,"Valladolid","España","26-VII-1993",NA,NA,"J. A. González","F. Torres",NA,NA,NA,"Salamanca/3",NA
"Trianthidium",NA,"caturigense","Viana de Cega",NA,"Valladolid","España","26-VII-1993",NA,NA,"J. A. González","F. Torres",NA,1,NA,"Salamanca/3",NA
NA,NA,NA,"La Angostura",NA,"Ávila","España","2-VII-1996",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Brácana",NA,"Granada","España","13-VI-191989",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Lastres de C.",NA,"Asturias","España","10-VII-191989",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Brácana",NA,"Granada","España","16-VI-1986",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Carcaixent",NA,"Valencia","España","17-VI_1999",NA,NA,"A. Ribes","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Zamadueñas",NA,"Valencia","España","15-VII-1993",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Tordesillas",NA,"Valencia","España","26-VII-1993",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Tordesillas",NA,"Valencia","España","26-VII-1994",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Tordesillas",NA,"Valencia","España","5-VII-1993",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/3",NA
"?",NA,NA,"Cuevas del Valle",NA,"Ávila","España","21-VII-1987",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/3",NA
"Stelis",NA,"punctulatissima","Tordesillas",NA,"Valladolid","España","15-VII-1993",NA,NA,"F. Torres","Torres/Ornosa",NA,NA,1,"Salamanca/3",NA
NA,NA,NA,"Rioja ",NA,"Almería","España","3-VII-1993",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","8-VI-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/3",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","21-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","18-VIII-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","21-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","21-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","20-VI-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","18-VII-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","2-VIII-1997",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","21-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","21-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Saucelle",NA,"Salamanca","España","22-VI-1997",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"La Fregeneda",NA,"Salamanca","España","2-VIII-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","5-VII-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","23-V-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","22-VI-1996",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","22-VI-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","22-VI-1996",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","22-VI-1996",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"La Fregeneda",NA,"Salamanca","España","6-VI-1999",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","8-VI-1996",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Saucelle",NA,"Salamanca","España","6-VII-1997",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","21-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Saucelle",NA,"Salamanca","España","20-VII-1997",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","7-VII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","5-VII-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","18-VII-1998",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Villarino",NA,"Salamanca","España","8-VIII-1995",NA,NA,"S. F. Gayubo","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","20-VI-1998",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","20-VI-1998",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","20-VI-1998",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","5-VII-1998",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","5-VII-1998",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","5-VII-1998",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
"Stelis",NA,"phaeoptera","Salto Aldeadávila",NA,"Salamanca","España","5-VII-1998",NA,NA,"F. Torres","Torres/Ornosa",NA,NA,1,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","18-VII-1998",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
"Stelis",NA,"puntulatissima","Salto Aldeadávila",NA,"Salamanca","España","18-VII-1998",NA,NA,"F. Torres","Torres/Ornosa",NA,NA,1,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","2-VIII-1997",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
"Stelis",NA,"puntulatissima","Salto Aldeadávila",NA,"Salamanca","España","2-VIII-1997",NA,NA,"F. Torres","Torres/Ornosa",NA,NA,1,"Salamanca/4",NA
"Stelis",NA,"puntulatissima","Salto Aldeadávila",NA,"Salamanca","España","2-VIII-1997",NA,NA,"F. Torres","Torres/Ornosa",NA,NA,1,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","14-VIII-1997",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","14-VIII-1997",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","31-VIII-1997",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","31-VIII-1997",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","31-VIII-1997",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
NA,NA,NA,"Salto Aldeadávila",NA,"Salamanca","España","31-VIII-1997",NA,NA,"F. Torres","F. Torres",NA,NA,NA,"Salamanca/4",NA
"Stelis",NA,"punctulatissima","NIDO 34-C1",NA,NA,NA,"22-XII-2005",NA,NA,NA,"F. Torres",NA,NA,1,"Salamanca/6",NA
"Stelis",NA,"punctulatissima","NIDO 25-C1",NA,NA,NA,"14-XII-2005",NA,NA,NA,"F. Torres",NA,NA,1,"Salamanca/6",NA
"Stelis",NA,"punctulatissima","NIDO 26",NA,NA,NA,"14-XII-2005",NA,NA,NA,"F. Torres",NA,NA,1,"Salamanca/6",NA
"Stelis",NA,"punctulatissima","NIDO 34-C4",NA,NA,NA,"22-XII-2005",NA,NA,NA,"F. Torres",NA,1,NA,"Salamanca/6",NA
"Stelis",NA,"sin gáster....","NIDO 34-C1",NA,NA,NA,"28-XII-2005",NA,NA,NA,"C. Ornosa",NA,NA,NA,"Salamanca/6",NA
"Stelis",NA,"ornatula","Montehermoso",NA,"Cáceres",NA,"9-I-2006",NA,NA,NA,"C. Ornosa",NA,NA,1,"Salamanca/6 UCME ",NA
"Stelis",NA,"ornatula","Montehermoso",NA,"Cáceres",NA,"20-I-2006",NA,NA,NA,"C. Ornosa",NA,NA,1,"Salamanca/6 UCME ",NA
"Stelis",NA,"ornatula","Montehermoso",NA,"Cáceres",NA,"20-I-2006",NA,NA,NA,"C. Ornosa",NA,1,NA,"Salamanca/6 UCME ",NA
"Stelis",NA,"ornatula","Montehermoso",NA,"Cáceres",NA,"6-I-2006",NA,NA,NA,"C. Ornosa",NA,1,NA,"Salamanca/6 UCME ",NA
"Stelis",NA,"ornatula","Montehermoso",NA,"Cáceres",NA,"9-I-2006",NA,NA,NA,"C. Ornosa",NA,NA,1,"Salamanca/6 UCME ",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Salamanca/6",NA
"Stelis",NA,"phaeoptera","Salvatierra de T.",NA,"Salamanca",NA,NA,NA,NA,"F. Torres","C. Ornosa",NA,1,NA,"Salamanca/6",NA
"Stelis",NA,"phaeoptera","Guijo de Galisteo, Cruz Cariles",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,1,NA,"Salamanca/6",NA
"Stelis",NA,"phaeoptera"," Guijo de Galisteo, Cordel",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,1,NA,"Salamanca/6",NA
"Stelis",NA,"phaeoptera","Guijo de Galisteo, Cruz Cariles",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,1,NA,"Salamanca/6",NA
"Stelis",NA,"phaeoptera","Guijo de Galisteo, Huerto Cristo",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,NA,1,"Salamanca/6",NA
"Stelis",NA,"phaeoptera"," Guijo de Galisteo, Cordel",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,NA,1,"Salamanca/6",NA
"Stelis",NA,"phaeoptera","Guijo de Galisteo, Viña",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,NA,1,"Salamanca/6",NA
"Stelis",NA,"phaeoptera","Guijo de Galisteo, Huerto Cristo",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,1,NA,"Salamanca/6",NA
"Stelis",NA,"phaeoptera"," Guijo de Galisteo, Cordel",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,NA,1,"Salamanca/6",NA
"Stelis",NA,"phaeoptera"," Guijo de Galisteo, Cordel",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,1,NA,"Salamanca/6",NA
"Stelis",NA,"phaeoptera"," Guijo de Galisteo, Cordel",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,NA,1,"Salamanca/6",NA
"Stelis",NA,"phaeoptera"," Guijo de Galisteo, Cordel",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,1,NA,"Salamanca/6",NA
"Stelis",NA,"phaeoptera"," Guijo de Galisteo, Cordel",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,NA,1,"Salamanca/6",NA
"Anthidium?",NA,NA," Guijo de Galisteo, Cordel",NA,"Cáceres",NA,"2004",NA,NA,"F. Torres","C. Ornosa",NA,NA,1,"Salamanca/6",NA
"Icteranthidium?",NA,"ghrohmanni?"," Guijo de Galisteo, Cordel",NA,"Cáceres",NA,"VII-2004",NA,NA,"F. Torres","Torres/Ornosa",NA,1,NA,"Salamanca/6",NA
"Stelis",NA,"punctulatissima","Barrios  de S.",NA,"León",NA,"VI-1994",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,1,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1994",NA,NA,"F.Torres","F.Torres",NA,1,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1994",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1994",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1994",NA,NA,"F.Torres","F.Torres",NA,NA,1,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1994",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Dioxys",NA,"cinta","Salvatierra",NA,"Salamanca",NA,"1994",NA,NA,"F.Torres","F.Torres",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,NA,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,1,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,1,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,1,NA,"Salamanca/9",NA
"Stelis",NA,"phaeophtera","Salvatierra",NA,"Salamanca",NA,"1995",NA,NA,"F.Torres","Torres/Ornosa",NA,1,NA,"Salamanca/9",NA
