"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","female","male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Any.other.additional.data"
"Apis","mellifera",NA,"Portugal","Açores","Angra do Heroísmo"," 38.652725°"," -27.225259°","<10m",2020,"maio",25,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,3,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Apis","mellifera",NA,"Portugal","Açores","Angra do Heroísmo"," 38.652725°"," -27.225259°","<10m",2020,"junho",25,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,2,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Bombus ","terrestris",NA,"Portugal","Açores","Angra do Heroísmo"," 38.656504°"," -27.226227°","<10m",2020,"maio",26,NA,NA,"Mário Boieiro","Mário Boieiro",4,0,5,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Apis","mellifera",NA,"Portugal","Açores","Angra do Heroísmo"," 38.656504°"," -27.226227°","<10m",2020,"maio",26,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,11,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Bombus","ruderatus",NA,"Portugal","Açores","Angra do Heroísmo"," 38.656504°"," -27.226227°","<10m",2020,"maio",26,NA,NA,"Mário Boieiro","Mário Boieiro",1,0,0,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Bombus ","terrestris",NA,"Portugal","Açores","Angra do Heroísmo"," 38.653897°"," -27.228820°","<10m",2020,"maio",30,NA,NA,"Mário Boieiro","Mário Boieiro",1,0,1,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Megachile","cetuncularis",NA,"Portugal","Açores","Angra do Heroísmo"," 38.643832°"," -27.217932°","<10m",2020,"junho",1,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,0,1,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation and photographed"
"Apis","mellifera",NA,"Portugal","Madeira","Estanquinhos"," 32.766441°","-17.077731°","<50m",2018,"julho",11,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,5,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation"
"Bombus","ruderatus",NA,"Portugal","Madeira","Estanquinhos"," 32.766441°","-17.077731°","<50m",2018,"julho",11,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,0,3,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation"
"Bombus ","terrestris",NA,"Portugal","Madeira","Estanquinhos"," 32.766441°","-17.077731°","<50m",2018,"julho",11,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,0,3,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Estanquinhos"," 32.766070°","-17.078157°","<50m",2018,"julho",11,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,4,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation"
"Bombus","ruderatus",NA,"Portugal","Madeira","Estanquinhos"," 32.766070°","-17.078157°","<50m",2018,"julho",11,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,0,11,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Estanquinhos"," 32.765680°","-17.079434°","<50m",2018,"julho",11,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,2,0,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation"
"Bombus","ruderatus",NA,"Portugal","Madeira","Estanquinhos"," 32.765680°","-17.079434°","<50m",2018,"julho",11,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,0,9,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation"
"Bombus ","terrestris",NA,"Portugal","Madeira","Estanquinhos"," 32.765680°","-17.079434°","<50m",2018,"julho",11,NA,NA,"Mário Boieiro","Mário Boieiro",0,0,0,1,NA,"Echium candicans",NA,"Mário Boieiro","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,11,NA,"Tropaeolum majus",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,8,NA,"Tropaeolum majus",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,4,NA,"Helichrysum",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,11,NA,"Prunella",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,4,NA,"Prunella",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,5,NA,"Digitalis",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,6,NA,"Trifolium",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,1,0,NA,"Rubus",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,1,0,NA,"Trifolium",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",1,0,0,2,NA,"Tropaeolum majus",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Ribeiro Bonito"," 32.807302°","-16.939853°","<200m",2016,"agosto",13,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Vicia",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",NA,2016-08-14,2016-08-15,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,12,NA,"Tropaeolum majus",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",NA,2016-08-14,2016-08-15,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,12,NA,"Trifolium",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira"," 32.792107°","-17.113212°","<200m",2016,"agosto",NA,2016-08-14,2016-08-15,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Origanum",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira"," 32.792107°","-17.113212°","<200m",2016,"agosto",NA,2016-08-14,2016-08-15,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,2,NA,"Rubus",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",14,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Hypericum",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",14,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Prunella ",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",14,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,2,NA,"Tropaeolum",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",14,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Hypericum",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",14,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,2,NA,"Asteraceae",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",15,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,2,NA,"Tropaeolum",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",15,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,6,NA,"Hydrangea",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","terrestris",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",15,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Hedychium",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",15,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Hedychium",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",15,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Tropaeolum",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Apis","mellifera",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",15,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,11,NA,"Hydrangea",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","ruderatus",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",15,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Hedychium",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","ruderatus",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",15,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Tropaeolum",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Bombus","ruderatus",NA,"Portugal","Madeira","Chão da Ribeira","32.806411°","-17.115459°","<200m",2016,"agosto",15,NA,NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira",0,0,0,1,NA,"Hydrangea",NA,"Mário Boieiro, Carla Rego, Renata Santos e Mariana Ferreira","Direct observation"
"Andrena","dourada",NA,"Portugal","Porto Santo","Pico Branco"," 33.092276°","-16.305155°","<250m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Andrena","dourada",NA,"Portugal","Porto Santo","Serra de Fora"," 33.073244°","-16.317517°","<200m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Umbeliferae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Andrena","dourada",NA,"Portugal","Porto Santo","Serra de Fora"," 33.073244°","-16.317517°","<200m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,3,NA,"Rapistrum","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Andrena","dourada",NA,"Portugal","Porto Santo","Vila Baleira"," 33.071712°","-16.342801°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,2,NA,"Umbeliferae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Pico Branco"," 33.092276°","-16.305155°","<250m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Echium nervosum","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Vila Baleira"," 33.071712°","-16.342801°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Bidens pilosa","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Rumex","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Mesembryanthemum cristalinum","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Morenos"," 33.040860°","-16.389902°","<500m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Echium nervosum","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Malvaceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Malvaceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Malvaceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Malvaceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Amegilla","quadrifasciata","maderae","Portugal","Porto Santo","Pico Branco"," 33.092276°","-16.305155°","<250m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Hypericum","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Apis","mellifera ",NA,"Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Apis","mellifera ",NA,"Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Mesembryanthemum nodiflorum","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Apis","mellifera ",NA,"Portugal","Porto Santo","Pico Branco"," 33.092276°","-16.305155°","<250m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Brassicaceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Bombus","terrestris",NA,"Portugal","Porto Santo","Pico Branco"," 33.092276°","-16.305155°","<250m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,NA,"2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Hylaeus","maderensis",NA,"Portugal","Porto Santo","Serra de Fora"," 33.073244°","-16.317517°","<200m",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Geraniaceae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
"Hylaeus","maderensis",NA,"Portugal","Porto Santo","Cabeço da Ponta"," 33.041060°","-16.361317°","<1km",2017,"maio",NA,2017-05-01,2017-05-07,"Mário Boieiro e Carla Rego","Andreia Penado, Mário Boieiro e Carla Rego",0,0,0,1,NA,"Umbeliferae","2gether","Andreia Penado, Mário Boieiro e Carla Rego","Direct observation"
