"Especie","Localidad","Municipio","Provincia","País","Fecha.captura","Colector","Identificador","Año.identificación","Machos","Hembras","Obreras","Procedencia"
"Megachile maritima","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile maritima","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Creghtorella albisecta","Casa de Campo",NA,"Madrid","España","20-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Creghtorella albisecta","Torremocha Jarama",NA,"Madrid","España","19-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile melanopyga","Casa de Campo",NA,"Madrid","España","12-VI-1995","F. Torres","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Megachile versicolor","Casa de Campo",NA,"Madrid","España","12-VI-1995","F. Torres","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile versicolor","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile picicornis","Torremocha Jarama",NA,"Madrid","España","22-VI-1995","F. Torres","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Megachile picicornis","Torremocha Jarama",NA,"Madrid","España","19-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Hoplitis leucomelana","Torremocha Jarama",NA,"Madrid","España","19-VI-1995","F. Torres","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Anthidium latreillei","Torremocha Jarama",NA,"Madrid","España","19-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Anthidium latreillei","Torremocha Jarama",NA,"Madrid","España","22-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Anthidium latreillei","Torremocha Jarama",NA,"Madrid","España","19-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Anthidium latreillei","Torremocha Jarama",NA,"Madrid","España","22-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Anthidium latreillei","Torremocha Jarama",NA,"Madrid","España","4-VII-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Anthidium latreillei","Torremocha Jarama",NA,"Madrid","España","22-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","6-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","6-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","6-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","20-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","20-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","20-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Chalicodoma ericetorum","Casa de Campo",NA,"Madrid","España","12-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Coelioxys auroliubata","Torremocha Jarama",NA,"Madrid","España","22-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,NA,1,NA,"UCME"
"Coelioxys rufocaudata","Casa de Campo",NA,"Madrid","España","16-VI-1995","F.G. Gonzalez","F. G. Gonzalez",NA,1,NA,NA,"UCME"
"Coelioxys haemorrhoa","Casa de Campo",NA,"Madrid","España","12-VI-1995","F. Torres","F. G. Gonzalez",NA,1,NA,NA,"UCME"
