"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","GPS","GPS","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto Sahún","Valle de Benasque","Huesca","España","14-VII-2011","1.512 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","La Besurta. Ibón de Vilamorta","Parque N. Posets y la Madaleta","Huesca","España","15-VII-2011","1.994 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 reina","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","La Besurta. Ibón de Vilamorta","Parque N. Posets y la Madaleta","Huesca","España","15-VII-2011","1.700 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 reina","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Ctra. Rodiezno-Poladura de la Tercia ",NA,"León","España","27-VI-2010","1.250 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 reina","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de Tarna",NA,"León","España","18-21-VI-2008","1.490 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 reina","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de Tarna",NA,"León","España","18-21-VI-2008","1.490 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,NA,NA
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Maraña bajo Tarna",NA,"León","España","18-21-VI-2008","1.400 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Maraña bajo Tarna",NA,"León","España","18-21-VI-2008","1.400 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Maraña bajo Tarna",NA,"León","España","18-21-VI-2008","1.400 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Maraña bajo Tarna",NA,"León","España","18-21-VI-2008","1.400 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Valle de Arán","Pirineos","Lérida","España","VII-VIII-2012",NA,NA,NA,"P. Vargas (de M. Luceño)","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Valle de Arán","Pirineos","Lérida","España","VII-VIII-2012",NA,NA,NA,"P. Vargas (de M. Luceño)","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Valle de Arán","Pirineos","Lérida","España","VII-VIII-2012",NA,NA,NA,"P. Vargas (de M. Luceño)","C. Ornosa","2012",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Valle de Arán","Pirineos","Lérida","España","VII-VIII-2012",NA,NA,NA,"P. Vargas (de M. Luceño)","C. Ornosa","2012",NA,"1 obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de San Glorio, Collado de Llesba","Picos de Europa","Cantabria","España","16-VI-2006","1.609 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,NA,"UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de San Glorio, Collado de Llesba","Picos de Europa","Cantabria","España","16-VI-2006","1.609 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de San Glorio, Collado de Llesba","Picos de Europa","Cantabria","España","16-VI-2006","1.609 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de San Glorio, Collado de Llesba","Picos de Europa","Cantabria","España","16-VI-2006","1.609 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,NA,NA
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de San Glorio, Collado de Llesba","Picos de Europa","Cantabria","España","16-VI-2006","1.609 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Alto de Abodi","Pirineos","Navarra","España","11-VII-2009","1.400 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Alto de Abodi","Pirineos","Navarra","España","11-VII-2009","1.400 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,NA,"UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 obrera","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de la Bonaigua, La Peulla","Pirineos","Lérida","Andorra","26-VII-2006","1.950 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,NA,NA
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de la Bonaigua, La Peulla","Pirineos","Lérida","Andorra","26-VII-2006","1.950 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,"1 obrere","UCME"
"Bombus ","Thoracobombus ? Rhodobombus?","mesomelas","Pto. de la Bonaigua, La Peulla","Pirineos","Lérida","Andorra","26-VII-2006","1.950 m",NA,NA,"C. Ornosa","C. Ornosa","2013",NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 reina","UCME"
