Gen﻿Species;Country;Locality;Collector;Determiner;Date;Year;Genus;Species;Grid.Reference;Collection;Males;Females;Notes;Flowers.visited;Flower.genera;Visitation
Eucera hispaliensis;SPAIN;"Matalascañas (n); Parque Nacional de Coto Doñana - Nr. Laguna del Taraje";S.P.M. Roberts;S. Risch;10/04/2003;2003;Eucera (Eucera);hispaliensis;29SQA236968;S.P.M. Roberts;NA;1;At flowers of Lavandula stoechas.;Lavandula stoechas;Lamiaceae;NA
Eucera nigrilabris;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido";S.P.M. Roberts;S. Risch;11/04/2003;2003;Eucera (Eucera);nigrilabris;29SQB255127;S.P.M. Roberts;NA;1;At flowers of Raphanus raphanistrum.;Raphanus raphanistrum;Brassicaceae;NA
Eucera nigrilabris;SPAIN;"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey";S.P.M. Roberts;S. Risch;11/04/2003;2003;Eucera (Eucera);nigrilabris;29SQB280137;S.P.M. Roberts;NA;1;NA;NA;NA;NA
Lasioglossum pauperatum;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor";S.P.M. Roberts;A.W. Ebmer;20/04/2003;2003;Lasioglossum (Evylaeus);pauperatum;29SQB290264;S.P.M. Roberts;NA;1;NA;NA;NA;NA
Lasioglossum prasinum;SPAIN;Coto Doñana;G. Mountfort;A. Pauly;01/05/1957;1957;Lasioglossum (Lasioglossum);prasinum;29SQA236968;The Natural History Museum, London;NA;1;"Data extracted 9 May 2003; GR Else. Accession number: B.M. 1957-386. **DATE UNCERTAIN** (Date range 05-06/1957).";NA;NA;NA
Nomada basalis;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido";S.P.M. Roberts;M. Schwarz;19/04/2003;2003;Nomada;basalis;29SQB255127;S.P.M. Roberts;1;NA;NA;NA;NA;NA
Nomada bifasciata;SPAIN;"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey";S.P.M. Roberts;M. Schwarz;10/04/2003;2003;Nomada;bifasciata;29SQB280137;S.P.M. Roberts;NA;1;At flowers of Chrysanthemum segetum.;Chrysanthemum segetum;Asteraceae;Consuming nectar
Nomada femoralis;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor";S.P.M. Roberts;M. Schwarz;18/04/2003;2003;Nomada;femoralis;29SQB290264;S.P.M. Roberts;1;1;NA;NA;NA;NA
Nomada femoralis;SPAIN;"El Rocio (east); Parque Natural de Coto Doñana - Coto del Rey";S.P.M. Roberts;M. Schwarz;11/04/2003;2003;Nomada;femoralis;29SQB280137;S.P.M. Roberts;NA;2;NA;NA;NA;NA
Nomada fulvicornis;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido";S.P.M. Roberts;M. Schwarz;19/04/2003;2003;Nomada;fulvicornis;29SQB255127;S.P.M. Roberts;NA;1;NA;NA;NA;NA
Nomada fulvicornis;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor";S.P.M. Roberts;M. Schwarz;18/04/2003;2003;Nomada;fulvicornis;29SQB290264;S.P.M. Roberts;NA;1;NA;NA;NA;NA
Nomada serricornis;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor";S.P.M. Roberts;M. Schwarz;18/04/2003;2003;Nomada;serricornis;29SQB290264;S.P.M. Roberts;1;1;NA;NA;NA;NA
Nomada serricornis;SPAIN;"El Rocio (south); Parque Nacional de Coto Doñana - La Rocina";S.P.M. Roberts;M. Schwarz;08/04/2003;2003;Nomada;serricornis;29SQB222115;S.P.M. Roberts;NA;1;NA;NA;NA;NA
Nomada similis;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Cañada Mayor";S.P.M. Roberts;M. Schwarz;18/04/2003;2003;Nomada;similis;29SQB290264;S.P.M. Roberts;NA;1;NA;NA;NA;NA
Sphecodes alternatus;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido";S.P.M. Roberts;M. Schwarz;07/04/2003;2003;Sphecodes;alternatus;29SQB255127;S.P.M. Roberts;NA;1;NA;NA;NA;NA
Sphecodes pellucidus;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido";S.P.M. Roberts;M. Schwarz;19/04/2003;2003;Sphecodes;pellucidus;29SQB255127;S.P.M. Roberts;NA;1;NA;NA;NA;NA
Sphecodes rubicundus;SPAIN;"El Rocio (east); Parque Nacional de Coto Doñana - Arroyo de Partido";S.P.M. Roberts;M. Schwarz;19/04/2003;2003;Sphecodes;rubicundus;29SQB255127;S.P.M. Roberts;NA;1;NA;NA;NA;NA
