"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Altitud","UTM","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Anthidium  ","Anthidium","florentinum","Colmenarejo",NA,"Madrid","España","18-VII-2007",NA,NA,"P. Vargas","C. Ornosa",NA,1,NA,"UCME"
"Creightonella",NA,"albisecta","Colmenarejo",NA,"Madrid","España","18-VII-2007",NA,NA,"P. Vargas","C. Ornosa",NA,1,NA,"UCME"
"Anthidiellum","Anthidiell","strigatum","P.N. Cabañeros",NA,NA,"España",NA,NA,NA,"A. Recarte","C. Ornosa",NA,NA,1,"de Alicante/UCME"
"Megachile","Eutrichar","leachella","P.N. Cabañeros",NA,NA,"España","18-IX-2007",NA,NA,"A. Recarte","C. Ornosa",NA,NA,1,"de Alicante/UCME"
"Megachile","Eutrichar","leachella","P.N. Cabañeros",NA,NA,"España","19-IX-2007",NA,NA,"A. Recarte","C. Ornosa",NA,NA,1,"de Alicante/UCME"
"Osmia ","Osmia","rufa","Cerro Colgado","Cercedilla ","Madrid","España","4-V-2008","1295m","30TVL12 11","C. Ornosa","C. Ornosa",NA,NA,1,"UCME"
"Anthidium","Anthidium","cingulatum","Cabo de Gata",NA,"Almería","España","20-V-08",NA,NA,"P. Vargas","C. Ornosa",NA,NA,1,"UCME"
"Lithurgus",NA,"chrysurus","Pozo de Don Juan ","Velez Blanco","Almería","España","29-VII-2006","1180m","30SWG6987  ","J. Ortiz","J. Ortiz",2008,1,NA,"UCME"
"Lithurgus",NA,"chrysurus","Pozo de Don Juan ","Velez Blanco","Almería","España","29-VII-2006","1180m","30SWG6987  ","J. Ortiz","J. Ortiz",2008,1,NA,"UCME"
"Lithurgus",NA,"chrysurus","Pozo de Don Juan ","Velez Blanco","Almería","España","29-VII-2006","1180m","30SWG6987  ","J. Ortiz","J. Ortiz",2008,NA,1,"UCME"
"Lithurgus",NA,"chrysurus","Macián  ","Velez Blanco","Almería","España","12-VII-2006","1200m","30SWG6987  ","J. Ortiz","J. Ortiz",2008,NA,1,"UCME"
"Rhodanthidium","Rhodanthidium","sticticum","San Miguel de Cabo de Gata",NA,"Almería","España","26-III-08",NA,NA,"673","J. Ortiz",2008,1,NA,"UCME"
"Rhodanthidium","Rhodanthidium","sticticum","San Miguel de Cabo de Gata",NA,"Almería","España","26-III-08",NA,NA,"J. Ortiz","J. Ortiz",2008,1,NA,"UCME"
"Rhodanthidium","Rhodanthidium","sticticum","San Miguel de Cabo de Gata",NA,"Almería","España","26-III-08",NA,NA,"J. Ortiz","J. Ortiz",2008,1,NA,"UCME"
"Rhodanthidium",NA,"septemdentatum","Tibi",NA,"Alicante","España","6-VI-2008",NA,NA,"J. Ortiz","C. Ornosa",2008,1,NA,"UCME"
"Anthidium","Anthidium","florentinum","Tibi",NA,"Alicante","España","6-VI-2008",NA,NA,"J. Ortiz","C. Ornosa",2008,1,NA,"  de Almería"
"Anthidium","Anthidium","florentinum","Tibi",NA,"Alicante","España","6-VI-2008",NA,NA,"J. Ortiz","C. Ornosa",2008,1,NA,"  de Almería"
"Anthidium","Anthidium","florentinum","Albaida",NA,"Valencia","España","7-VI-2008",NA,NA,"J. Ortiz","C. Ornosa",2008,1,NA,"  de Almería"
"Anthidium","Proanthid","oblongatum","Albaida",NA,"Valencia","España","7-VI-2008",NA,NA,"J. Ortiz","C. Ornosa",2008,1,NA,"  de Almería"
"Anthidium","Anthidium","florentinum","Albaida",NA,"Valencia","España","7-VI-2008",NA,NA,"J. Ortiz","C. Ornosa",2008,1,NA,"  de Almería"
"Anthidium","Anthidium","florentinum","Albaida",NA,"Valencia","España","7-VI-2008",NA,NA,"J. Ortiz","C. Ornosa",2008,1,NA,"  de Almería"
"Anthidium","Anthidium","florentinum","Galapagar",NA,"Madrid","España","25-VII-2008","930 m","40´576642ºN/4´014372W","J. Ortiz","C. Ornosa",2008,1,NA,"  de Almería"
"Anthidium","Anthidium","florentinum","Galapagar",NA,"Madrid","España","25-VII-2009","931 m","40´576642ºN/4´014372W","J. Ortiz","C. Ornosa",2008,1,NA,"  de Almería"
"Stelis ","Stelis","phaeoptera","La Tejera.    San Asensio",NA,"La Rioja","España","2008 emergencia, primavera-verano","540m",NA,"F. Torres","C. Ornosa",2008,1,NA,NA
