"Género","Subgén","Especie","Localidad","Municipio","Provincia","País","Fecha.capt","Colector","Identificador","Año.ident","Machos","Hembras","Proced/caja"
"Apis",NA,"mellifera","Tama","Santander","Cantabria","España","31-XI-2011","C. Onosa","C. Onosa",2011,NA,"1 obrea","Botánico"
"Apis",NA,"mellifera","Tama","Santander","Cantabria","España","31-XI-2011","C. Onosa","C. Onosa",2011,NA,"1 obrea","Botánico"
"Apis",NA,"mellifera","Imlil","Alto Atlas",NA,"Marruecos","VII-2012","JL Blanco","C. Onosa",2012,NA,"1 obrea","UCME"
"Apis",NA,"mellifera","Imlil","Alto Atlas",NA,"Marruecos","VII-2012","JL Blanco","C. Onosa",2012,NA,"1 obrea","UCME"
"Apis",NA,"mellifera","Imlil","Alto Atlas",NA,"Marruecos","VII-2012","JL Blanco","C. Onosa",2012,NA,"1 obrea","UCME"
"Apis",NA,"mellifera","Imlil","Alto Atlas",NA,"Marruecos","VII-2012","JL Blanco","C. Onosa",2012,NA,"1 obrea","UCME"
"Apis",NA,"mellifera","Imlil","Alto Atlas",NA,"Marruecos","VII-2012","JL Blanco",NA,2012,NA,"1 obrea","UCME"
"Chalicodoma",NA,"pyrenaica","Los Alcornocales",NA,"Cádiz","España","17-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Chalicodoma",NA,"pyrenaica","Zahara de la Sierra",NA,"Cádiz","España","18-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"UCME"
"Ceratina",NA,"cucurbitina","Zahara de la Sierra",NA,"Cádiz","España","18-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Ceratina",NA,"cucurbitina","Los Alcornocales",NA,"Cádiz","España","17-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Ceratina",NA,"cucurbitina","Torcal de Antequera",NA,"Málaga","España","26-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,NA,"1","UCME"
"Anthophora",NA,"plumipes","Torcal de Antequera",NA,"Málaga","España","26-V-2012","JL Blanco","JL Blanco/C. Ornosa",2012,1,NA,"UCME"
