"Genus","Subgenus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","COLLECTION","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Andrena",NA,"Andrena livens",NA,"Portugal","Porto","Unhão e Lordelo","41.325019","-8.227021","<1km",2019,5,2,43587,43588,"H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"775 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena livens",NA,"Portugal","Leiria","Vérigo","39.942216","-8.581532","<1km",2019,4,22,43577,43577,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,NA,"436","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena nigroaenaea",NA,"Portugal","Aveiro","Troviscal","40.502184","-8.557398","<1km",2019,5,4,43589,43590,"H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"914 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena nigroaenaea",NA,"Portugal","Leiria","Vérigo","39.942334","-8.581118","<1km",2019,2,24,43520,43520,"H.Gaspar","T. Wood 2020",NA,1,NA,0,NA,"Prunus sp.","365","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena pilipes",NA,"Portugal","Leiria","Vérigo"," 39.942492"," -8.581525","<1km",2017,9,7,42985,42985,"H.Gaspar","T. Wood 2020",0,1,NA,0,NA,NA,"85","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena pilipes",NA,"Portugal","Leiria","São Vicente","39.844346","-8.641935","<1km",2019,3,24,43548,43548,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,NA,"396","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena propinqua",NA,"Portugal","Coimbra","Arazede"," 40.278669"," -8.699467","<1km",2019,5,29,43614,43615,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"581 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena propinqua",NA,"Portugal","Porto","Águas Santas"," 41.217709"," -8.562080","<1km",2019,6,4,43620,43621,"H. Gaspar","T. Wood 2020",1,NA,NA,0,NA,NA,"826 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena propinqua",NA,"Portugal","Leiria","Vérigo"," 39.942492"," -8.581525","<1km",2018,3,25,43184,43184,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,"Chamelaucium uncinatum","207","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena rhenana",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,4,2,43557,43558,"H. Gaspar","T. Wood 2020",1,NA,NA,0,NA,NA,"112 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena rhenana",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,4,2,43557,43558,"H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"114 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena rhenana",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,4,2,43557,43558,"H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"117 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena rhyssonota",NA,"Portugal","Leiria","São Vicente","39.844345","-8.641958","<1km",2019,5,27,43612,43612,"H.Gaspar & P.Ferreira","T. Wood 2020",NA,1,NA,0,NA,NA,"451","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena scotica?",NA,"Portugal","Braga","Santo Estêvão (Briteiros)"," 41.516580"," -8.305029","<1km",2019,4,29,43584,43585,"H. Gaspar","T. Wood 2020",NA,1,NA,0,NA,NA,"688 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena similis",NA,"Portugal","Leiria","Vérigo","39.949223"," -8.576452","<1km",2018,5,10,43230,43230,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,"Cistus sp. ?","258","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena similis",NA,"Portugal","Leiria","Vérigo","39.941749","-8.581785","<1km",2019,4,20,43575,43575,"H.Gaspar","T. Wood 2020",1,NA,NA,0,NA,NA,"433","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena spreta s.l.",NA,"Portugal","Aveiro","Eixo e Eirol","40.598941"," -8.543732","<1km",2019,4,2,43557,43558,"H. Gaspar","T. Wood 2020",1,NA,NA,0,NA,NA,"140 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,NA,NA,"Portugal","Viana do Castelo","Vila Fria","41.391071","-8.237358","<1km",2019,4,30,43585,43586,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"693 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena thoracica",NA,"Portugal","Aveiro","Silva Escura","40.794095","-8.368753","<1km",2019,3,16,43540,43541,"H. Gaspar","H. Gaspar",2,NA,NA,0,NA,NA,"218,656 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,"Andrena trimmerana",NA,"Portugal","Leiria","Vérigo","39.942158","-8.581664","<1km",2019,3,10,43534,43534,"H.Gaspar","T. Wood 2020",NA,1,NA,0,NA,"Euphorbia sp. ","380","H. Gaspar",NA,"AVAILABLE ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,NA,NA,"Portugal","Viana do Castelo","Vila Fria","41.391071","-8.237358","<1km",2019,3,11,43535,43536,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"166 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,NA,NA,"Portugal","Aveiro","Troviscal","40.502184","-8.557398","<1km",2019,4,23,43578,43579,"H. Gaspar","H. Gaspar",1,NA,NA,0,NA,NA,"266 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
"Andrena",NA,NA,NA,"Portugal","Coimbra","Cantanhede","40.368210","-8.621492","<1km",2019,5,28,43613,43614,"H. Gaspar","H. Gaspar",NA,1,NA,0,NA,NA,"453 FLOWerLab(UC)I9K","H. Gaspar, S. Castro & J. Loureiro",NA,"ADD AN ""A"" BEFORE COLLECTION NUMBER TO SEARCH ON https://www.inaturalist.org/observations/hugogaspar"
