Genus,species,subspecies,year,latitude,longitude
Bombus,hortorum,,2017,43.5242,-6.13968
Bombus,hortorum,,2017,43.5242,-6.13968
Bombus,hortorum,,2017,43.02331,-6.12452
Bombus,hortorum,,2017,43.02331,-6.12452
Bombus,hortorum,,2017,43.02331,-6.12452
Bombus,hortorum,,2017,43.02331,-6.12452
Bombus,hortorum,,2017,43.02331,-6.12452
Bombus,hortorum,vasco,2017,43.02331,-6.12452
Bombus,hortorum,,2017,43.02188,-6.11989
Bombus,hortorum,,2017,43.02188,-6.11989
Bombus,hortorum,,2017,43.02188,-6.11989
Bombus,hortorum,,2017,43.02188,-6.11989
Bombus,hortorum,vasco,2017,43.02188,-6.11989
Bombus,hortorum,,2017,43.02188,-6.11989
Bombus,hortorum,,2017,43.19262,-6.11848
Bombus,hortorum,,2017,43.19262,-6.11848
Bombus,hortorum,,2017,43.19262,-6.11848
Bombus,hortorum,,2017,43.19262,-6.11848
Bombus,hortorum,,2017,43.19262,-6.11848
Bombus,hortorum,,2017,43.19262,-6.11848
Bombus,hortorum,,2017,43.23073,-6.11326
Bombus,hortorum,,2017,43.23073,-6.11326
Bombus,hortorum,,2017,43.23073,-6.11326
Bombus,hortorum,,2017,43.23073,-6.11326
Bombus,hortorum,,2017,43.23073,-6.11326
Bombus,hortorum,,2017,43.23073,-6.11326
Bombus,hortorum,,2017,43.23073,-6.11326
Bombus,hortorum,,2017,43.22349,-6.11301
Bombus,hortorum,,2017,43.22349,-6.11301
Bombus,hortorum,,2017,43.22349,-6.11301
Bombus,hortorum,,2017,43.22349,-6.11301
Bombus,hortorum,,2017,43.22349,-6.11301
Bombus,hortorum,,2017,43.22349,-6.11301
Bombus,hortorum,,2017,43.22349,-6.11301
Bombus,hortorum,,2017,43.22349,-6.11301
Bombus,hortorum,,2017,43.22349,-6.11301
Bombus,hortorum,,2017,43.23344,-6.10927
Bombus,hortorum,,2017,43.23344,-6.10927
Bombus,hortorum,,2017,43.23344,-6.10927
Bombus,hortorum,,2017,43.23344,-6.10927
Bombus,hortorum,,2017,43.23344,-6.10927
Bombus,hortorum,,2017,43.23344,-6.10927
Bombus,hortorum,,2017,43.23344,-6.10927
Bombus,hortorum,,2017,43.23344,-6.10927
Bombus,hortorum,,2018,43.03255,-6.09766
Bombus,hortorum,,2018,43.03255,-6.09766
Bombus,hortorum,,2018,43.03255,-6.09766
Bombus,hortorum,,2018,43.03255,-6.09766
Bombus,hortorum,,2018,43.03255,-6.09766
Bombus,hortorum,,2018,43.03255,-6.09766
Bombus,hortorum,,2017,43.16302,-6.09626
Bombus,hortorum,,2017,43.16302,-6.09626
Bombus,hortorum,,2018,43.05547,-6.09167
Bombus,hortorum,,2018,43.05547,-6.09167
Bombus,hortorum,,2018,43.05547,-6.09167
Bombus,hortorum,,2018,43.05547,-6.09167
Bombus,hortorum,,2018,43.05547,-6.09167
Bombus,hortorum,,2018,43.05547,-6.09167
Bombus,hortorum,,2018,43.05547,-6.09167
Bombus,hortorum,,2017,43.19383,-6.07363
Bombus,hortorum,,2017,43.19383,-6.07363
Bombus,humilis,,2017,43.19383,-6.07363
Bombus,humilis,,2017,43.19383,-6.07363
Bombus,humilis,,2017,43.19383,-6.07363
Bombus,humilis,,2017,43.14811,-6.07153
Bombus,humilis,,2017,43.14811,-6.07153
Bombus,humilis,,2017,43.14811,-6.07153
Bombus,humilis,,2017,43.14811,-6.07153
Bombus,humilis,,2017,43.14811,-6.07153
Bombus,humilis,,2017,43.14811,-6.07153
Bombus,humilis,,2017,43.14811,-6.07153
Bombus,humilis,,2017,43.14811,-6.07153
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.0488,-6.06097
Bombus,humilis,,2017,43.02683,-6.05863
Bombus,humilis,,2017,43.02683,-6.05863
Bombus,humilis,,2017,43.02683,-6.05863
Bombus,humilis,,2017,43.02683,-6.05863
Bombus,humilis,,2017,43.02683,-6.05863
Bombus,humilis,,2017,43.02683,-6.05863
Bombus,humilis,,2017,43.02683,-6.05863
Bombus,humilis,vasco,2017,43.02683,-6.05863
Bombus,humilis,,2017,43.10195,-6.05444
Bombus,humilis,,2017,43.10195,-6.05444
Bombus,humilis,,2017,43.10195,-6.05444
Bombus,humilis,,2017,43.10195,-6.05444
Bombus,humilis,,2017,43.10195,-6.05444
Bombus,humilis,,2017,43.04252,-6.05405
Bombus,humilis,,2017,43.04252,-6.05405
Bombus,humilis,,2017,43.04252,-6.05405
Bombus,humilis,,2017,43.04252,-6.05405
Bombus,humilis,,2017,43.04252,-6.05405
Bombus,humilis,,2017,43.04252,-6.05405
Bombus,humilis,vasco,2017,43.04252,-6.05405
Bombus,humilis,,2017,43.02519,-6.05293
Bombus,humilis,,2017,43.02519,-6.05293
Bombus,humilis,,2017,43.02519,-6.05293
Bombus,humilis,,2017,43.02519,-6.05293
Bombus,humilis,,2017,43.02519,-6.05293
Bombus,humilis,,2017,43.02519,-6.05293
Bombus,humilis,,2017,43.02519,-6.05293
Bombus,humilis,vasco,2017,43.02519,-6.05293
Bombus,humilis,,2017,43.4378,-6.05219
Bombus,hypnorum,,2017,43.4378,-6.05219
Bombus,hypnorum,,2017,43.4378,-6.05219
Bombus,hypnorum,,2017,43.4378,-6.05219
Bombus,hypnorum,,2018,43.09746,-6.04704
Bombus,hypnorum,,2018,43.09746,-6.04704
Bombus,hypnorum,,2018,43.09746,-6.04704
Bombus,hypnorum,,2018,43.09746,-6.04704
Bombus,hypnorum,,2018,43.09746,-6.04704
Bombus,hypnorum,,2018,43.09746,-6.04704
Bombus,hypnorum,,2018,43.09746,-6.04704
Bombus,hypnorum,,2018,43.09746,-6.04704
Bombus,inexpectatus,vasco,2018,43.09746,-6.04704
Bombus,inexpectatus,,2018,43.09692,-6.04425
Bombus,inexpectatus,,2018,43.09692,-6.04425
Bombus,inexpectatus,,2018,43.09692,-6.04425
Bombus,inexspectatus,,2018,43.09692,-6.04425
Bombus,inexspectatus,,2018,43.09692,-6.04425
Bombus,jonellus,,2018,43.09692,-6.04425
Bombus,jonellus,,2018,43.09692,-6.04425
Bombus,jonellus,,2018,43.09692,-6.04425
Bombus,jonellus,,2017,43.03571,-6.03196
