Family;Genus;Species;Subspecies;Authority;Notes
Apidae;Anthophora;crinipes;NA;Smith, 1854;Anthophora salviae is a synonmy, nomenclatural problems, listed by Ortiz-Sanchez
Apidae;Anthophora;dispar;NA;Lepeletier, 1841;NA
Apidae;Anthophora;dufourii;NA;Lepeletier, 1841;NA
Apidae;Anthophora;femorata;NA;(Olivier, 1789);NA
Apidae;Anthophora;ferruginea;NA;Lepeletier, 1841;NA
Apidae;Anthophora;fulvitarsis;NA;Brullé, 1832;NA
Apidae;Anthophora;fulvodimidiata;NA;Dours, 1869;NA
Apidae;Anthophora;furcata;NA;(Panzer, 1798);NA
Apidae;Anthophora;gallica;NA;Dalla Torre & Friese, 1895;A. quadricolor is a different species, listed by Ortiz-Sanchez
Apidae;Anthophora;hispanica;NA;(Fabricius, 1787);NA
Apidae;Anthophora;larvata;NA;Giraud, 1863;NA
Apidae;Anthophora;leucophaea;NA;Pérez, 1879;NA
Apidae;Anthophora;mucida;NA;(Gribodo, 1873);NA
Apidae;Anthophora;plagiata;NA;(Illiger, 1806);NA
Apidae;Anthophora;plumipes;NA;(Pallas, 1772);NA
Apidae;Anthophora;podagra;NA;Lepeletier, 1841;NA
Apidae;Anthophora;punctilabris;NA;Pérez, 1879;NA
Apidae;Anthophora;quadrimaculata;NA;(Panzer, 1798);NA
Apidae;Anthophora;retusa;NA;(Linnaeus, 1758);NA
Apidae;Anthophora;robusta;NA;(Klug, 1845);NA
Apidae;Anthophora;romandii;NA;Lepeletier, 1841;NA
Apidae;Anthophora;senicula;NA;Pérez, 1902;NA
Apidae;Apis;mellifera;NA;Linnaeus, 1758;NA
Apidae;Biastes;brevicornis;NA;(Panzer, 1798);NA
Apidae;Bombus;barbutellus;NA;(Kirby, 1802);maxillosus is just a subspecies/synonym, listed by Ortiz-Sanchez
Apidae;Bombus;bohemicus;NA;Seidl, 1837;NA
Apidae;Bombus;campestris;NA;Panzer, 1801;NA
Apidae;Bombus;confusus;NA;Schenck, 1861;NA
Apidae;Bombus;cullumanus;NA;(Kirby, 1802);NA
Apidae;Bombus;flavidus;NA;Eversmann, 1852;NA
Apidae;Bombus;gerstaeckeri;NA;Morawitz, 1881;NA
Apidae;Bombus;hortorum;NA;Linnaeus, 1761);B. reinigiellus is a synonym of B. hortorum (manuscript in preparation)
Apidae;Bombus;humilis;NA;Illiger, 1806;NA
Apidae;Bombus;hypnorum;NA;(Linnaeus, 1758);NA
Apidae;Bombus;inexpectatus;NA;(Tkalců, 1963);NA
Apidae;Bombus;jonellus;NA;(Kirby, 1802);NA
Apidae;Bombus;laesus;NA;Morawitz, 1875;inc. former species B. mocsaryi
Apidae;Bombus;lapidarius;decipiens;Pérez, 1890;NA
Apidae;Bombus;lucorum;NA;(Linnaeus, 1761);NA
Apidae;Bombus;magnus;NA;Vogt, 1911;NA
Apidae;Bombus;mendax;NA;Gerstäcker, 1869;NA
Apidae;Bombus;mesomelas;NA;Gerstäcker, 1869;NA
Apidae;Bombus;monticola;NA;Smith, 1849;NA
Apidae;Bombus;mucidus;NA;Gerstäcker, 1869;NA
Apidae;Bombus;muscorum;NA;(Linnaeus, 1758);NA
Apidae;Bombus;norvegicus;NA;(Sparre-Schneider, 1918);NA
Apidae;Bombus;pascuorum;NA;(Scopoli, 1763);NA
Apidae;Bombus;pratorum;NA;(Linnaeus, 1761);NA
Apidae;Bombus;pyrenaeus;NA;Pérez, 1879;NA
Apidae;Bombus;quadricolor;NA;(Lepeletier, 1833);NA
Apidae;Bombus;ruderarius;NA;(Müller, 1776);NA
Apidae;Bombus;ruderatus;NA;(Fabricius, 1775);NA
Apidae;Bombus;rupestris;NA;(Fabricius, 1793);NA
Apidae;Bombus;sichelii;NA;Radoszkowski, 1859;NA
Apidae;Bombus;soroeensis;NA;(Fabricius, 1777);NA
Apidae;Bombus;subterraneus;NA;(Linnaeus, 1758);NA
Apidae;Bombus;sylvarum;NA;(Linnaeus, 1761);NA
Apidae;Bombus;sylvestris;NA;(Lepeletier, 1833);NA
Apidae;Bombus;terrestris;lusitanicus;Krüger, 1956;NA
Apidae;Bombus;vestalis;NA;(Geoffroy in Fourcroy, 1785);NA
Apidae;Bombus;wurflenii;NA;Radoszkowski, 1859;NA
Apidae;Ceratina;callosa;NA;(Fabricius, 1794);NA
Apidae;Ceratina;chalcites;NA;Germar, 1839;NA
Apidae;Ceratina;chalybea;NA;Chevrier, 1872;NA
Apidae;Ceratina;cucurbitina;NA;(Rossi, 1792);NA
Apidae;Ceratina;cyanea;NA;(Kirby, 1802);NA
Apidae;Ceratina;dallatorreana;NA;Friese, 1896;NA
Apidae;Ceratina;dentiventris;NA;Gerstäcker, 1869;NA
Apidae;Ceratina;gravidula;NA;Gerstäcker, 1869;NA
Apidae;Ceratina;mocsaryi;NA;Friese, 1896;NA
Apidae;Ceratina;nigrolabiata;NA;Friese, 1896;NA
Apidae;Ceratina;parvula;NA;Smith, 1854;NA
Apidae;Ceratina;saundersi;NA;Daly, 1983;NA
Apidae;Epeolus;alpinus;NA;Friese, 1893;NA
Apidae;Epeolus;aureovestitus;NA;Dours, 1873;NA
