"Genus","Species","Subspecies","Country","Province","Locality","Latitude","Longitude","Coordinate.precision.(e.g..Collection.place.within.<XX.radius.of.the.provided.coordinate..For.example:.<10m;.<100m;.<1km;.<10km)","Year","Month","day","Start.date","End.Date","Collector","Determined.by","Female","Male","Worker","Not.specified","Reference.(doi)","Flowers.visited","Collection.Location_ID","Authors.to.give.credit","Authors.to.give.credit","Authors.to.give.credit","Authors.to.give.credit","Any.other.additional.data","Notes.and.queries"
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,2,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13359","Lotus corniculatus","SB-2639","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Rhodanthidium","septemdentatum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,2,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13360","Mentha aquatica","SB-2644","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13361","Lotus corniculatus","SB-2200","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceratina","cucurbitina ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,10,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13362","Echium sabulicola","SB-2222","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13363","Potentilla reptans","SB-2239","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,10,NA,NA,"J. Ruíz","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13364","Potentilla reptans","SB-2241","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13365","Lotus corniculatus","SB-2567","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,10,NA,NA,"D. Alomar","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13366","Lotus corniculatus","SB-2631","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13367","Melilotus indicus","SB-2632","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,10,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13368","Lotus corniculatus","SB-2634","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,17,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13369","Lotus corniculatus","SB-2208","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,17,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13370","Lotus corniculatus","SB-2215","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,17,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13371","Rubus ulmifolius","SB-2237","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,17,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13372","Potentilla reptans","SB-2238","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,17,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13373","Lotus corniculatus","SB-2289","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,17,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13374","Cistus salviifolius","SB-2582","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,17,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13374","Potentilla reptans","SB-2582","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13375","Scabiosa atropurpurea","SB-2191","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13376","Teucrium capitatum","SB-2193","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13377","Scabiosa atropurpurea","SB-2198","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13378","Scabiosa atropurpurea","SB-2199","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13379","Teucrium capitatum","SB-2203","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13380","Scabiosa atropurpurea","SB-2204","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13381","Teucrium capitatum","SB-2205","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13382","Scabiosa atropurpurea","SB-2206","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13383","Teucrium capitatum","SB-2211","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13384","Scabiosa atropurpurea","SB-2217","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceratina","cucurbitina ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13385","Mentha aquatica","SB-2223","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceratina","cucurbitina ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13385","Centaurium pulchellum","SB-2223","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13386","Potentilla reptans","SB-2228","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13387","Potentilla reptans","SB-2229","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","clypearis ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13388","Daucus carota","SB-2251","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Andrena","ovatula ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13389","Melilotus indicus","SB-2558","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13390","Centaurea aspera","SB-2571","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13391","Scabiosa atropurpurea","SB-2572","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13392","Teucrium capitatum","SB-2573","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceratina","cucurbitina ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13393","Teucrium capitatum","SB-2576","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceratina","cucurbitina ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13394","Cistus salviifolius","SB-2577","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hylaeus","pictus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,0,1,"10.1111/1365-2745.13395","Rubus ulmifolius","SB-2584","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Ceylalictus","variegatus ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13396","Rubus ulmifolius","SB-2591","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Lasioglossum","malachurum ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13397","Helichrysum stoechas","SB-2607","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hoplitis","leucomelana ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13398","Parentucellia viscosa","SB-2622","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Hoplitis","leucomelana ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,1,0,0,"10.1111/1365-2745.13399","Rubus ulmifolius","SB-2630","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13400","Lotus corniculatus","SB-2635","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia ","versicolor ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13401","Lotus corniculatus","SB-2640","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Osmia","latreillei ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,24,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Mentha aquatica","SB-2642","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Andrena","ovatula ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,30,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Allium ampeloprasum","SB-2185","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Andrena","ovatula ",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,30,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",1,0,0,0,"10.1111/1365-2745.13402","Allium ampeloprasum","SB-2188","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,30,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13402","Scabiosa atropurpurea","SB-2201","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
"Apis","mellifera",NA,"Spain","Balearic Islands","Son Bosc",39.773202,3.129261,NA,2016,5,30,NA,NA,"A. Lázaro","M. A. González-Estévez (M. A. G. Estvz)",0,0,1,0,"10.1111/1365-2745.13402","Convolvulus althaeoides","SB-2202","Amparo Lázaro","Miguel A. González-Estévez","David Alomar","Anna Traveset",NA,NA
