"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","13","5-6-2011","29-6-2011","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_37"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","24","24-5-2012","25-5-2012","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_38"
"Ceratina",NA,"cucurbitina",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","2","1-6-2012","4-6-2012","J. Valverde","J. Valverde, J. Bosch",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_39"
"Crysura",NA,"dichroa",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","4","4-6-2011","4-6-2011","J. Valverde","J. Valverde",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_40"
"Halictus",NA,"simplex",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","26","26-5-2010","26-5-2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_41"
"Halictus",NA,"simplex",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","19","19-6-2010","19-6-2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_42"
"Halictus",NA,"simplex",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"07","2","2-7-2010","2-7-2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_43"
"Halictus",NA,"simplex",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","27","27-5-2011","27-5-2011","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_44"
"Halictus",NA,"simplex",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","9","9-6-2011","9-6-2011","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_45"
"Halictus",NA,"subauratus",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","24","24-5-2012","24-5-2012","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_46"
"Halictus",NA,"subauratus",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","20","20-6-2012","20-6-2012","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_47"
"Hylaeus",NA,"angustatus",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","22","22-5-2010","22-5-2010","J. Valverde","J. Valverde, J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_48"
"Hylaeus",NA,"angustatus",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","25","25-5-2011","25-5-2011","J. Valverde","J. Valverde, J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_49"
"Hylaeus",NA,"angustatus",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","9","9-6-2011","9-6-2011","J. Valverde","J. Valverde, J. Bosch",0,0,0,1,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_50"
"Lasioglossum",NA,"xanthopus",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","26","22-5-2010","31-5-2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_51"
"Lasioglossum",NA,"xanthopus",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","4","1-6-2010","8-6-2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_52"
"Lasioglossum",NA,"xanthopus",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"05","27","23-5-2011","31-5-2011","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_53"
"Lasioglossum",NA,"xanthopus",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","8","1-6-2011","15-6-2011","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_54"
"Lasioglossum",NA,"xanthopus",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","28","25-5-2012","31-5-2012","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_55"
"Lasioglossum",NA,"xanthopus",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","6","1-6-2012","11-6-2012","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_56"
"Osmia",NA,"brevicornis",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","31","31-5-2010","31-5-2010","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum","UGR","J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_57"
"Osmia",NA,"brevicornis",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"06","13","2-6-2010","25-6-2010","J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_58"
"Osmia",NA,"brevicornis",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2011,"06","20","13-6-2011","29-6-2011","J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_59"
"Osmia",NA,"brevicornis",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"05","31","31-5-2012","31-5-2012","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_60"
"Osmia",NA,"brevicornis",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","14","4-6-2012","20-6-2012","J. Valverde","J. Valverde",1,1,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_61"
"Osmia",NA,"claviventris",NA,"Spain","Granada","Monachil",37.13528,-3.369722,NA,2010,"05","23","22-5-2010","24-5-2010","J. Valverde","J. Valverde, J. Bosch",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_62"
"Andrena",NA,"alfkenella o nana",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2012,"06","20","20-6-2012","20-6-2012","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_63"
"Andrena",NA,"alfkenella o nana",NA,"Spain","Granada","Monachil",37.11139,-3.436943,NA,2013,"06","18","15-6-2013","21-6-2013","J. Valverde","J. Valverde",1,0,0,0,NA,"Erysimum mediohispanicum",NA,"J.M. Gómez, F. Perfectti, J. Bosch",NA,NA,"32_Valverde_64"
